a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,12:00,OFF,jump ball,,Tyson Chandler,,,Chris Kaman,,,,,,,Los Angeles,,,,,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,12:00,NOH,violation,,,,,,,,,,Tyson Chandler,,,,,,jump ball,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,11:45,LAC,turnover,,,,,,,,,,Tim Thomas,,,bad pass,,Chris Paul,,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,11:29,NOH,shot,,,,,,,,,,Peja Stojakovic,,,,missed,,hook,29,13
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,11:28,LAC,rebound,,,,,,,,,,Tim Thomas,,,,,,def,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,11:16,LAC,turnover,,,,,,,,,,Cuttino Mobley,,,bad pass,,Tyson Chandler,,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,11:06,NOH,shot,,,,,,,,,,Tyson Chandler,,,,missed,,hook,27,14
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,11:04,LAC,rebound,,,,,,,,,,Quinton Ross,,,,,,def,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,10:54,LAC,shot,,,,,,,,,,Cuttino Mobley,,,,missed,,jump,12,15
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,10:53,NOH,rebound,,,,,,,,,,Peja Stojakovic,,,,,,def,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,10:42,NOH,turnover,,,,,,,,,,David West,,,lost ball,,Tim Thomas,,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,10:31,LAC,turnover,,,,,,,,,,Chris Kaman,,,bad pass,,,,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,10:31,LAC,foul,,,,,,,,Morris Peterson,,Tim Thomas,,,,,,personal,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,10:15,NOH,shot,,,,,,,,,,David West,2,,,made,,turnaround jump,32,16
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,9:56,LAC,shot,,,,,,,,,,Chris Kaman,2,,,made,,hook,17,10
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,9:46,NOH,shot,,,,,,,,,,Chris Paul,,,,missed,,layup,25,6
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,9:44,NOH,rebound,,,,,,,,,,Chris Paul,,,,,,off,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,9:40,NOH,shot,,,,,,,,,,Morris Peterson,,,,missed,,3pt,7,24
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,9:39,LAC,rebound,,,,,,,,,,Tim Thomas,,,,,,def,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,9:29,LAC,shot,,,,,,,,,,Sam Cassell,,,,missed,,jump,26,22
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,9:28,NOH,rebound,,,,,,,,,,David West,,,,,,def,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,9:04,NOH,shot,,,,,,,,,,Peja Stojakovic,,,,missed,,3pt,35,32
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,9:03,LAC,rebound,,,,,,,,,,Sam Cassell,,,,,,def,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,8:54,LAC,shot,Sam Cassell,,,,,,,,,Chris Kaman,2,,,made,,jump,26,21
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,8:44,NOH,shot,Chris Paul,,,,,,,,,Tyson Chandler,2,,,made,,layup,25,6
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,8:44,LAC,foul,,,,,,,,Tyson Chandler,,Chris Kaman,,,,,,shooting,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,8:44,NOH,free throw,,,,,,,1,,1,Tyson Chandler,,,foul,missed,,,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,8:43,LAC,rebound,,,,,,,,,,Chris Kaman,,,,,,def,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,8:30,LAC,shot,,,David West,,,,,,,Chris Kaman,,,,missed,,jump,23,10
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,8:28,LAC,rebound,,,,,,,,,,Tim Thomas,,,,,,off,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,8:27,LAC,shot,,,,,,,,,,Tim Thomas,2,,,made,,jump,12,5
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,8:12,NOH,shot,,,,,,,,,,David West,,,,missed,,jump,23,14
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,8:12,LAC,rebound,,,,,,,,,,Chris Kaman,,,,,,def,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,7:55,LAC,shot,,,,,,,,,,Sam Cassell,,,,missed,,turnaround jump,35,9
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,7:53,NOH,rebound,,,,,,,,,,David West,,,,,,def,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,7:36,NOH,shot,,,,,,,,,,Peja Stojakovic,,,,missed,,jump,14,22
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,7:35,LAC,rebound,,,,,,,,,,Tim Thomas,,,,,,def,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,7:22,LAC,shot,Tim Thomas,,,,,,,,,Chris Kaman,2,,,made,,layup,25,6
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,7:22,NOH,foul,,,,,,,,Chris Kaman,,Tyson Chandler,,,,,,shooting,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,7:22,LAC,free throw,,,,,,,1,,1,Chris Kaman,,,foul,made,,,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Chris Kaman,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,7:09,LAC,foul,,,,,,,,Tyson Chandler,,Chris Kaman,,,,,,shooting,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Aaron Williams,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,7:09,LAC,sub,,,,Aaron Williams,,Chris Kaman,,,,,,,,,,,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Aaron Williams,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,7:09,NOH,free throw,,,,,,,1,,2,Tyson Chandler,,,foul,made,,,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Aaron Williams,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,7:09,NOH,free throw,,,,,,,2,,2,Tyson Chandler,,,foul,made,,,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Aaron Williams,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,6:51,LAC,turnover,,,,,,,,,,Sam Cassell,,,lost ball,,Morris Peterson,,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Aaron Williams,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,6:46,LAC,foul,,,,,,,,Morris Peterson,,Cuttino Mobley,,,,,,shooting,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Aaron Williams,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,6:46,NOH,free throw,,,,,,,1,,2,Morris Peterson,,,foul,missed,,,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Aaron Williams,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,6:46,NOH,rebound,,,,,,,,,,,,,,,,,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Aaron Williams,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,6:46,NOH,free throw,,,,,,,2,,2,Morris Peterson,,,foul,made,,,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Aaron Williams,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,6:31,LAC,shot,,,,,,,,,,Tim Thomas,,,,missed,,jump,32,16
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Aaron Williams,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,6:30,NOH,rebound,,,,,,,,,,David West,,,,,,def,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Aaron Williams,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,6:15,NOH,shot,,,,,,,,,,Tyson Chandler,,,,missed,,jump,26,18
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Aaron Williams,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,6:14,LAC,rebound,,,,,,,,,,Sam Cassell,,,,,,def,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Aaron Williams,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,6:06,LAC,shot,,,,,,,,,,Sam Cassell,2,,,made,,jump,20,24
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Aaron Williams,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,5:47,NOH,shot,,,,,,,,,,David West,,,,missed,,jump,14,19
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Aaron Williams,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,5:47,LAC,rebound,,,,,,,,,,Tim Thomas,,,,,,def,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Aaron Williams,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,5:37,LAC,shot,,,,,,,,,,Sam Cassell,,,,missed,,jump,37,7
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Aaron Williams,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,5:36,NOH,rebound,,,,,,,,,,Peja Stojakovic,,,,,,def,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Aaron Williams,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,5:33,NOH,shot,,,Quinton Ross,,,,,,,Chris Paul,,,,missed,,layup,25,6
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Aaron Williams,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,5:31,LAC,rebound,,,,,,,,,,Tim Thomas,,,,,,def,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Aaron Williams,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,5:24,LAC,shot,,,,,,,,,,Cuttino Mobley,,,,missed,,3pt,2,5
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Aaron Williams,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,5:22,NOH,rebound,,,,,,,,,,Morris Peterson,,,,,,def,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Aaron Williams,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,5:12,LAC,foul,,,,,,,,Peja Stojakovic,,Sam Cassell,,,,,,personal,,
Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,Aaron Williams,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,5:12,LAC,timeout,,,,,,,,,,,,,,,,regular,,
Bobby Jackson,Chris Paul,David West,Peja Stojakovic,Tyson Chandler,Aaron Williams,Cuttino Mobley,Quinton Ross,Sam Cassell,Tim Thomas,1,5:12,NOH,sub,,,,Bobby Jackson,,Morris Peterson,,,,,,,,,,,,
Bobby Jackson,Chris Paul,David West,Peja Stojakovic,Tyson Chandler,Aaron Williams,Cuttino Mobley,Dan Dickau,Quinton Ross,Tim Thomas,1,5:12,LAC,sub,,,,Dan Dickau,,Sam Cassell,,,,,,,,,,,,
Bobby Jackson,Chris Paul,David West,Peja Stojakovic,Tyson Chandler,Aaron Williams,Cuttino Mobley,Dan Dickau,Quinton Ross,Tim Thomas,1,5:12,NOH,free throw,,,,,,,1,,2,Peja Stojakovic,,,foul,made,,,,
Bobby Jackson,Chris Paul,David West,Peja Stojakovic,Tyson Chandler,Aaron Williams,Cuttino Mobley,Dan Dickau,Quinton Ross,Tim Thomas,1,5:12,NOH,free throw,,,,,,,2,,2,Peja Stojakovic,,,foul,made,,,,
Bobby Jackson,Chris Paul,David West,Peja Stojakovic,Tyson Chandler,Aaron Williams,Cuttino Mobley,Dan Dickau,Quinton Ross,Tim Thomas,1,4:56,LAC,shot,Dan Dickau,,,,,,,,,Aaron Williams,2,,,made,,jump,27,22
Bobby Jackson,Chris Paul,David West,Peja Stojakovic,Tyson Chandler,Aaron Williams,Cuttino Mobley,Dan Dickau,Quinton Ross,Tim Thomas,1,4:40,NOH,turnover,,,,,,,,,,Tyson Chandler,,,bad pass,,Aaron Williams,,,
Bobby Jackson,Chris Paul,David West,Peja Stojakovic,Tyson Chandler,Aaron Williams,Cuttino Mobley,Dan Dickau,Quinton Ross,Tim Thomas,1,4:36,NOH,foul,,,,,,,,Quinton Ross,,Tyson Chandler,,,,,,shooting,,
Bobby Jackson,Chris Paul,David West,Peja Stojakovic,Tyson Chandler,Aaron Williams,Cuttino Mobley,Dan Dickau,Quinton Ross,Tim Thomas,1,4:36,LAC,free throw,,,,,,,1,,2,Quinton Ross,,,foul,missed,,,,
Bobby Jackson,Chris Paul,David West,Peja Stojakovic,Tyson Chandler,Aaron Williams,Cuttino Mobley,Dan Dickau,Quinton Ross,Tim Thomas,1,4:36,LAC,rebound,,,,,,,,,,,,,,,,,,
Bobby Jackson,Chris Paul,David West,Melvin Ely,Peja Stojakovic,Aaron Williams,Cuttino Mobley,Dan Dickau,Quinton Ross,Tim Thomas,1,4:36,NOH,sub,,,,Melvin Ely,,Tyson Chandler,,,,,,,,,,,,
Bobby Jackson,Chris Paul,David West,Melvin Ely,Peja Stojakovic,Aaron Williams,Cuttino Mobley,Dan Dickau,Quinton Ross,Tim Thomas,1,4:36,LAC,free throw,,,,,,,2,,2,Quinton Ross,,,foul,made,,,,
