a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,12:00,OFF,jump ball,,Al Harrington,,,Brad Miller,,,,,,,Stephen Jackson,,,,,,
Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,11:42,GSW,shot,,,,,,,,,,Al Harrington,2,,,made,,turnaround jump,13,15
Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,11:30,SAC,shot,,,,,,,,,,Brad Miller,,,,missed,,jump,19,11
Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,11:29,GSW,rebound,,,,,,,,,,Matt Barnes,,,,,,def,,
Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,11:22,GSW,shot,,,,,,,,,,Baron Davis,2,,,made,,driving layup,25,6
Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,11:08,SAC,shot,,,Stephen Jackson,,,,,,,Brad Miller,,,,missed,,jump,19,6
Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,11:07,GSW,rebound,,,,,,,,,,Al Harrington,,,,,,def,,
Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,11:00,GSW,turnover,,,,,,,,,,Matt Barnes,,,bad pass,,Ron Artest,,,
Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,10:59,GSW,foul,,,,,,,,Ron Artest,,Baron Davis,,,,,,personal,,
Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,10:50,SAC,shot,,,,,,,,,,Beno Udrih,,,,missed,,driving layup,25,6
Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,10:48,SAC,shot,,,,,,,,,,Mikki Moore,2,,,made,,dunk,25,6
Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,10:48,SAC,rebound,,,,,,,,,,Mikki Moore,,,,,,off,,
Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,10:36,GSW,shot,,,,,,,,,,Matt Barnes,,,,missed,,3pt,48,9
Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,10:35,SAC,rebound,,,,,,,,,,Kevin Martin,,,,,,def,,
Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,10:21,SAC,shot,,,,,,,,,,Ron Artest,2,,,made,,jump bank,30,8
Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,10:11,GSW,turnover,,,,,,,,,,Stephen Jackson,,,lost ball,,Ron Artest,,,
Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,10:07,SAC,turnover,,,,,,,,,,Ron Artest,,,lost ball,,Stephen Jackson,,,
Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,10:01,GSW,shot,,,Brad Miller,,,,,,,Matt Barnes,,,,missed,,layup,25,6
Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,9:59,SAC,rebound,,,,,,,,,,Brad Miller,,,,,,def,,
Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,9:56,SAC,turnover,,,,,,,,,,Beno Udrih,,,bad pass,,,,,
Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,9:42,GSW,shot,,,,,,,,,,Monta Ellis,,,,missed,,jump,11,18
Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,9:41,SAC,rebound,,,,,,,,,,,,,,,,,,
Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,9:27,GSW,foul,,,,,,,,Ron Artest,,Stephen Jackson,,,,,,personal,,
Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,9:25,SAC,turnover,,,,,,,,,,Beno Udrih,,,bad pass,,Al Harrington,,,
Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,9:24,SAC,foul,,,,,,,,Al Harrington,,Beno Udrih,,,,,,personal,,
