a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,12:00,OFF,jump ball,,Chris Kaman,,,Marcus Camby,,,,,,,Tim Thomas,,,,,,
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,11:45,LAC,shot,Ruben Patterson,,,,,,,,,Corey Maggette,2,,,made,,jump,8,11
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,11:22,DEN,shot,,,,,,,,,,Kenyon Martin,,,,missed,,jump,25,26
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,11:20,DEN,rebound,,,,,,,,,,Marcus Camby,,,,,,off,,
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,11:17,DEN,shot,,,,,,,,,,Carmelo Anthony,,,,missed,,driving layup,25,6
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,11:15,LAC,rebound,,,,,,,,,,Ruben Patterson,,,,,,def,,
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,11:00,LAC,shot,,,,,,,,,,Chris Kaman,2,,,made,,hook,18,8
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,10:39,DEN,shot,Anthony Carter,,,,,,,,,Allen Iverson,2,,,made,,jump,43,9
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,10:20,LAC,shot,,,,,,,,,,Ruben Patterson,,,,missed,,jump,35,22
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,10:18,DEN,rebound,,,,,,,,,,Marcus Camby,,,,,,def,,
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,10:07,DEN,shot,,,,,,,,,,Marcus Camby,,,,missed,,jump,22,26
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,10:05,LAC,rebound,,,,,,,,,,Chris Kaman,,,,,,def,,
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,9:55,LAC,shot,,,,,,,,,,Tim Thomas,,,,missed,,turnaround jump,29,16
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,9:52,LAC,rebound,,,,,,,,,,Chris Kaman,,,,,,off,,
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,9:51,DEN,foul,,,,,,,,Ruben Patterson,,Marcus Camby,,,,,,shooting,,
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,9:51,LAC,free throw,,,,,,,1,,2,Ruben Patterson,,,foul,made,,,,
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,9:51,LAC,free throw,,,,,,,2,,2,Ruben Patterson,,,foul,made,,,,
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,9:29,DEN,shot,Carmelo Anthony,,,,,,,,,Anthony Carter,2,,,made,,jump,27,26
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,9:16,LAC,shot,Brevin Knight,,,,,,,,,Tim Thomas,3,,,made,,3pt,35,29
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,9:08,DEN,shot,Anthony Carter,,,,,,,,,Carmelo Anthony,2,,,made,,dunk,25,6
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,8:53,LAC,shot,,,,,,,,,,Brevin Knight,2,,,made,,driving layup,25,6
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,8:37,DEN,shot,,,,,,,,,,Allen Iverson,,,,missed,,3pt,45,21
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,8:33,LAC,rebound,,,,,,,,,,Brevin Knight,,,,,,def,,
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,8:26,LAC,turnover,,,,,,,,,,Ruben Patterson,,,bad pass,,Carmelo Anthony,,,
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,8:23,DEN,turnover,,,,,,,,,,Carmelo Anthony,,,lost ball,,Corey Maggette,,,
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,8:18,LAC,shot,Brevin Knight,,,,,,,,,Tim Thomas,3,,,made,,3pt,39,26
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,8:04,DEN,shot,Anthony Carter,,,,,,,,,Allen Iverson,2,,,made,,jump,44,7
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,7:35,LAC,shot,,,,,,,,,,Corey Maggette,,,,missed,,jump,9,8
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,7:35,LAC,rebound,,,,,,,,,,,,,,,,,,
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,7:35,LAC,turnover,,,,,,,,,,,,,shot clock turnover,,,,,
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,7:22,DEN,turnover,,,,,,,,,,Allen Iverson,,,bad pass,,Brevin Knight,,,
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,7:17,LAC,shot,Ruben Patterson,,,,,,,,,Corey Maggette,2,,,made,,slam dunk,25,6
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,7:06,DEN,shot,,,,,,,,,,Allen Iverson,,,,missed,,running jump,28,11
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,7:04,LAC,rebound,,,,,,,,,,Brevin Knight,,,,,,def,,
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,6:59,LAC,shot,,,,,,,,,,Corey Maggette,,,,missed,,layup,25,6
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,6:57,LAC,shot,,,,,,,,,,Chris Kaman,2,,,made,,putback slam dunk,25,6
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,6:57,LAC,rebound,,,,,,,,,,Chris Kaman,,,,,,off,,
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,6:53,DEN,timeout,,,,,,,,,,,,,,,,regular,,
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,6:41,DEN,shot,,,,,,,,,,Carmelo Anthony,,,,missed,,layup,25,6
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,6:40,DEN,shot,,,,,,,,,,Marcus Camby,2,,,made,,putback slam dunk,25,6
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,6:40,DEN,rebound,,,,,,,,,,Marcus Camby,,,,,,off,,
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,6:25,LAC,shot,,,,,,,,,,Chris Kaman,,,,missed,,turnaround jump,14,7
Brevin Knight,Chris Kaman,Corey Maggette,Ruben Patterson,Tim Thomas,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,6:21,DEN,rebound,,,,,,,,,,Anthony Carter,,,,,,def,,
