a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,12:00,OFF,jump ball,,Andrew Bynum,,,Jarron Collins,,,,,,,Derek Fisher,,,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,11:37,LAL,shot,,,,,,,,,,Kobe Bryant,2,,,made,,running jump,25,16
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,11:25,UTA,turnover,,,,,,,,,,Deron Williams,,,bad pass,,Derek Fisher,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,11:19,LAL,shot,,,,,,,,,,Kobe Bryant,,,,missed,,jump,13,20
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,11:17,UTA,rebound,,,,,,,,,,Paul Millsap,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,11:03,UTA,shot,,,,,,,,,,Jarron Collins,,,,missed,,jump,33,22
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,11:02,LAL,rebound,,,,,,,,,,Ronny Turiaf,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,10:55,LAL,shot,,,,,,,,,,Kobe Bryant,2,,,made,,driving layup,25,6
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,10:37,UTA,shot,,,,,,,,,,Deron Williams,,,,missed,,jump,33,26
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,10:36,UTA,rebound,,,,,,,,,,Jarron Collins,,,,,,off,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,10:31,UTA,shot,Jarron Collins,,,,,,,,,Paul Millsap,2,,,made,,layup,25,6
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,10:24,LAL,timeout,,,,,,,,,,,,,,,,short,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,10:09,LAL,shot,Kobe Bryant,,,,,,,,,Ronny Turiaf,2,,,made,,layup,25,6
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,9:52,LAL,foul,,,,,,,,Andrei Kirilenko,,Kobe Bryant,,,,,,shooting,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,9:52,UTA,free throw,,,,,,,1,,2,Andrei Kirilenko,,,foul,made,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,9:52,UTA,free throw,,,,,,,2,,2,Andrei Kirilenko,,,foul,made,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,9:35,UTA,foul,,,,,,,,Andrew Bynum,,Jarron Collins,,,,,,shooting,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,9:35,LAL,free throw,,,,,,,1,,2,Andrew Bynum,,,foul,made,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,9:35,LAL,free throw,,,,,,,2,,2,Andrew Bynum,,,foul,made,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,9:23,UTA,shot,,,,,,,,,,Ronnie Brewer,2,,,made,,layup,25,6
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,9:01,LAL,shot,,,,,,,,,,Derek Fisher,,,,missed,,jump,41,16
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,8:59,LAL,rebound,,,,,,,,,,Andrew Bynum,,,,,,off,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,8:57,LAL,turnover,,,,,,,,,,Andrew Bynum,,,lost ball,,Andrei Kirilenko,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,8:53,UTA,shot,Ronnie Brewer,,,,,,,,,Paul Millsap,2,,,made,,layup,25,6
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,8:33,LAL,shot,,,,,,,,,,Ronny Turiaf,,,,missed,,jump,7,6
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,8:32,UTA,rebound,,,,,,,,,,Jarron Collins,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,8:25,LAL,foul,,,,,,,,Paul Millsap,,Ronny Turiaf,,,,,,shooting,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,8:25,UTA,free throw,,,,,,,1,,2,Paul Millsap,,,foul,missed,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,8:25,UTA,rebound,,,,,,,,,,,,,,,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,8:25,UTA,free throw,,,,,,,2,,2,Paul Millsap,,,foul,missed,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,8:24,LAL,rebound,,,,,,,,,,Andrew Bynum,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,8:07,LAL,shot,,,,,,,,,,Lamar Odom,,,,missed,,jump hook,25,13
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,8:06,UTA,rebound,,,,,,,,,,,,,,,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,7:42,UTA,shot,Ronnie Brewer,,,,,,,,,Andrei Kirilenko,2,,,made,,jump,45,5
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,7:33,LAL,shot,,,,,,,,,,Kobe Bryant,,,,missed,,driving layup,25,6
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Andrei Kirilenko,Deron Williams,Jarron Collins,Paul Millsap,Ronnie Brewer,1,7:32,OFF,jump ball,,Kobe Bryant,,,Jarron Collins,,,,,,,Andrei Kirilenko,,,,,,
