a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andrew Bogut,Desmond Mason,Michael Redd,Mo Williams,Yi Jianlian,Eddy Curry,Jamal Crawford,Quentin Richardson,Stephon Marbury,Zach Randolph,1,12:00,OFF,jump ball,,Andrew Bogut,,,Eddy Curry,,,,,,,Quentin Richardson,,,,,,
Andrew Bogut,Desmond Mason,Michael Redd,Mo Williams,Yi Jianlian,Eddy Curry,Jamal Crawford,Quentin Richardson,Stephon Marbury,Zach Randolph,1,11:41,NYK,shot,Quentin Richardson,,,,,,,,,Stephon Marbury,3,,,made,,3pt,5,21
Andrew Bogut,Desmond Mason,Michael Redd,Mo Williams,Yi Jianlian,Eddy Curry,Jamal Crawford,Quentin Richardson,Stephon Marbury,Zach Randolph,1,11:20,MIL,shot,Desmond Mason,,,,,,,,,Michael Redd,3,,,made,,3pt,15,29
Andrew Bogut,Desmond Mason,Michael Redd,Mo Williams,Yi Jianlian,Eddy Curry,Jamal Crawford,Quentin Richardson,Stephon Marbury,Zach Randolph,1,11:07,NYK,foul,,,,,,,,Yi Jianlian,,Zach Randolph,,,,,,offensive,,
Andrew Bogut,Desmond Mason,Michael Redd,Mo Williams,Yi Jianlian,Eddy Curry,Jamal Crawford,Quentin Richardson,Stephon Marbury,Zach Randolph,1,11:07,NYK,turnover,,,,,,,,,,Zach Randolph,,,foul,,,,,
Andrew Bogut,Desmond Mason,Michael Redd,Mo Williams,Yi Jianlian,Eddy Curry,Jamal Crawford,Quentin Richardson,Stephon Marbury,Zach Randolph,1,10:50,MIL,shot,,,,,,,,,,Desmond Mason,,,,missed,,jump,26,21
Andrew Bogut,Desmond Mason,Michael Redd,Mo Williams,Yi Jianlian,Eddy Curry,Jamal Crawford,Quentin Richardson,Stephon Marbury,Zach Randolph,1,10:48,NYK,rebound,,,,,,,,,,Stephon Marbury,,,,,,def,,
Andrew Bogut,Desmond Mason,Michael Redd,Mo Williams,Yi Jianlian,Eddy Curry,Jamal Crawford,Quentin Richardson,Stephon Marbury,Zach Randolph,1,10:36,NYK,shot,,,,,,,,,,Jamal Crawford,,,,missed,,layup,25,6
Andrew Bogut,Desmond Mason,Michael Redd,Mo Williams,Yi Jianlian,Eddy Curry,Jamal Crawford,Quentin Richardson,Stephon Marbury,Zach Randolph,1,10:34,MIL,rebound,,,,,,,,,,Yi Jianlian,,,,,,def,,
Andrew Bogut,Desmond Mason,Michael Redd,Mo Williams,Yi Jianlian,Eddy Curry,Jamal Crawford,Quentin Richardson,Stephon Marbury,Zach Randolph,1,10:23,MIL,shot,,,Eddy Curry,,,,,,,Yi Jianlian,,,,missed,,layup,25,6
Andrew Bogut,Desmond Mason,Michael Redd,Mo Williams,Yi Jianlian,Eddy Curry,Jamal Crawford,Quentin Richardson,Stephon Marbury,Zach Randolph,1,10:22,MIL,rebound,,,,,,,,,,,,,,,,,,
Andrew Bogut,Desmond Mason,Michael Redd,Mo Williams,Yi Jianlian,Eddy Curry,Jamal Crawford,Quentin Richardson,Stephon Marbury,Zach Randolph,1,10:17,MIL,shot,,,,,,,,,,Michael Redd,,,,missed,,3pt,11,27
Andrew Bogut,Desmond Mason,Michael Redd,Mo Williams,Yi Jianlian,Eddy Curry,Jamal Crawford,Quentin Richardson,Stephon Marbury,Zach Randolph,1,10:15,MIL,shot,,,,,,,,,,Desmond Mason,,,,missed,,tip,28,8
