a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,1,12:00,OFF,jump ball,,Marcus Camby,,,Erick Dampier,,,,,,,Devin Harris,,,,,,
Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,1,11:41,DEN,foul,,,,,,,,Josh Howard,,Carmelo Anthony,,,,,,shooting,,
Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,1,11:41,DAL,free throw,,,,,,,1,,2,Josh Howard,,,foul,made,,,,
Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,1,11:41,DAL,free throw,,,,,,,2,,2,Josh Howard,,,foul,made,,,,
Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,1,11:26,DEN,shot,,,,,,,,,,Carmelo Anthony,,,,missed,,jump,9,16
Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,1,11:25,DAL,rebound,,,,,,,,,,Erick Dampier,,,,,,def,,
Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,1,11:18,DAL,shot,,,,,,,,,,Devin Harris,,,,missed,,jump,19,24
Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,1,11:17,DEN,rebound,,,,,,,,,,Anthony Carter,,,,,,def,,
Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,1,11:09,DEN,shot,Anthony Carter,,,,,,,,,Kenyon Martin,2,,,made,,running hook,30,10
Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,1,10:52,DAL,turnover,,,,,,,,,,Dirk Nowitzki,,,bad pass,,Kenyon Martin,,,
