a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Dorell Wright,Dwyane Wade,Jason Williams,Shaquille O'Neal,Udonis Haslem,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,12:00,OFF,jump ball,,Shaquille O'Neal,,,Andris Biedrins,,,,,,,Jason Williams,,,,,,
Dorell Wright,Dwyane Wade,Jason Williams,Shaquille O'Neal,Udonis Haslem,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,11:44,MIA,shot,Dwyane Wade,,,,,,,,,Shaquille O'Neal,2,,,made,,layup,24,7
Dorell Wright,Dwyane Wade,Jason Williams,Shaquille O'Neal,Udonis Haslem,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,11:23,GSW,shot,,,,,,,,,,Al Harrington,,,,missed,,jump,45,5
Dorell Wright,Dwyane Wade,Jason Williams,Shaquille O'Neal,Udonis Haslem,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,11:21,MIA,rebound,,,,,,,,,,Shaquille O'Neal,,,,,,def,,
Dorell Wright,Dwyane Wade,Jason Williams,Shaquille O'Neal,Udonis Haslem,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,11:05,MIA,shot,Shaquille O'Neal,,,,,,,,,Dorell Wright,2,,,made,,jump,10,18
Dorell Wright,Dwyane Wade,Jason Williams,Shaquille O'Neal,Udonis Haslem,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,10:47,GSW,shot,,,,,,,,,,Stephen Jackson,,,,missed,,jump,16,7
Dorell Wright,Dwyane Wade,Jason Williams,Shaquille O'Neal,Udonis Haslem,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,10:46,MIA,rebound,,,,,,,,,,Udonis Haslem,,,,,,def,,
Dorell Wright,Dwyane Wade,Jason Williams,Shaquille O'Neal,Udonis Haslem,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,10:40,MIA,shot,Dwyane Wade,,,,,,,,,Dorell Wright,2,,,made,,alley oop layup,23,8
Dorell Wright,Dwyane Wade,Jason Williams,Shaquille O'Neal,Udonis Haslem,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,10:27,GSW,shot,,,,,,,,,,Monta Ellis,,,,missed,,jump,22,7
Dorell Wright,Dwyane Wade,Jason Williams,Shaquille O'Neal,Udonis Haslem,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,10:26,MIA,rebound,,,,,,,,,,Udonis Haslem,,,,,,def,,
Dorell Wright,Dwyane Wade,Jason Williams,Shaquille O'Neal,Udonis Haslem,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,10:20,MIA,shot,,,,,,,,,,Dwyane Wade,2,,,made,,jump bank,12,7
Dorell Wright,Dwyane Wade,Jason Williams,Shaquille O'Neal,Udonis Haslem,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,10:17,GSW,timeout,,,,,,,,,,,,,,,,regular,,
Dorell Wright,Dwyane Wade,Jason Williams,Shaquille O'Neal,Udonis Haslem,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,10:03,GSW,shot,,,,,,,,,,Baron Davis,,,,missed,,step back jump,20,25
Dorell Wright,Dwyane Wade,Jason Williams,Shaquille O'Neal,Udonis Haslem,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,10:01,GSW,rebound,,,,,,,,,,Andris Biedrins,,,,,,off,,
Dorell Wright,Dwyane Wade,Jason Williams,Shaquille O'Neal,Udonis Haslem,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,10:01,OFF,jump ball,,Shaquille O'Neal,,,Andris Biedrins,,,,,,,Dorell Wright,,,,,,
Dorell Wright,Dwyane Wade,Jason Williams,Shaquille O'Neal,Udonis Haslem,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,10:01,GSW,turnover,,,,,,,,,,Andris Biedrins,,,lost ball,,Shaquille O'Neal,,,
Dorell Wright,Dwyane Wade,Jason Williams,Shaquille O'Neal,Udonis Haslem,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,9:50,MIA,shot,,,,,,,,,,Jason Williams,2,,,made,,running jump,29,9
Dorell Wright,Dwyane Wade,Jason Williams,Shaquille O'Neal,Udonis Haslem,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,9:30,GSW,shot,Baron Davis,,,,,,,,,Andris Biedrins,2,,,made,,driving reverse layup,22,7
Dorell Wright,Dwyane Wade,Jason Williams,Shaquille O'Neal,Udonis Haslem,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,9:11,MIA,shot,,,,,,,,,,Shaquille O'Neal,2,,,made,,jump hook,25,11
Dorell Wright,Dwyane Wade,Jason Williams,Shaquille O'Neal,Udonis Haslem,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,8:59,GSW,shot,,,,,,,,,,Stephen Jackson,,,,missed,,3pt,24,33
Dorell Wright,Dwyane Wade,Jason Williams,Shaquille O'Neal,Udonis Haslem,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,8:58,GSW,rebound,,,,,,,,,,Andris Biedrins,,,,,,off,,
Dorell Wright,Dwyane Wade,Jason Williams,Shaquille O'Neal,Udonis Haslem,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,8:55,GSW,shot,Al Harrington,,,,,,,,,Stephen Jackson,2,,,made,,driving finger roll layup,24,8
Dorell Wright,Dwyane Wade,Jason Williams,Shaquille O'Neal,Udonis Haslem,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,8:39,MIA,shot,,,,,,,,,,Dwyane Wade,,,,missed,,jump,40,18
Dorell Wright,Dwyane Wade,Jason Williams,Shaquille O'Neal,Udonis Haslem,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,8:38,GSW,rebound,,,,,,,,,,Monta Ellis,,,,,,def,,
Dorell Wright,Dwyane Wade,Jason Williams,Shaquille O'Neal,Udonis Haslem,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,8:33,GSW,shot,,,,,,,,,,Monta Ellis,,,,missed,,jump,23,9
