a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,12:00,OFF,jump ball,,Brad Miller,,,Marcus Camby,,,,,,,Kenyon Martin,,,,,,
Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,11:46,DEN,turnover,,,,,,,,,,Marcus Camby,,,bad pass,,,,,
Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,11:35,SAC,shot,Brad Miller,,,,,,,,,John Salmons,2,,,made,,layup,25,6
Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,11:35,DEN,foul,,,,,,,,John Salmons,,Marcus Camby,,,,,,shooting,,
Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,11:35,SAC,free throw,,,,,,,1,,1,John Salmons,,,foul,made,,,,
Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,11:22,DEN,shot,,,,,,,,,,Carmelo Anthony,,,,missed,,jump,41,10
Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,11:21,SAC,rebound,,,,,,,,,,John Salmons,,,,,,def,,
Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,11:05,SAC,shot,Brad Miller,,,,,,,,,Beno Udrih,2,,,made,,jump,44,7
Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,10:52,DEN,shot,Anthony Carter,,,,,,,,,Marcus Camby,2,,,made,,jump,12,21
Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,10:30,SAC,turnover,,,,,,,,,,Brad Miller,,,bad pass,,Kenyon Martin,,,
Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,10:26,DEN,shot,Allen Iverson,,,,,,,,,Carmelo Anthony,2,,,made,,finger roll layup,25,6
Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,10:07,SAC,shot,,,,,,,,,,Mikki Moore,,,,missed,,turnaround jump,30,15
Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,10:04,DEN,rebound,,,,,,,,,,Carmelo Anthony,,,,,,def,,
Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,10:02,DEN,shot,Anthony Carter,,,,,,,,,Kenyon Martin,2,,,made,,layup,25,6
Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,9:37,SAC,shot,John Salmons,,,,,,,,,Brad Miller,2,,,made,,jump,34,23
Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,9:32,DEN,shot,Anthony Carter,,,,,,,,,Carmelo Anthony,2,,,made,,layup,25,6
Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,9:12,SAC,shot,John Salmons,,,,,,,,,Brad Miller,2,,,made,,jump,17,25
Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,9:03,DEN,turnover,,,,,,,,,,Anthony Carter,,,out of bounds lost ball turnover,,,,,
Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,8:54,SAC,shot,,,,,,,,,,Ron Artest,,,,missed,,3pt,6,23
Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,8:52,DEN,rebound,,,,,,,,,,Allen Iverson,,,,,,def,,
Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,Allen Iverson,Anthony Carter,Carmelo Anthony,Kenyon Martin,Marcus Camby,1,8:50,SAC,foul,,,,,,,,Allen Iverson,,Mikki Moore,,,,,,personal,,
