a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Antonio McDyess,Chauncey Billups,Jason Maxiell,Richard Hamilton,Tayshaun Prince,Damon Stoudamire,Darko Milicic,Mike Miller,Pau Gasol,Rudy Gay,1,12:00,OFF,jump ball,,Jason Maxiell,,,Pau Gasol,,,,,,,Darko Milicic,,,,,,
Antonio McDyess,Chauncey Billups,Jason Maxiell,Richard Hamilton,Tayshaun Prince,Damon Stoudamire,Darko Milicic,Mike Miller,Pau Gasol,Rudy Gay,1,11:36,MEM,shot,,,,,,,,,,Darko Milicic,,,,missed,,layup,23,9
Antonio McDyess,Chauncey Billups,Jason Maxiell,Richard Hamilton,Tayshaun Prince,Damon Stoudamire,Darko Milicic,Mike Miller,Pau Gasol,Rudy Gay,1,11:34,DET,rebound,,,,,,,,,,Antonio McDyess,,,,,,def,,
Antonio McDyess,Chauncey Billups,Jason Maxiell,Richard Hamilton,Tayshaun Prince,Damon Stoudamire,Darko Milicic,Mike Miller,Pau Gasol,Rudy Gay,1,11:16,DET,shot,,,,,,,,,,Tayshaun Prince,,,,missed,,jump,45,17
Antonio McDyess,Chauncey Billups,Jason Maxiell,Richard Hamilton,Tayshaun Prince,Damon Stoudamire,Darko Milicic,Mike Miller,Pau Gasol,Rudy Gay,1,11:14,MEM,rebound,,,,,,,,,,Pau Gasol,,,,,,def,,
Antonio McDyess,Chauncey Billups,Jason Maxiell,Richard Hamilton,Tayshaun Prince,Damon Stoudamire,Darko Milicic,Mike Miller,Pau Gasol,Rudy Gay,1,11:07,MEM,turnover,,,,,,,,,,Damon Stoudamire,,,bad pass,,Chauncey Billups,,,
Antonio McDyess,Chauncey Billups,Jason Maxiell,Richard Hamilton,Tayshaun Prince,Damon Stoudamire,Darko Milicic,Mike Miller,Pau Gasol,Rudy Gay,1,11:03,DET,foul,,,,,,,,Damon Stoudamire,,Jason Maxiell,,,,,,offensive,,
Antonio McDyess,Chauncey Billups,Jason Maxiell,Richard Hamilton,Tayshaun Prince,Damon Stoudamire,Darko Milicic,Mike Miller,Pau Gasol,Rudy Gay,1,11:03,DET,turnover,,,,,,,,,,Jason Maxiell,,,foul,,,,,
Antonio McDyess,Chauncey Billups,Jason Maxiell,Richard Hamilton,Tayshaun Prince,Damon Stoudamire,Darko Milicic,Mike Miller,Pau Gasol,Rudy Gay,1,10:48,MEM,shot,,,Richard Hamilton,,,,,,,Mike Miller,,,,missed,,3pt,49,6
Antonio McDyess,Chauncey Billups,Jason Maxiell,Richard Hamilton,Tayshaun Prince,Damon Stoudamire,Darko Milicic,Mike Miller,Pau Gasol,Rudy Gay,1,10:45,DET,rebound,,,,,,,,,,Chauncey Billups,,,,,,def,,
Antonio McDyess,Chauncey Billups,Jason Maxiell,Richard Hamilton,Tayshaun Prince,Damon Stoudamire,Darko Milicic,Mike Miller,Pau Gasol,Rudy Gay,1,10:42,DET,shot,Chauncey Billups,,,,,,,,,Richard Hamilton,2,,,made,,layup,25,6
Antonio McDyess,Chauncey Billups,Jason Maxiell,Richard Hamilton,Tayshaun Prince,Damon Stoudamire,Darko Milicic,Mike Miller,Pau Gasol,Rudy Gay,1,10:27,MEM,shot,,,,,,,,,,Pau Gasol,,,,missed,,jump,32,18
Antonio McDyess,Chauncey Billups,Jason Maxiell,Richard Hamilton,Tayshaun Prince,Damon Stoudamire,Darko Milicic,Mike Miller,Pau Gasol,Rudy Gay,1,10:26,DET,rebound,,,,,,,,,,Jason Maxiell,,,,,,def,,
