a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Chris Paul,David West,Morris Peterson,Rasual Butler,Tyson Chandler,Chris Wilcox,Damien Wilkins,Earl Watson,Kevin Durant,Kurt Thomas,1,12:00,OFF,jump ball,,Tyson Chandler,,,Chris Wilcox,,,,,,,Morris Peterson,,,,,,
Chris Paul,David West,Morris Peterson,Rasual Butler,Tyson Chandler,Chris Wilcox,Damien Wilkins,Earl Watson,Kevin Durant,Kurt Thomas,1,11:35,NOH,turnover,,,,,,,,,,David West,,,bad pass,,Chris Wilcox,,,
Chris Paul,David West,Morris Peterson,Rasual Butler,Tyson Chandler,Chris Wilcox,Damien Wilkins,Earl Watson,Kevin Durant,Kurt Thomas,1,11:24,SEA,shot,,,,,,,,,,Damien Wilkins,,,,missed,,jump,11,6
Chris Paul,David West,Morris Peterson,Rasual Butler,Tyson Chandler,Chris Wilcox,Damien Wilkins,Earl Watson,Kevin Durant,Kurt Thomas,1,11:24,SEA,rebound,,,,,,,,,,,,,,,,,,
Chris Paul,David West,Morris Peterson,Rasual Butler,Tyson Chandler,Chris Wilcox,Damien Wilkins,Earl Watson,Kevin Durant,Kurt Thomas,1,11:22,SEA,shot,Damien Wilkins,,,,,,,,,Kevin Durant,2,,,made,,slam dunk,24,9
Chris Paul,David West,Morris Peterson,Rasual Butler,Tyson Chandler,Chris Wilcox,Damien Wilkins,Earl Watson,Kevin Durant,Kurt Thomas,1,11:08,NOH,shot,,,,,,,,,,Chris Paul,,,,missed,,jump,20,9
Chris Paul,David West,Morris Peterson,Rasual Butler,Tyson Chandler,Chris Wilcox,Damien Wilkins,Earl Watson,Kevin Durant,Kurt Thomas,1,11:06,SEA,rebound,,,,,,,,,,Earl Watson,,,,,,def,,
Chris Paul,David West,Morris Peterson,Rasual Butler,Tyson Chandler,Chris Wilcox,Damien Wilkins,Earl Watson,Kevin Durant,Kurt Thomas,1,11:00,SEA,shot,Kevin Durant,,,,,,,,,Chris Wilcox,2,,,made,,running layup,26,9
Chris Paul,David West,Morris Peterson,Rasual Butler,Tyson Chandler,Chris Wilcox,Damien Wilkins,Earl Watson,Kevin Durant,Kurt Thomas,1,10:42,NOH,shot,Tyson Chandler,,,,,,,,,David West,2,,,made,,floating jump,27,7
Chris Paul,David West,Morris Peterson,Rasual Butler,Tyson Chandler,Chris Wilcox,Damien Wilkins,Earl Watson,Kevin Durant,Kurt Thomas,1,10:42,SEA,foul,,,,,,,,David West,,Chris Wilcox,,,,,,shooting,,
