a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,12:00,OFF,jump ball,,Josh Smith,,,Brendan Haywood,,,,,,,Anthony Johnson,,,,,,
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,11:39,ATL,shot,,,,,,,,,,Anthony Johnson,,,,missed,,jump,10,12
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,11:38,ATL,rebound,,,,,,,,,,Joe Johnson,,,,,,off,,
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,11:29,ATL,shot,Joe Johnson,,,,,,,,,Marvin Williams,2,,,made,,jump,41,13
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,11:03,WAS,shot,,,,,,,,,,Caron Butler,3,,,made,,3pt,44,22
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,10:39,ATL,shot,Joe Johnson,,,,,,,,,Marvin Williams,2,,,made,,jump,43,11
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,10:28,WAS,shot,,,,,,,,,,Roger Mason,,,,missed,,jump,13,22
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,10:27,ATL,rebound,,,,,,,,,,Al Horford,,,,,,def,,
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,10:17,ATL,shot,Anthony Johnson,,,,,,,,,Joe Johnson,3,,,made,,3pt,48,3
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,9:54,WAS,shot,,,,,,,,,,Caron Butler,,,,missed,,jump,43,6
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,9:53,ATL,rebound,,,,,,,,,,Marvin Williams,,,,,,def,,
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,9:50,WAS,foul,,,,,,,,Marvin Williams,,DeShawn Stevenson,,,,,,personal,,
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,9:44,ATL,shot,,,,,,,,,,Anthony Johnson,,,,missed,,jump,15,21
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,9:43,WAS,rebound,,,,,,,,,,DeShawn Stevenson,,,,,,def,,
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,9:24,WAS,shot,,,,,,,,,,Caron Butler,,,,missed,,3pt,3,18
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,9:23,ATL,rebound,,,,,,,,,,Marvin Williams,,,,,,def,,
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,9:22,WAS,foul,,,,,,,,Anthony Johnson,,Caron Butler,,,,,,personal,,
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,9:08,ATL,shot,Anthony Johnson,,,,,,,,,Al Horford,2,,,made,,jump,42,14
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,8:54,WAS,shot,,,,,,,,,,Brendan Haywood,2,,,made,,running hook,27,11
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,8:43,WAS,foul,,,,,,,,Anthony Johnson,,Roger Mason,,,,,,shooting,,
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,8:43,ATL,free throw,,,,,,,1,,2,Anthony Johnson,,,foul,made,,,,
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,8:43,ATL,free throw,,,,,,,2,,2,Anthony Johnson,,,foul,made,,,,
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,8:28,WAS,shot,,,,,,,,,,Antawn Jamison,2,,,made,,hook,18,6
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,8:10,ATL,shot,Anthony Johnson,,,,,,,,,Al Horford,2,,,made,,jump,11,4
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,7:52,WAS,shot,,,,,,,,,,Antawn Jamison,,,,missed,,jump,24,12
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,7:51,ATL,rebound,,,,,,,,,,Josh Smith,,,,,,def,,
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,7:42,ATL,shot,Anthony Johnson,,,,,,,,,Josh Smith,2,,,made,,layup,25,6
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,7:27,WAS,shot,,,,,,,,,,Roger Mason,,,,missed,,3pt,29,31
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,7:26,ATL,rebound,,,,,,,,,,Josh Smith,,,,,,def,,
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,7:16,ATL,shot,Joe Johnson,,,,,,,,,Marvin Williams,2,,,made,,jump,36,22
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,7:15,WAS,timeout,,,,,,,,,,,,,,,,regular,,
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,6:54,WAS,turnover,,,,,,,,,,Brendan Haywood,,,lost ball,,Joe Johnson,,,
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,6:49,ATL,turnover,,,,,,,,,,Al Horford,,,bad pass,,,,,
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,6:30,WAS,shot,Antawn Jamison,,,,,,,,,DeShawn Stevenson,3,,,made,,3pt,44,22
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,6:11,ATL,shot,,,,,,,,,,Joe Johnson,,,,missed,,jump,42,9
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Roger Mason,1,6:10,WAS,rebound,,,,,,,,,,Caron Butler,,,,,,def,,
