a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Emeka Okafor,Gerald Wallace,Jason Richardson,Nazr Mohammed,Raymond Felton,Andrew Bogut,Charlie Bell,Michael Redd,Mo Williams,Yi Jianlian,1,12:00,OFF,jump ball,,Emeka Okafor,,,Andrew Bogut,,,,,,,Michael Redd,,,,,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Nazr Mohammed,Raymond Felton,Andrew Bogut,Charlie Bell,Michael Redd,Mo Williams,Yi Jianlian,1,11:40,MIL,shot,Charlie Bell,,,,,,,,,Michael Redd,2,,,made,,layup,25,6
Emeka Okafor,Gerald Wallace,Jason Richardson,Nazr Mohammed,Raymond Felton,Andrew Bogut,Charlie Bell,Michael Redd,Mo Williams,Yi Jianlian,1,11:25,CHA,shot,Nazr Mohammed,,,,,,,,,Gerald Wallace,2,,,made,,layup,25,6
Emeka Okafor,Gerald Wallace,Jason Richardson,Nazr Mohammed,Raymond Felton,Andrew Bogut,Charlie Bell,Michael Redd,Mo Williams,Yi Jianlian,1,11:06,MIL,shot,,,,,,,,,,Andrew Bogut,2,,,made,,layup,25,6
Emeka Okafor,Gerald Wallace,Jason Richardson,Nazr Mohammed,Raymond Felton,Andrew Bogut,Charlie Bell,Michael Redd,Mo Williams,Yi Jianlian,1,11:06,CHA,foul,,,,,,,,Andrew Bogut,,Nazr Mohammed,,,,,,shooting,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Nazr Mohammed,Raymond Felton,Andrew Bogut,Charlie Bell,Michael Redd,Mo Williams,Yi Jianlian,1,11:06,MIL,free throw,,,,,,,1,,1,Andrew Bogut,,,foul,made,,,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Nazr Mohammed,Raymond Felton,Andrew Bogut,Charlie Bell,Michael Redd,Mo Williams,Yi Jianlian,1,10:55,MIL,foul,,,,,,,,Jason Richardson,,Charlie Bell,,,,,,personal,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Nazr Mohammed,Raymond Felton,Andrew Bogut,Charlie Bell,Michael Redd,Mo Williams,Yi Jianlian,1,10:39,CHA,shot,,,,,,,,,,Emeka Okafor,,,,missed,,jump,33,15
Emeka Okafor,Gerald Wallace,Jason Richardson,Nazr Mohammed,Raymond Felton,Andrew Bogut,Charlie Bell,Michael Redd,Mo Williams,Yi Jianlian,1,10:38,MIL,rebound,,,,,,,,,,Yi Jianlian,,,,,,def,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Nazr Mohammed,Raymond Felton,Andrew Bogut,Charlie Bell,Michael Redd,Mo Williams,Yi Jianlian,1,10:26,MIL,shot,Mo Williams,,,,,,,,,Yi Jianlian,2,,,made,,jump,9,4
