a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Ben Gordon,Ben Wallace,Joe Smith,Kirk Hinrich,Luol Deng,1,12:00,OFF,jump ball,,Yao Ming,,,Ben Wallace,,,,,,,Joe Smith,,,,,,
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Ben Gordon,Ben Wallace,Joe Smith,Kirk Hinrich,Luol Deng,1,11:46,CHI,shot,,,Chuck Hayes,,,,,,,Joe Smith,,,,missed,,jump,25,13
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Ben Gordon,Ben Wallace,Joe Smith,Kirk Hinrich,Luol Deng,1,11:44,HOU,rebound,,,,,,,,,,Rafer Alston,,,,,,def,,
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Ben Gordon,Ben Wallace,Joe Smith,Kirk Hinrich,Luol Deng,1,11:38,CHI,foul,,,,,,,,Yao Ming,,Ben Gordon,,,,,,personal,,
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Ben Gordon,Ben Wallace,Joe Smith,Kirk Hinrich,Luol Deng,1,11:29,HOU,turnover,,,,,,,,,,Rafer Alston,,,bad pass,,Ben Gordon,,,
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Ben Gordon,Ben Wallace,Joe Smith,Kirk Hinrich,Luol Deng,1,11:21,CHI,shot,,,,,,,,,,Kirk Hinrich,2,,,made,,jump,29,24
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Ben Gordon,Ben Wallace,Joe Smith,Kirk Hinrich,Luol Deng,1,11:03,HOU,turnover,,,,,,,,,,Rafer Alston,,,bad pass,,Kirk Hinrich,,,
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Ben Gordon,Ben Wallace,Joe Smith,Kirk Hinrich,Luol Deng,1,10:59,CHI,shot,Ben Gordon,,,,,,,,,Luol Deng,2,,,made,,layup,25,6
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Ben Gordon,Ben Wallace,Joe Smith,Kirk Hinrich,Luol Deng,1,10:41,HOU,shot,Rafer Alston,,,,,,,,,Yao Ming,2,,,made,,jump,24,23
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Ben Gordon,Ben Wallace,Joe Smith,Kirk Hinrich,Luol Deng,1,10:25,CHI,shot,Ben Wallace,,,,,,,,,Ben Gordon,2,,,made,,jump,26,19
