a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Allen Iverson,Anthony Carter,Carmelo Anthony,Marcus Camby,Yakhouba Diawara,Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,1,12:00,OFF,jump ball,,Marcus Camby,,,Brad Miller,,,,,,,Marcus Camby,,,,,,
Allen Iverson,Anthony Carter,Carmelo Anthony,Marcus Camby,Yakhouba Diawara,Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,1,11:41,DEN,shot,,,,,,,,,,Carmelo Anthony,2,,,made,,turnaround jump,15,8
Allen Iverson,Anthony Carter,Carmelo Anthony,Marcus Camby,Yakhouba Diawara,Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,1,11:18,SAC,shot,John Salmons,,,,,,,,,Brad Miller,2,,,made,,layup,25,6
Allen Iverson,Anthony Carter,Carmelo Anthony,Marcus Camby,Yakhouba Diawara,Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,1,11:06,DEN,shot,,,,,,,,,,Marcus Camby,,,,missed,,driving layup,25,6
Allen Iverson,Anthony Carter,Carmelo Anthony,Marcus Camby,Yakhouba Diawara,Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,1,11:04,SAC,rebound,,,,,,,,,,Mikki Moore,,,,,,def,,
Allen Iverson,Anthony Carter,Carmelo Anthony,Marcus Camby,Yakhouba Diawara,Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,1,10:56,SAC,shot,,,,,,,,,,Beno Udrih,2,,,made,,jump,26,21
Allen Iverson,Anthony Carter,Carmelo Anthony,Marcus Camby,Yakhouba Diawara,Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,1,10:43,DEN,shot,,,,,,,,,,Yakhouba Diawara,,,,missed,,3pt,47,6
Allen Iverson,Anthony Carter,Carmelo Anthony,Marcus Camby,Yakhouba Diawara,Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,1,10:41,SAC,rebound,,,,,,,,,,Ron Artest,,,,,,def,,
Allen Iverson,Anthony Carter,Carmelo Anthony,Marcus Camby,Yakhouba Diawara,Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,1,10:34,SAC,shot,,,,,,,,,,Ron Artest,3,,,made,,3pt,45,19
Allen Iverson,Anthony Carter,Carmelo Anthony,Marcus Camby,Yakhouba Diawara,Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,1,10:11,DEN,turnover,,,,,,,,,,Allen Iverson,,,bad pass,,Brad Miller,,,
Allen Iverson,Anthony Carter,Carmelo Anthony,Marcus Camby,Yakhouba Diawara,Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,1,10:05,SAC,shot,,,Marcus Camby,,,,,,,John Salmons,,,,missed,,driving layup,25,6
Allen Iverson,Anthony Carter,Carmelo Anthony,Marcus Camby,Yakhouba Diawara,Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,1,10:03,DEN,rebound,,,,,,,,,,Marcus Camby,,,,,,def,,
Allen Iverson,Anthony Carter,Carmelo Anthony,Marcus Camby,Yakhouba Diawara,Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,1,9:54,DEN,shot,,,Mikki Moore,,,,,,,Allen Iverson,,,,missed,,jump,30,9
Allen Iverson,Anthony Carter,Carmelo Anthony,Marcus Camby,Yakhouba Diawara,Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,1,9:52,SAC,rebound,,,,,,,,,,Ron Artest,,,,,,def,,
Allen Iverson,Anthony Carter,Carmelo Anthony,Marcus Camby,Yakhouba Diawara,Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,1,9:41,SAC,shot,Ron Artest,,,,,,,,,Brad Miller,2,,,made,,jump,27,14
Allen Iverson,Anthony Carter,Carmelo Anthony,Marcus Camby,Yakhouba Diawara,Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,1,9:19,DEN,shot,,,,,,,,,,Anthony Carter,2,,,made,,driving finger roll layup,25,6
Allen Iverson,Anthony Carter,Carmelo Anthony,Marcus Camby,Yakhouba Diawara,Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,1,9:07,SAC,shot,Mikki Moore,,,,,,,,,Ron Artest,2,,,made,,dunk,25,6
Allen Iverson,Anthony Carter,Carmelo Anthony,Marcus Camby,Yakhouba Diawara,Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,1,8:54,DEN,shot,,,,,,,,,,Marcus Camby,2,,,made,,jump,9,8
Allen Iverson,Anthony Carter,Carmelo Anthony,Marcus Camby,Yakhouba Diawara,Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,1,8:42,SAC,shot,Brad Miller,,,,,,,,,John Salmons,3,,,made,,3pt,18,30
Allen Iverson,Anthony Carter,Carmelo Anthony,Marcus Camby,Yakhouba Diawara,Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,1,8:26,DEN,shot,,,,,,,,,,Marcus Camby,2,,,made,,jump,30,16
Allen Iverson,Anthony Carter,Carmelo Anthony,Marcus Camby,Yakhouba Diawara,Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,1,8:17,SAC,shot,,,,,,,,,,Ron Artest,2,,,made,,driving layup,25,6
Allen Iverson,Anthony Carter,Carmelo Anthony,Marcus Camby,Yakhouba Diawara,Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,1,8:17,DEN,foul,,,,,,,,Ron Artest,,Yakhouba Diawara,,,,,,shooting,,
Allen Iverson,Anthony Carter,Carmelo Anthony,Marcus Camby,Yakhouba Diawara,Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,1,8:17,SAC,free throw,,,,,,,1,,1,Ron Artest,,,foul,missed,,,,
Allen Iverson,Anthony Carter,Carmelo Anthony,Marcus Camby,Yakhouba Diawara,Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,1,8:16,DEN,rebound,,,,,,,,,,Marcus Camby,,,,,,def,,
Allen Iverson,Anthony Carter,Carmelo Anthony,Marcus Camby,Yakhouba Diawara,Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,1,8:11,DEN,shot,,,Mikki Moore,,,,,,,Yakhouba Diawara,,,,missed,,jump,18,9
Allen Iverson,Anthony Carter,Carmelo Anthony,Marcus Camby,Yakhouba Diawara,Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,1,8:11,DEN,rebound,,,,,,,,,,,,,,,,,,
Allen Iverson,Anthony Carter,Carmelo Anthony,Marcus Camby,Yakhouba Diawara,Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,1,8:04,DEN,turnover,,,,,,,,,,Marcus Camby,,,bad pass,,Brad Miller,,,
Allen Iverson,Anthony Carter,Carmelo Anthony,Marcus Camby,Yakhouba Diawara,Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,1,8:01,SAC,shot,Brad Miller,,,,,,,,,Ron Artest,2,,,made,,layup,25,6
Allen Iverson,Anthony Carter,Carmelo Anthony,Marcus Camby,Yakhouba Diawara,Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,1,7:54,DEN,timeout,,,,,,,,,,,,,,,,regular,,
Allen Iverson,Anthony Carter,Carmelo Anthony,Marcus Camby,Yakhouba Diawara,Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,1,7:45,DEN,shot,Marcus Camby,,,,,,,,,Carmelo Anthony,2,,,made,,layup,25,6
Allen Iverson,Anthony Carter,Carmelo Anthony,Marcus Camby,Yakhouba Diawara,Beno Udrih,Brad Miller,John Salmons,Mikki Moore,Ron Artest,1,7:22,SAC,shot,,,,,,,,,,Mikki Moore,,,,missed,,layup,25,6
