a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,12:00,OFF,jump ball,,Rasheed Wallace,,,Jermaine O'Neal,,,,,,,Andre Owens,,,,,,
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,11:40,IND,shot,,,,,,,,,,Danny Granger,,,,missed,,3pt,39,28
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,11:39,DET,rebound,,,,,,,,,,Rasheed Wallace,,,,,,def,,
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,11:21,DET,shot,Rasheed Wallace,,,,,,,,,Richard Hamilton,2,,,made,,jump,14,20
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,11:02,IND,shot,Danny Granger,,,,,,,,,Jermaine O'Neal,2,,,made,,jump,11,18
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,10:43,DET,shot,Chauncey Billups,,,,,,,,,Tayshaun Prince,2,,,made,,running jump,24,11
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,10:27,IND,shot,Mike Dunleavy,,,,,,,,,Jermaine O'Neal,2,,,made,,turnaround jump,15,10
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,10:03,DET,shot,,,,,,,,,,Rasheed Wallace,,,,missed,,3pt,6,23
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,10:02,IND,rebound,,,,,,,,,,Danny Granger,,,,,,def,,
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,9:48,IND,foul,,,,,,,,Antonio McDyess,,Jermaine O'Neal,,,,,,offensive,,
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,9:48,IND,turnover,,,,,,,,,,Jermaine O'Neal,,,foul,,,,,
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,9:28,DET,shot,,,,,,,,,,Chauncey Billups,,,,missed,,layup,24,6
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,9:27,IND,rebound,,,,,,,,,,Jermaine O'Neal,,,,,,def,,
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,9:19,IND,shot,,,,,,,,,,Andre Owens,,,,missed,,jump,36,23
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,9:16,IND,rebound,,,,,,,,,,Troy Murphy,,,,,,off,,
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,9:14,IND,shot,Troy Murphy,,,,,,,,,Danny Granger,2,,,made,,layup,23,6
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,8:54,DET,shot,,,,,,,,,,Antonio McDyess,,,,missed,,jump,8,9
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,8:53,IND,rebound,,,,,,,,,,Mike Dunleavy,,,,,,def,,
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,8:41,IND,shot,Mike Dunleavy,,,,,,,,,Andre Owens,2,,,made,,reverse layup,26,5
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,8:25,DET,shot,Chauncey Billups,,,,,,,,,Richard Hamilton,2,,,made,,jump,11,21
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,8:00,IND,shot,,,,,,,,,,Jermaine O'Neal,2,,,made,,slam dunk,23,7
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,7:43,DET,shot,Antonio McDyess,,,,,,,,,Rasheed Wallace,2,,,made,,reverse slam dunk,23,8
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,7:27,IND,shot,,,,,,,,,,Troy Murphy,2,,,made,,pullup jump,7,10
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,7:06,DET,shot,,,,,,,,,,Richard Hamilton,2,,,made,,jump,18,14
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,6:44,IND,shot,,,Antonio McDyess,,,,,,,Jermaine O'Neal,,,,missed,,jump,29,7
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,6:43,IND,rebound,,,,,,,,,,Danny Granger,,,,,,off,,
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,6:42,IND,shot,,,,,,,,,,Danny Granger,2,,,made,,layup,24,9
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,6:27,IND,foul,,,,,,,,,,Jermaine O'Neal,,,,,,defense 3 second,,
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,6:27,DET,free throw,,,,,,,1,,1,Chauncey Billups,,,technical,made,,,,
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,6:20,IND,foul,,,,,,,,Chauncey Billups,,Andre Owens,,,,,,shooting,,
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,6:20,DET,free throw,,,,,,,1,,2,Chauncey Billups,,,foul,made,,,,
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,6:20,DET,free throw,,,,,,,2,,2,Chauncey Billups,,,foul,made,,,,
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,6:06,IND,shot,,,Rasheed Wallace,,,,,,,Troy Murphy,,,,missed,,layup,27,7
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,6:05,IND,rebound,,,,,,,,,,,,,,,,,,
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,6:05,IND,foul,,,,,,,,,,O'Brien,,,,,,technical,,
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,6:05,DET,free throw,,,,,,,1,,1,Chauncey Billups,,,technical,made,,,,
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,5:57,IND,shot,Jermaine O'Neal,,,,,,,,,Troy Murphy,2,,,made,,slam dunk,23,10
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,5:35,DET,shot,,,,,,,,,,Chauncey Billups,2,,,made,,driving layup,21,6
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Andre Owens,Danny Granger,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,5:23,IND,shot,,,,,,,,,,Jermaine O'Neal,,,,missed,,jump,33,20
