a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Raymond Felton,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,12:00,OFF,jump ball,,Emeka Okafor,,,Sean Williams,,,,,,,Gerald Wallace,,,,,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Raymond Felton,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,11:39,CHA,shot,Emeka Okafor,,,,,,,,,Gerald Wallace,2,,,made,,running jump,25,11
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Raymond Felton,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,11:39,NJN,foul,,,,,,,,Gerald Wallace,,Vince Carter,,,,,,shooting,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Raymond Felton,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,11:39,CHA,free throw,,,,,,,1,,1,Gerald Wallace,,,foul,made,,,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Raymond Felton,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,11:30,CHA,foul,,,,,,,,Sean Williams,,Gerald Wallace,,,,,,personal,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Raymond Felton,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,11:22,NJN,shot,,,,,,,,,,Sean Williams,,,,missed,,jump,32,6
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Raymond Felton,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,11:21,CHA,rebound,,,,,,,,,,Emeka Okafor,,,,,,def,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Raymond Felton,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,11:13,CHA,shot,,,,,,,,,,Jeff McInnis,2,,,made,,jump,30,23
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Raymond Felton,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,10:58,NJN,shot,,,,,,,,,,Josh Boone,,,,missed,,layup,25,6
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Raymond Felton,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,10:57,CHA,rebound,,,,,,,,,,Gerald Wallace,,,,,,def,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Raymond Felton,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,10:50,CHA,shot,,,,,,,,,,Jason Richardson,,,,missed,,3pt,49,8
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Raymond Felton,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,10:49,NJN,rebound,,,,,,,,,,Sean Williams,,,,,,def,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Raymond Felton,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,10:47,CHA,foul,,,,,,,,Richard Jefferson,,Jeff McInnis,,,,,,shooting,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Raymond Felton,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,10:47,NJN,free throw,,,,,,,1,,2,Richard Jefferson,,,foul,made,,,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Raymond Felton,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,10:47,NJN,free throw,,,,,,,2,,2,Richard Jefferson,,,foul,made,,,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Raymond Felton,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,10:35,CHA,shot,,,,,,,,,,Raymond Felton,,,,missed,,jump,24,26
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Raymond Felton,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,10:33,NJN,rebound,,,,,,,,,,Sean Williams,,,,,,def,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Raymond Felton,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,10:24,NJN,shot,,,,,,,,,,Jason Kidd,,,,missed,,driving finger roll layup,25,6
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Raymond Felton,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,10:23,CHA,rebound,,,,,,,,,,Gerald Wallace,,,,,,def,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Raymond Felton,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,10:17,CHA,shot,,,Sean Williams,,,,,,,Gerald Wallace,,,,missed,,driving layup,25,6
