a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Chris Quinn,Daequan Cook,Mark Blount,Ricky Davis,Udonis Haslem,Darko Milicic,Mike Conley,Mike Miller,Pau Gasol,Rudy Gay,1,12:00,OFF,jump ball,,Mark Blount,,,Pau Gasol,,,,,,,Darko Milicic,,,,,,
Chris Quinn,Daequan Cook,Mark Blount,Ricky Davis,Udonis Haslem,Darko Milicic,Mike Conley,Mike Miller,Pau Gasol,Rudy Gay,1,11:44,MEM,turnover,,,,,,,,,,Darko Milicic,,,lost ball,,Ricky Davis,,,
Chris Quinn,Daequan Cook,Mark Blount,Ricky Davis,Udonis Haslem,Darko Milicic,Mike Conley,Mike Miller,Pau Gasol,Rudy Gay,1,11:29,MIA,shot,Ricky Davis,,,,,,,,,Udonis Haslem,2,,,made,,jump,25,21
Chris Quinn,Daequan Cook,Mark Blount,Ricky Davis,Udonis Haslem,Darko Milicic,Mike Conley,Mike Miller,Pau Gasol,Rudy Gay,1,11:13,MEM,shot,Mike Miller,,,,,,,,,Pau Gasol,2,,,made,,jump,44,6
Chris Quinn,Daequan Cook,Mark Blount,Ricky Davis,Udonis Haslem,Darko Milicic,Mike Conley,Mike Miller,Pau Gasol,Rudy Gay,1,10:48,MIA,shot,,,,,,,,,,Mark Blount,,,,missed,,layup,25,6
Chris Quinn,Daequan Cook,Mark Blount,Ricky Davis,Udonis Haslem,Darko Milicic,Mike Conley,Mike Miller,Pau Gasol,Rudy Gay,1,10:46,MEM,rebound,,,,,,,,,,Pau Gasol,,,,,,def,,
Chris Quinn,Daequan Cook,Mark Blount,Ricky Davis,Udonis Haslem,Darko Milicic,Mike Conley,Mike Miller,Pau Gasol,Rudy Gay,1,10:42,MEM,shot,,,,,,,,,,Mike Conley,,,,missed,,layup,25,6
Chris Quinn,Daequan Cook,Mark Blount,Ricky Davis,Udonis Haslem,Darko Milicic,Mike Conley,Mike Miller,Pau Gasol,Rudy Gay,1,10:40,MIA,rebound,,,,,,,,,,Daequan Cook,,,,,,def,,
Chris Quinn,Daequan Cook,Mark Blount,Ricky Davis,Udonis Haslem,Darko Milicic,Mike Conley,Mike Miller,Pau Gasol,Rudy Gay,1,10:26,MIA,shot,Ricky Davis,,,,,,,,,Chris Quinn,3,,,made,,3pt,43,24
Chris Quinn,Daequan Cook,Mark Blount,Ricky Davis,Udonis Haslem,Darko Milicic,Mike Conley,Mike Miller,Pau Gasol,Rudy Gay,1,10:11,MEM,shot,Mike Miller,,,,,,,,,Darko Milicic,2,,,made,,hook,36,7
