a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Bruce Bowen,Michael Finley,Robert Horry,Tim Duncan,Tony Parker,Al Thornton,Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,1,12:00,OFF,jump ball,,Tim Duncan,,,Chris Kaman,,,,,,,Michael Finley,,,,,,
Bruce Bowen,Michael Finley,Robert Horry,Tim Duncan,Tony Parker,Al Thornton,Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,1,11:43,SAS,turnover,,,,,,,,,,Tim Duncan,,,3 second violation,,,,,
Bruce Bowen,Michael Finley,Robert Horry,Tim Duncan,Tony Parker,Al Thornton,Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,1,11:35,SAS,foul,,,,,,,,Corey Maggette,,Bruce Bowen,,,,,,personal,,
Bruce Bowen,Michael Finley,Robert Horry,Tim Duncan,Tony Parker,Al Thornton,Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,1,11:28,LAC,shot,Sam Cassell,,,,,,,,,Corey Maggette,2,,,made,,turnaround jump,39,15
Bruce Bowen,Michael Finley,Robert Horry,Tim Duncan,Tony Parker,Al Thornton,Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,1,11:13,SAS,shot,,,,,,,,,,Tim Duncan,,,,missed,,jump,15,7
Bruce Bowen,Michael Finley,Robert Horry,Tim Duncan,Tony Parker,Al Thornton,Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,1,11:12,LAC,rebound,,,,,,,,,,Sam Cassell,,,,,,def,,
Bruce Bowen,Michael Finley,Robert Horry,Tim Duncan,Tony Parker,Al Thornton,Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,1,11:06,LAC,shot,,,,,,,,,,Sam Cassell,,,,missed,,jump,34,24
Bruce Bowen,Michael Finley,Robert Horry,Tim Duncan,Tony Parker,Al Thornton,Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,1,11:06,SAS,rebound,,,,,,,,,,,,,,,,,,
Bruce Bowen,Michael Finley,Robert Horry,Tim Duncan,Tony Parker,Al Thornton,Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,1,10:50,SAS,shot,,,Chris Kaman,,,,,,,Bruce Bowen,,,,missed,,layup,25,6
Bruce Bowen,Michael Finley,Robert Horry,Tim Duncan,Tony Parker,Al Thornton,Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,1,10:45,LAC,rebound,,,,,,,,,,Chris Kaman,,,,,,def,,
Bruce Bowen,Michael Finley,Robert Horry,Tim Duncan,Tony Parker,Al Thornton,Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,1,10:38,LAC,shot,,,Robert Horry,,,,,,,Al Thornton,,,,missed,,layup,25,6
Bruce Bowen,Michael Finley,Robert Horry,Tim Duncan,Tony Parker,Al Thornton,Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,1,10:36,LAC,rebound,,,,,,,,,,Al Thornton,,,,,,off,,
Bruce Bowen,Michael Finley,Robert Horry,Tim Duncan,Tony Parker,Al Thornton,Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,1,10:34,LAC,shot,,,,,,,,,,Al Thornton,2,,,made,,layup,25,6
Bruce Bowen,Michael Finley,Robert Horry,Tim Duncan,Tony Parker,Al Thornton,Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,1,10:22,SAS,shot,,,,,,,,,,Robert Horry,,,,missed,,layup,25,6
