a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,1,12:00,OFF,jump ball,,Andrew Bynum,,,Tyson Chandler,,,,,,,Luke Walton,,,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,1,11:42,LAL,shot,Luke Walton,,,,,,,,,Lamar Odom,2,,,made,,layup,25,6
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,1,11:16,NOH,shot,,,,,,,,,,David West,,,,missed,,jump,29,11
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,1,11:15,NOH,rebound,,,,,,,,,,Peja Stojakovic,,,,,,off,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,1,11:12,NOH,shot,,,,,,,,,,Peja Stojakovic,,,,missed,,jump,26,25
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,1,11:11,LAL,rebound,,,,,,,,,,Andrew Bynum,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,1,11:03,LAL,shot,Kobe Bryant,,,,,,,,,Andrew Bynum,2,,,made,,layup,25,6
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,1,10:35,NOH,shot,,,,,,,,,,David West,,,,missed,,jump,31,9
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,1,10:34,LAL,rebound,,,,,,,,,,Kobe Bryant,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Chris Paul,David West,Morris Peterson,Peja Stojakovic,Tyson Chandler,1,10:30,LAL,shot,,,,,,,,,,Kobe Bryant,2,,,made,,jump,11,14
