a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Eddie House,Kendrick Perkins,Kevin Garnett,Paul Pierce,Ray Allen,1,12:00,OFF,jump ball,,Joel Przybilla,,,Kendrick Perkins,,,,,,,Steve Blake,,,,,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Eddie House,Kendrick Perkins,Kevin Garnett,Paul Pierce,Ray Allen,1,11:44,POR,shot,,,,,,,,,,LaMarcus Aldridge,2,,,made,,fade away jumper,39,9
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Eddie House,Kendrick Perkins,Kevin Garnett,Paul Pierce,Ray Allen,1,11:33,BOS,shot,,,,,,,,,,Paul Pierce,,,,missed,,3pt,25,31
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Eddie House,Kendrick Perkins,Kevin Garnett,Paul Pierce,Ray Allen,1,11:32,BOS,rebound,,,,,,,,,,Kevin Garnett,,,,,,off,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Eddie House,Kendrick Perkins,Kevin Garnett,Paul Pierce,Ray Allen,1,11:31,BOS,shot,,,,,,,,,,Kevin Garnett,2,,,made,,putback dunk,24,5
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Eddie House,Kendrick Perkins,Kevin Garnett,Paul Pierce,Ray Allen,1,10:58,POR,shot,,,Kendrick Perkins,,,,,,,Brandon Roy,,,,missed,,jump,19,15
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Eddie House,Kendrick Perkins,Kevin Garnett,Paul Pierce,Ray Allen,1,10:57,POR,rebound,,,,,,,,,,,,,,,,,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Eddie House,Kendrick Perkins,Kevin Garnett,Paul Pierce,Ray Allen,1,10:56,POR,turnover,,,,,,,,,,,,,shot clock turnover,,,,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Eddie House,Kendrick Perkins,Kevin Garnett,Paul Pierce,Ray Allen,1,10:41,BOS,shot,,,,,,,,,,Kevin Garnett,,,,missed,,jump,25,25
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Eddie House,Kendrick Perkins,Kevin Garnett,Paul Pierce,Ray Allen,1,10:40,POR,rebound,,,,,,,,,,Joel Przybilla,,,,,,def,,
