a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Andrea Bargnani,Anthony Parker,Chris Bosh,Jamario Moon,Jose Calderon,1,12:00,OFF,jump ball,,Josh Smith,,,Chris Bosh,,,,,,,Andrea Bargnani,,,,,,
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Andrea Bargnani,Anthony Parker,Chris Bosh,Jamario Moon,Jose Calderon,1,11:34,TOR,shot,Andrea Bargnani,,,,,,,,,Jamario Moon,2,,,made,,jump,40,22
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Andrea Bargnani,Anthony Parker,Chris Bosh,Jamario Moon,Jose Calderon,1,11:15,ATL,turnover,,,,,,,,,,Marvin Williams,,,lost ball,,Jamario Moon,,,
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Andrea Bargnani,Anthony Parker,Chris Bosh,Jamario Moon,Jose Calderon,1,11:11,TOR,shot,Jose Calderon,,,,,,,,,Anthony Parker,2,,,made,,dunk,25,6
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Andrea Bargnani,Anthony Parker,Chris Bosh,Jamario Moon,Jose Calderon,1,10:51,ATL,turnover,,,,,,,,,,Josh Smith,,,lost ball,,Jamario Moon,,,
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Andrea Bargnani,Anthony Parker,Chris Bosh,Jamario Moon,Jose Calderon,1,10:29,TOR,shot,Jose Calderon,,,,,,,,,Chris Bosh,2,,,made,,dunk,25,6
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Andrea Bargnani,Anthony Parker,Chris Bosh,Jamario Moon,Jose Calderon,1,10:21,ATL,timeout,,,,,,,,,,,,,,,,regular,,
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Andrea Bargnani,Anthony Parker,Chris Bosh,Jamario Moon,Jose Calderon,1,10:06,ATL,shot,Joe Johnson,,,,,,,,,Josh Smith,2,,,made,,turnaround jump,17,8
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Andrea Bargnani,Anthony Parker,Chris Bosh,Jamario Moon,Jose Calderon,1,9:46,TOR,shot,Chris Bosh,,,,,,,,,Anthony Parker,2,,,made,,running jump,25,17
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Andrea Bargnani,Anthony Parker,Chris Bosh,Jamario Moon,Jose Calderon,1,9:31,ATL,shot,Joe Johnson,,,,,,,,,Josh Smith,2,,,made,,running layup,25,6
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Andrea Bargnani,Anthony Parker,Chris Bosh,Jamario Moon,Jose Calderon,1,9:06,TOR,shot,,,,,,,,,,Chris Bosh,,,,missed,,fade away jumper,14,5
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Andrea Bargnani,Anthony Parker,Chris Bosh,Jamario Moon,Jose Calderon,1,9:04,ATL,rebound,,,,,,,,,,Marvin Williams,,,,,,def,,
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Andrea Bargnani,Anthony Parker,Chris Bosh,Jamario Moon,Jose Calderon,1,8:56,ATL,shot,,,,,,,,,,Marvin Williams,,,,missed,,jump,20,26
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Andrea Bargnani,Anthony Parker,Chris Bosh,Jamario Moon,Jose Calderon,1,8:55,TOR,rebound,,,,,,,,,,Jamario Moon,,,,,,def,,
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Andrea Bargnani,Anthony Parker,Chris Bosh,Jamario Moon,Jose Calderon,1,8:43,TOR,shot,,,,,,,,,,Chris Bosh,2,,,made,,running jump,17,7
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Andrea Bargnani,Anthony Parker,Chris Bosh,Jamario Moon,Jose Calderon,1,8:43,ATL,foul,,,,,,,,Chris Bosh,,Josh Smith,,,,,,shooting,,
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Andrea Bargnani,Anthony Parker,Chris Bosh,Jamario Moon,Jose Calderon,1,8:43,TOR,free throw,,,,,,,1,,1,Chris Bosh,,,foul,made,,,,
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Andrea Bargnani,Anthony Parker,Chris Bosh,Jamario Moon,Jose Calderon,1,8:31,ATL,shot,Al Horford,,,,,,,,,Josh Smith,2,,,made,,jump,32,23
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Andrea Bargnani,Anthony Parker,Chris Bosh,Jamario Moon,Jose Calderon,1,8:16,TOR,shot,,,,,,,,,,Chris Bosh,,,,missed,,jump,23,26
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Andrea Bargnani,Anthony Parker,Chris Bosh,Jamario Moon,Jose Calderon,1,8:15,ATL,rebound,,,,,,,,,,Al Horford,,,,,,def,,
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Andrea Bargnani,Anthony Parker,Chris Bosh,Jamario Moon,Jose Calderon,1,8:09,ATL,shot,,,,,,,,,,Josh Smith,,,,missed,,driving layup,25,6
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Andrea Bargnani,Anthony Parker,Chris Bosh,Jamario Moon,Jose Calderon,1,8:07,TOR,rebound,,,,,,,,,,Andrea Bargnani,,,,,,def,,
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Andrea Bargnani,Anthony Parker,Chris Bosh,Jamario Moon,Jose Calderon,1,7:53,TOR,turnover,,,,,,,,,,Jose Calderon,,,bad pass,,Josh Smith,,,
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Andrea Bargnani,Anthony Parker,Chris Bosh,Jamario Moon,Jose Calderon,1,7:50,ATL,shot,,,,,,,,,,Josh Smith,2,,,made,,driving dunk,25,6
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Andrea Bargnani,Anthony Parker,Chris Bosh,Jamario Moon,Jose Calderon,1,7:31,ATL,foul,,,,,,,,Andrea Bargnani,,Anthony Johnson,,,,,,personal,,
