a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Eddy Curry,Fred Jones,Jamal Crawford,Quentin Richardson,Zach Randolph,1,12:00,OFF,jump ball,,Kendrick Perkins,,,Eddy Curry,,,,,,,Zach Randolph,,,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Eddy Curry,Fred Jones,Jamal Crawford,Quentin Richardson,Zach Randolph,1,11:46,NYK,shot,,,,,,,,,,Quentin Richardson,,,,missed,,jump,33,7
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Eddy Curry,Fred Jones,Jamal Crawford,Quentin Richardson,Zach Randolph,1,11:44,BOS,rebound,,,,,,,,,,Kendrick Perkins,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Eddy Curry,Fred Jones,Jamal Crawford,Quentin Richardson,Zach Randolph,1,11:36,BOS,shot,Paul Pierce,,,,,,,,,Kendrick Perkins,2,,,made,,layup,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Eddy Curry,Fred Jones,Jamal Crawford,Quentin Richardson,Zach Randolph,1,11:13,NYK,turnover,,,,,,,,,,Zach Randolph,,,lost ball,,Rajon Rondo,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Eddy Curry,Fred Jones,Jamal Crawford,Quentin Richardson,Zach Randolph,1,11:08,BOS,turnover,,,,,,,,,,Kevin Garnett,,,traveling,,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Eddy Curry,Fred Jones,Jamal Crawford,Quentin Richardson,Zach Randolph,1,11:08,NYK,shot,Fred Jones,,,,,,,,,Jamal Crawford,2,,,made,,jump,12,19
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Eddy Curry,Fred Jones,Jamal Crawford,Quentin Richardson,Zach Randolph,1,10:54,BOS,shot,Paul Pierce,,,,,,,,,Kendrick Perkins,2,,,made,,jump bank,33,15
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Eddy Curry,Fred Jones,Jamal Crawford,Quentin Richardson,Zach Randolph,1,10:33,NYK,shot,,,,,,,,,,Zach Randolph,,,,missed,,layup,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Eddy Curry,Fred Jones,Jamal Crawford,Quentin Richardson,Zach Randolph,1,10:32,BOS,rebound,,,,,,,,,,Ray Allen,,,,,,def,,
