a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Danny Granger,Jamaal Tinsley,Jeff Foster,Kareem Rush,Mike Dunleavy,Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,1,12:00,OFF,jump ball,,Jeff Foster,,,Ben Wallace,,,,,,,Andres Nocioni,,,,,,
Danny Granger,Jamaal Tinsley,Jeff Foster,Kareem Rush,Mike Dunleavy,Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,1,11:39,CHI,shot,,,,,,,,,,Ben Wallace,,,,missed,,hook,20,13
Danny Granger,Jamaal Tinsley,Jeff Foster,Kareem Rush,Mike Dunleavy,Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,1,11:39,IND,rebound,,,,,,,,,,,,,,,,,,
Danny Granger,Jamaal Tinsley,Jeff Foster,Kareem Rush,Mike Dunleavy,Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,1,11:21,IND,shot,,,,,,,,,,Mike Dunleavy,,,,missed,,3pt,49,3
Danny Granger,Jamaal Tinsley,Jeff Foster,Kareem Rush,Mike Dunleavy,Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,1,11:19,CHI,rebound,,,,,,,,,,Joe Smith,,,,,,def,,
Danny Granger,Jamaal Tinsley,Jeff Foster,Kareem Rush,Mike Dunleavy,Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,1,11:10,CHI,shot,Ben Wallace,,,,,,,,,Thabo Sefolosha,2,,,made,,reverse layup,25,6
Danny Granger,Jamaal Tinsley,Jeff Foster,Kareem Rush,Mike Dunleavy,Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,1,11:01,IND,shot,,,,,,,,,,Kareem Rush,,,,missed,,jump,8,7
Danny Granger,Jamaal Tinsley,Jeff Foster,Kareem Rush,Mike Dunleavy,Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,1,11:00,CHI,rebound,,,,,,,,,,Ben Wallace,,,,,,def,,
Danny Granger,Jamaal Tinsley,Jeff Foster,Kareem Rush,Mike Dunleavy,Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,1,10:50,CHI,turnover,,,,,,,,,,Andres Nocioni,,,traveling,,,,,
Danny Granger,Jamaal Tinsley,Jeff Foster,Kareem Rush,Mike Dunleavy,Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,1,10:36,IND,shot,,,,,,,,,,Danny Granger,,,,missed,,3pt,49,12
