a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Danny Granger,Jeff Foster,Kareem Rush,Mike Dunleavy,Travis Diener,Andrew Bogut,Bobby Simmons,Michael Redd,Mo Williams,Yi Jianlian,1,12:00,OFF,jump ball,,Jeff Foster,,,Andrew Bogut,,,,,,,Michael Redd,,,,,,
Danny Granger,Jeff Foster,Kareem Rush,Mike Dunleavy,Travis Diener,Andrew Bogut,Bobby Simmons,Michael Redd,Mo Williams,Yi Jianlian,1,11:58,MIL,shot,,,,,,,,,,Michael Redd,,,,missed,,jump,11,21
Danny Granger,Jeff Foster,Kareem Rush,Mike Dunleavy,Travis Diener,Andrew Bogut,Bobby Simmons,Michael Redd,Mo Williams,Yi Jianlian,1,11:57,IND,rebound,,,,,,,,,,Jeff Foster,,,,,,def,,
Danny Granger,Jeff Foster,Kareem Rush,Mike Dunleavy,Travis Diener,Andrew Bogut,Bobby Simmons,Michael Redd,Mo Williams,Yi Jianlian,1,11:38,IND,shot,Jeff Foster,,,,,,,,,Mike Dunleavy,2,,,made,,jump,15,22
Danny Granger,Jeff Foster,Kareem Rush,Mike Dunleavy,Travis Diener,Andrew Bogut,Bobby Simmons,Michael Redd,Mo Williams,Yi Jianlian,1,11:23,MIL,shot,,,,,,,,,,Andrew Bogut,,,,missed,,layup,25,6
Danny Granger,Jeff Foster,Kareem Rush,Mike Dunleavy,Travis Diener,Andrew Bogut,Bobby Simmons,Michael Redd,Mo Williams,Yi Jianlian,1,11:22,MIL,rebound,,,,,,,,,,Bobby Simmons,,,,,,off,,
Danny Granger,Jeff Foster,Kareem Rush,Mike Dunleavy,Travis Diener,Andrew Bogut,Bobby Simmons,Michael Redd,Mo Williams,Yi Jianlian,1,11:19,MIL,shot,,,,,,,,,,Bobby Simmons,2,,,made,,layup,25,6
Danny Granger,Jeff Foster,Kareem Rush,Mike Dunleavy,Travis Diener,Andrew Bogut,Bobby Simmons,Michael Redd,Mo Williams,Yi Jianlian,1,11:06,IND,shot,,,,,,,,,,Mike Dunleavy,,,,missed,,jump,17,19
Danny Granger,Jeff Foster,Kareem Rush,Mike Dunleavy,Travis Diener,Andrew Bogut,Bobby Simmons,Michael Redd,Mo Williams,Yi Jianlian,1,11:05,MIL,rebound,,,,,,,,,,Andrew Bogut,,,,,,def,,
Danny Granger,Jeff Foster,Kareem Rush,Mike Dunleavy,Travis Diener,Andrew Bogut,Bobby Simmons,Michael Redd,Mo Williams,Yi Jianlian,1,10:49,MIL,shot,,,,,,,,,,Mo Williams,,,,missed,,3pt,41,27
Danny Granger,Jeff Foster,Kareem Rush,Mike Dunleavy,Travis Diener,Andrew Bogut,Bobby Simmons,Michael Redd,Mo Williams,Yi Jianlian,1,10:48,IND,rebound,,,,,,,,,,Mike Dunleavy,,,,,,def,,
Danny Granger,Jeff Foster,Kareem Rush,Mike Dunleavy,Travis Diener,Andrew Bogut,Bobby Simmons,Michael Redd,Mo Williams,Yi Jianlian,1,10:35,IND,shot,,,,,,,,,,Danny Granger,,,,missed,,jump,33,22
Danny Granger,Jeff Foster,Kareem Rush,Mike Dunleavy,Travis Diener,Andrew Bogut,Bobby Simmons,Michael Redd,Mo Williams,Yi Jianlian,1,10:34,IND,rebound,,,,,,,,,,,,,,,,,,
Danny Granger,Jeff Foster,Kareem Rush,Mike Dunleavy,Travis Diener,Andrew Bogut,Bobby Simmons,Michael Redd,Mo Williams,Yi Jianlian,1,10:23,IND,shot,Mike Dunleavy,,,,,,,,,Kareem Rush,2,,,made,,jump,16,20
Danny Granger,Jeff Foster,Kareem Rush,Mike Dunleavy,Travis Diener,Andrew Bogut,Bobby Simmons,Michael Redd,Mo Williams,Yi Jianlian,1,10:03,MIL,shot,,,,,,,,,,Michael Redd,,,,missed,,3pt,42,27
Danny Granger,Jeff Foster,Kareem Rush,Mike Dunleavy,Travis Diener,Andrew Bogut,Bobby Simmons,Michael Redd,Mo Williams,Yi Jianlian,1,10:02,IND,rebound,,,,,,,,,,,,,,,,,,
Danny Granger,Jeff Foster,Kareem Rush,Mike Dunleavy,Travis Diener,Andrew Bogut,Bobby Simmons,Michael Redd,Mo Williams,Yi Jianlian,1,9:52,MIL,foul,,,,,,,,Mike Dunleavy,,Andrew Bogut,,,,,,personal,,
