a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andrew Bogut,Bobby Simmons,Mo Williams,Royal Ivey,Yi Jianlian,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,12:00,OFF,jump ball,,Andrew Bogut,,,Sean Williams,,,,,,,Mo Williams,,,,,,
Andrew Bogut,Bobby Simmons,Mo Williams,Royal Ivey,Yi Jianlian,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,11:38,MIL,shot,,,,,,,,,,Bobby Simmons,,,,missed,,3pt,9,26
Andrew Bogut,Bobby Simmons,Mo Williams,Royal Ivey,Yi Jianlian,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,11:37,MIL,rebound,,,,,,,,,,Mo Williams,,,,,,off,,
Andrew Bogut,Bobby Simmons,Mo Williams,Royal Ivey,Yi Jianlian,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,11:27,MIL,shot,,,,,,,,,,Royal Ivey,,,,missed,,jump,35,21
Andrew Bogut,Bobby Simmons,Mo Williams,Royal Ivey,Yi Jianlian,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,11:26,MIL,rebound,,,,,,,,,,Andrew Bogut,,,,,,off,,
Andrew Bogut,Bobby Simmons,Mo Williams,Royal Ivey,Yi Jianlian,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,11:21,MIL,shot,,,,,,,,,,Andrew Bogut,,,,missed,,jump,37,6
Andrew Bogut,Bobby Simmons,Mo Williams,Royal Ivey,Yi Jianlian,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,11:20,NJN,rebound,,,,,,,,,,Sean Williams,,,,,,def,,
Andrew Bogut,Bobby Simmons,Mo Williams,Royal Ivey,Yi Jianlian,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,11:05,NJN,shot,,,,,,,,,,Vince Carter,,,,missed,,jump bank,37,9
Andrew Bogut,Bobby Simmons,Mo Williams,Royal Ivey,Yi Jianlian,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,11:04,NJN,rebound,,,,,,,,,,Sean Williams,,,,,,off,,
Andrew Bogut,Bobby Simmons,Mo Williams,Royal Ivey,Yi Jianlian,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,11:00,NJN,shot,Sean Williams,,,,,,,,,Vince Carter,2,,,made,,hook,28,11
Andrew Bogut,Bobby Simmons,Mo Williams,Royal Ivey,Yi Jianlian,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,10:30,MIL,shot,Yi Jianlian,,,,,,,,,Mo Williams,2,,,made,,jump,39,20
Andrew Bogut,Bobby Simmons,Mo Williams,Royal Ivey,Yi Jianlian,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,10:12,NJN,shot,,,,,,,,,,Vince Carter,2,,,made,,turnaround fade away,38,8
Andrew Bogut,Bobby Simmons,Mo Williams,Royal Ivey,Yi Jianlian,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,9:58,MIL,shot,,,,,,,,,,Andrew Bogut,2,,,made,,driving hook,24,13
Andrew Bogut,Bobby Simmons,Mo Williams,Royal Ivey,Yi Jianlian,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,9:41,MIL,foul,,,,,,,,Sean Williams,,Yi Jianlian,,,,,,shooting,,
Andrew Bogut,Bobby Simmons,Mo Williams,Royal Ivey,Yi Jianlian,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,9:41,NJN,free throw,,,,,,,1,,2,Sean Williams,,,foul,missed,,,,
Andrew Bogut,Bobby Simmons,Mo Williams,Royal Ivey,Yi Jianlian,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,9:41,NJN,rebound,,,,,,,,,,,,,,,,,,
Andrew Bogut,Bobby Simmons,Mo Williams,Royal Ivey,Yi Jianlian,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,9:41,NJN,free throw,,,,,,,2,,2,Sean Williams,,,foul,made,,,,
Andrew Bogut,Bobby Simmons,Mo Williams,Royal Ivey,Yi Jianlian,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,9:18,MIL,shot,,,,,,,,,,Yi Jianlian,,,,missed,,jump,9,6
Andrew Bogut,Bobby Simmons,Mo Williams,Royal Ivey,Yi Jianlian,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,9:17,NJN,rebound,,,,,,,,,,Richard Jefferson,,,,,,def,,
Andrew Bogut,Bobby Simmons,Mo Williams,Royal Ivey,Yi Jianlian,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,9:08,NJN,shot,,,,,,,,,,Sean Williams,,,,missed,,layup,25,6
Andrew Bogut,Bobby Simmons,Mo Williams,Royal Ivey,Yi Jianlian,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,9:07,MIL,rebound,,,,,,,,,,Yi Jianlian,,,,,,def,,
Andrew Bogut,Bobby Simmons,Mo Williams,Royal Ivey,Yi Jianlian,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,9:01,MIL,shot,Mo Williams,,,,,,,,,Yi Jianlian,2,,,made,,driving dunk,25,6
Andrew Bogut,Bobby Simmons,Mo Williams,Royal Ivey,Yi Jianlian,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,9:01,NJN,foul,,,,,,,,Yi Jianlian,,Sean Williams,,,,,,shooting,,
Andrew Bogut,Bobby Simmons,Mo Williams,Royal Ivey,Yi Jianlian,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,9:01,MIL,free throw,,,,,,,1,,1,Yi Jianlian,,,foul,made,,,,
Andrew Bogut,Bobby Simmons,Mo Williams,Royal Ivey,Yi Jianlian,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,8:46,NJN,shot,,,,,,,,,,Richard Jefferson,,,,missed,,3pt,21,31
