a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Cuttino Mobley,Josh Powell,Quinton Ross,Sam Cassell,Tim Thomas,1,12:00,OFF,jump ball,,Josh Smith,,,Josh Powell,,,,,,,Anthony Johnson,,,,,,
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Cuttino Mobley,Josh Powell,Quinton Ross,Sam Cassell,Tim Thomas,1,11:37,ATL,shot,,,,,,,,,,Joe Johnson,2,,,made,,running jump,20,11
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Cuttino Mobley,Josh Powell,Quinton Ross,Sam Cassell,Tim Thomas,1,11:16,LAC,shot,Josh Powell,,,,,,,,,Cuttino Mobley,2,,,made,,jump,10,11
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Cuttino Mobley,Josh Powell,Quinton Ross,Sam Cassell,Tim Thomas,1,10:52,ATL,shot,,,,,,,,,,Al Horford,,,,missed,,jump,30,23
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Cuttino Mobley,Josh Powell,Quinton Ross,Sam Cassell,Tim Thomas,1,10:51,LAC,rebound,,,,,,,,,,Josh Powell,,,,,,def,,
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Cuttino Mobley,Josh Powell,Quinton Ross,Sam Cassell,Tim Thomas,1,10:37,LAC,shot,,,,,,,,,,Josh Powell,,,,missed,,jump,29,8
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Cuttino Mobley,Josh Powell,Quinton Ross,Sam Cassell,Tim Thomas,1,10:36,ATL,rebound,,,,,,,,,,Al Horford,,,,,,def,,
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Cuttino Mobley,Josh Powell,Quinton Ross,Sam Cassell,Tim Thomas,1,10:17,ATL,shot,,,,,,,,,,Josh Smith,,,,missed,,layup,25,6
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Cuttino Mobley,Josh Powell,Quinton Ross,Sam Cassell,Tim Thomas,1,10:16,ATL,rebound,,,,,,,,,,Josh Smith,,,,,,off,,
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Cuttino Mobley,Josh Powell,Quinton Ross,Sam Cassell,Tim Thomas,1,10:15,ATL,shot,,,,,,,,,,Josh Smith,,,,missed,,layup,25,6
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Cuttino Mobley,Josh Powell,Quinton Ross,Sam Cassell,Tim Thomas,1,10:14,ATL,rebound,,,,,,,,,,Josh Smith,,,,,,off,,
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Cuttino Mobley,Josh Powell,Quinton Ross,Sam Cassell,Tim Thomas,1,10:12,ATL,shot,,,,,,,,,,Josh Smith,2,,,made,,layup,25,6
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Cuttino Mobley,Josh Powell,Quinton Ross,Sam Cassell,Tim Thomas,1,9:54,LAC,shot,Josh Powell,,,,,,,,,Sam Cassell,2,,,made,,jump,40,16
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Cuttino Mobley,Josh Powell,Quinton Ross,Sam Cassell,Tim Thomas,1,9:45,ATL,shot,Anthony Johnson,,,,,,,,,Al Horford,2,,,made,,layup,25,6
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Cuttino Mobley,Josh Powell,Quinton Ross,Sam Cassell,Tim Thomas,1,9:32,LAC,shot,,,,,,,,,,Quinton Ross,,,,missed,,jump,47,8
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Cuttino Mobley,Josh Powell,Quinton Ross,Sam Cassell,Tim Thomas,1,9:31,ATL,rebound,,,,,,,,,,Anthony Johnson,,,,,,def,,
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Cuttino Mobley,Josh Powell,Quinton Ross,Sam Cassell,Tim Thomas,1,9:22,ATL,shot,,,,,,,,,,Josh Smith,,,,missed,,layup,25,6
Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,Cuttino Mobley,Josh Powell,Quinton Ross,Sam Cassell,Tim Thomas,1,9:22,LAC,rebound,,,,,,,,,,,,,,,,,,
