a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Devin Brown,Drew Gooden,Ira Newble,Larry Hughes,Zydrunas Ilgauskas,Chris Wilcox,Earl Watson,Jeff Green,Kevin Durant,Kurt Thomas,1,12:00,OFF,jump ball,,Zydrunas Ilgauskas,,,Chris Wilcox,,,,,,,Larry Hughes,,,,,,
Devin Brown,Drew Gooden,Ira Newble,Larry Hughes,Zydrunas Ilgauskas,Chris Wilcox,Earl Watson,Jeff Green,Kevin Durant,Kurt Thomas,1,11:41,CLE,shot,,,,,,,,,,Zydrunas Ilgauskas,,,,missed,,jump,42,10
Devin Brown,Drew Gooden,Ira Newble,Larry Hughes,Zydrunas Ilgauskas,Chris Wilcox,Earl Watson,Jeff Green,Kevin Durant,Kurt Thomas,1,11:40,SEA,rebound,,,,,,,,,,Kevin Durant,,,,,,def,,
Devin Brown,Drew Gooden,Ira Newble,Larry Hughes,Zydrunas Ilgauskas,Chris Wilcox,Earl Watson,Jeff Green,Kevin Durant,Kurt Thomas,1,11:22,SEA,shot,Earl Watson,,,,,,,,,Chris Wilcox,2,,,made,,jump,31,10
Devin Brown,Drew Gooden,Ira Newble,Larry Hughes,Zydrunas Ilgauskas,Chris Wilcox,Earl Watson,Jeff Green,Kevin Durant,Kurt Thomas,1,11:06,SEA,foul,,,,,,,,Larry Hughes,,Earl Watson,,,,,,personal,,
Devin Brown,Drew Gooden,Ira Newble,Larry Hughes,Zydrunas Ilgauskas,Chris Wilcox,Earl Watson,Jeff Green,Kevin Durant,Kurt Thomas,1,10:57,SEA,foul,,,,,,,,Zydrunas Ilgauskas,,Kurt Thomas,,,,,,shooting,,
Devin Brown,Drew Gooden,Ira Newble,Larry Hughes,Zydrunas Ilgauskas,Chris Wilcox,Earl Watson,Jeff Green,Kevin Durant,Kurt Thomas,1,10:57,CLE,free throw,,,,,,,1,,2,Drew Gooden,,,foul,made,,,,
Devin Brown,Drew Gooden,Ira Newble,Larry Hughes,Zydrunas Ilgauskas,Chris Wilcox,Earl Watson,Jeff Green,Kevin Durant,Kurt Thomas,1,10:57,CLE,free throw,,,,,,,2,,2,Drew Gooden,,,foul,made,,,,
Devin Brown,Drew Gooden,Ira Newble,Larry Hughes,Zydrunas Ilgauskas,Chris Wilcox,Earl Watson,Jeff Green,Kevin Durant,Kurt Thomas,1,10:39,SEA,shot,,,,,,,,,,Earl Watson,,,,missed,,jump,24,10
Devin Brown,Drew Gooden,Ira Newble,Larry Hughes,Zydrunas Ilgauskas,Chris Wilcox,Earl Watson,Jeff Green,Kevin Durant,Kurt Thomas,1,10:37,SEA,shot,,,,,,,,,,Chris Wilcox,2,,,made,,tip,25,6
Devin Brown,Drew Gooden,Ira Newble,Larry Hughes,Zydrunas Ilgauskas,Chris Wilcox,Earl Watson,Jeff Green,Kevin Durant,Kurt Thomas,1,10:37,SEA,rebound,,,,,,,,,,Chris Wilcox,,,,,,off,,
Devin Brown,Drew Gooden,Ira Newble,Larry Hughes,Zydrunas Ilgauskas,Chris Wilcox,Earl Watson,Jeff Green,Kevin Durant,Kurt Thomas,1,10:23,CLE,shot,,,,,,,,,,Drew Gooden,,,,missed,,jump,41,6
Devin Brown,Drew Gooden,Ira Newble,Larry Hughes,Zydrunas Ilgauskas,Chris Wilcox,Earl Watson,Jeff Green,Kevin Durant,Kurt Thomas,1,10:21,SEA,rebound,,,,,,,,,,Kurt Thomas,,,,,,def,,
Devin Brown,Drew Gooden,Ira Newble,Larry Hughes,Zydrunas Ilgauskas,Chris Wilcox,Earl Watson,Jeff Green,Kevin Durant,Kurt Thomas,1,10:12,CLE,foul,,,,,,,,Chris Wilcox,,Drew Gooden,,,,,,shooting,,
Devin Brown,Drew Gooden,Ira Newble,Larry Hughes,Zydrunas Ilgauskas,Chris Wilcox,Earl Watson,Jeff Green,Kevin Durant,Kurt Thomas,1,10:12,SEA,free throw,,,,,,,1,,2,Chris Wilcox,,,foul,made,,,,
Devin Brown,Drew Gooden,Ira Newble,Larry Hughes,Zydrunas Ilgauskas,Chris Wilcox,Earl Watson,Jeff Green,Kevin Durant,Kurt Thomas,1,10:12,SEA,free throw,,,,,,,2,,2,Chris Wilcox,,,foul,made,,,,
Devin Brown,Drew Gooden,Ira Newble,Larry Hughes,Zydrunas Ilgauskas,Chris Wilcox,Earl Watson,Jeff Green,Kevin Durant,Kurt Thomas,1,9:54,CLE,shot,Drew Gooden,,,,,,,,,Zydrunas Ilgauskas,2,,,made,,layup,27,7
Devin Brown,Drew Gooden,Ira Newble,Larry Hughes,Zydrunas Ilgauskas,Chris Wilcox,Earl Watson,Jeff Green,Kevin Durant,Kurt Thomas,1,9:41,SEA,shot,,,,,,,,,,Kevin Durant,,,,missed,,reverse layup,25,6
Devin Brown,Drew Gooden,Ira Newble,Larry Hughes,Zydrunas Ilgauskas,Chris Wilcox,Earl Watson,Jeff Green,Kevin Durant,Kurt Thomas,1,9:37,SEA,shot,,,,,,,,,,Chris Wilcox,2,,,made,,putback dunk,25,6
Devin Brown,Drew Gooden,Ira Newble,Larry Hughes,Zydrunas Ilgauskas,Chris Wilcox,Earl Watson,Jeff Green,Kevin Durant,Kurt Thomas,1,9:37,SEA,rebound,,,,,,,,,,Chris Wilcox,,,,,,off,,
Devin Brown,Drew Gooden,Ira Newble,Larry Hughes,Zydrunas Ilgauskas,Chris Wilcox,Earl Watson,Jeff Green,Kevin Durant,Kurt Thomas,1,9:25,CLE,turnover,,,,,,,,,,Larry Hughes,,,bad pass,,Kurt Thomas,,,
Devin Brown,Drew Gooden,Ira Newble,Larry Hughes,Zydrunas Ilgauskas,Chris Wilcox,Earl Watson,Jeff Green,Kevin Durant,Kurt Thomas,1,9:19,SEA,shot,Earl Watson,,,,,,,,,Chris Wilcox,2,,,made,,finger roll layup,25,6
Devin Brown,Drew Gooden,Ira Newble,Larry Hughes,Zydrunas Ilgauskas,Chris Wilcox,Earl Watson,Jeff Green,Kevin Durant,Kurt Thomas,1,9:14,CLE,timeout,,,,,,,,,,,,,,,,regular,,
Devin Brown,Drew Gooden,Ira Newble,Larry Hughes,Zydrunas Ilgauskas,Chris Wilcox,Earl Watson,Jeff Green,Kevin Durant,Kurt Thomas,1,9:00,CLE,shot,,,,,,,,,,Larry Hughes,,,,missed,,3pt,16,29
Devin Brown,Drew Gooden,Ira Newble,Larry Hughes,Zydrunas Ilgauskas,Chris Wilcox,Earl Watson,Jeff Green,Kevin Durant,Kurt Thomas,1,8:58,SEA,rebound,,,,,,,,,,Chris Wilcox,,,,,,def,,
Devin Brown,Drew Gooden,Ira Newble,Larry Hughes,Zydrunas Ilgauskas,Chris Wilcox,Earl Watson,Jeff Green,Kevin Durant,Kurt Thomas,1,8:42,SEA,shot,Earl Watson,,,,,,,,,Kurt Thomas,2,,,made,,jump,32,20
Devin Brown,Drew Gooden,Ira Newble,Larry Hughes,Zydrunas Ilgauskas,Chris Wilcox,Earl Watson,Jeff Green,Kevin Durant,Kurt Thomas,1,8:30,CLE,shot,,,,,,,,,,Ira Newble,2,,,made,,reverse layup,25,6
Devin Brown,Drew Gooden,Ira Newble,Larry Hughes,Zydrunas Ilgauskas,Chris Wilcox,Earl Watson,Jeff Green,Kevin Durant,Kurt Thomas,1,8:23,SEA,shot,Earl Watson,,,,,,,,,Kevin Durant,2,,,made,,jump,8,19
Devin Brown,Drew Gooden,Ira Newble,Larry Hughes,Zydrunas Ilgauskas,Chris Wilcox,Earl Watson,Jeff Green,Kevin Durant,Kurt Thomas,1,8:13,CLE,shot,,,,,,,,,,Devin Brown,,,,missed,,jump,7,9
