a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,12:00,OFF,jump ball,,Pau Gasol,,,Sean Williams,,,,,,,Lamar Odom,,,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,11:54,LAL,shot,Lamar Odom,,,,,,,,,Vladimir Radmanovic,2,,,made,,jump,31,11
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,11:39,NJN,shot,Jason Kidd,,,,,,,,,Sean Williams,2,,,made,,layup,25,6
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,11:23,LAL,shot,,,Sean Williams,,,,,,,Lamar Odom,,,,missed,,driving layup,25,6
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,11:21,NJN,rebound,,,,,,,,,,Josh Boone,,,,,,def,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,11:15,NJN,shot,Jason Kidd,,,,,,,,,Vince Carter,3,,,made,,3pt,46,19
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,11:03,NJN,foul,,,,,,,,Pau Gasol,,Josh Boone,,,,,,personal,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,10:54,LAL,shot,,,,,,,,,,Derek Fisher,,,,missed,,jump,8,6
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,10:53,NJN,rebound,,,,,,,,,,Josh Boone,,,,,,def,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,10:38,NJN,shot,Richard Jefferson,,,,,,,,,Jason Kidd,3,,,made,,3pt,23,31
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,10:19,LAL,shot,Lamar Odom,,,,,,,,,Derek Fisher,3,,,made,,3pt,5,20
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,10:13,NJN,shot,,,,,,,,,,Vince Carter,,,,missed,,jump,45,5
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,10:12,LAL,rebound,,,,,,,,,,Pau Gasol,,,,,,def,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,10:04,LAL,shot,,,,,,,,,,Lamar Odom,,,,missed,,driving dunk,25,6
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,10:02,NJN,rebound,,,,,,,,,,Sean Williams,,,,,,def,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Jason Kidd,Josh Boone,Richard Jefferson,Sean Williams,Vince Carter,1,9:59,NJN,timeout,,,,,,,,,,,,,,,,regular,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Antoine Wright,Jason Kidd,Josh Boone,Sean Williams,Vince Carter,1,9:59,NJN,sub,,,,Antoine Wright,,Richard Jefferson,,,,,,,,,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Antoine Wright,Jason Kidd,Josh Boone,Sean Williams,Vince Carter,1,9:48,NJN,shot,,,,,,,,,,Jason Kidd,,,,missed,,3pt,28,31
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Antoine Wright,Jason Kidd,Josh Boone,Sean Williams,Vince Carter,1,9:47,LAL,rebound,,,,,,,,,,Kobe Bryant,,,,,,def,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Antoine Wright,Jason Kidd,Josh Boone,Sean Williams,Vince Carter,1,9:42,LAL,shot,,,,,,,,,,Pau Gasol,,,,missed,,layup,25,6
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Antoine Wright,Jason Kidd,Josh Boone,Sean Williams,Vince Carter,1,9:40,NJN,rebound,,,,,,,,,,Sean Williams,,,,,,def,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Antoine Wright,Jason Kidd,Josh Boone,Sean Williams,Vince Carter,1,9:36,NJN,foul,,,,,,,,Kobe Bryant,,Antoine Wright,,,,,,offensive,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Antoine Wright,Jason Kidd,Josh Boone,Sean Williams,Vince Carter,1,9:36,NJN,turnover,,,,,,,,,,Antoine Wright,,,foul,,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Antoine Wright,Jason Kidd,Josh Boone,Sean Williams,Vince Carter,1,9:26,LAL,shot,,,,,,,,,,Derek Fisher,,,,missed,,layup,25,6
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Antoine Wright,Jason Kidd,Josh Boone,Sean Williams,Vince Carter,1,9:25,LAL,rebound,,,,,,,,,,Pau Gasol,,,,,,off,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Antoine Wright,Jason Kidd,Josh Boone,Sean Williams,Vince Carter,1,9:23,LAL,shot,,,,,,,,,,Pau Gasol,,,,missed,,layup,25,6
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Antoine Wright,Jason Kidd,Josh Boone,Sean Williams,Vince Carter,1,9:22,LAL,rebound,,,,,,,,,,Pau Gasol,,,,,,off,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Antoine Wright,Jason Kidd,Josh Boone,Sean Williams,Vince Carter,1,9:21,LAL,shot,,,,,,,,,,Pau Gasol,2,,,made,,putback dunk,25,6
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Antoine Wright,Jason Kidd,Josh Boone,Sean Williams,Vince Carter,1,9:02,NJN,shot,,,,,,,,,,Vince Carter,,,,missed,,3pt,17,30
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Antoine Wright,Jason Kidd,Josh Boone,Sean Williams,Vince Carter,1,9:01,LAL,rebound,,,,,,,,,,Derek Fisher,,,,,,def,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Antoine Wright,Jason Kidd,Josh Boone,Sean Williams,Vince Carter,1,8:48,LAL,turnover,,,,,,,,,,Pau Gasol,,,out of bounds lost ball turnover,,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Antoine Wright,Jason Kidd,Josh Boone,Sean Williams,Vince Carter,1,8:28,NJN,shot,,,Kobe Bryant,,,,,,,Sean Williams,,,,missed,,layup,25,6
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Antoine Wright,Jason Kidd,Josh Boone,Sean Williams,Vince Carter,1,8:27,NJN,rebound,,,,,,,,,,,,,,,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Antoine Wright,Jason Kidd,Josh Boone,Sean Williams,Vince Carter,1,8:23,NJN,shot,,,,,,,,,,Antoine Wright,,,,missed,,3pt,2,5
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Antoine Wright,Jason Kidd,Josh Boone,Sean Williams,Vince Carter,1,8:22,LAL,rebound,,,,,,,,,,Lamar Odom,,,,,,def,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Antoine Wright,Jason Kidd,Josh Boone,Sean Williams,Vince Carter,1,8:14,LAL,shot,,,Josh Boone,,,,,,,Vladimir Radmanovic,,,,missed,,driving reverse layup,25,6
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Antoine Wright,Jason Kidd,Josh Boone,Sean Williams,Vince Carter,1,8:13,LAL,rebound,,,,,,,,,,Lamar Odom,,,,,,off,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Antoine Wright,Jason Kidd,Josh Boone,Sean Williams,Vince Carter,1,8:10,LAL,shot,Lamar Odom,,,,,,,,,Pau Gasol,2,,,made,,dunk,25,6
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Antoine Wright,Jason Kidd,Josh Boone,Sean Williams,Vince Carter,1,7:51,NJN,shot,,,,,,,,,,Vince Carter,2,,,made,,driving finger roll layup,25,6
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Antoine Wright,Jason Kidd,Josh Boone,Sean Williams,Vince Carter,1,7:35,LAL,shot,,,,,,,,,,Pau Gasol,,,,missed,,jump,40,12
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Antoine Wright,Jason Kidd,Josh Boone,Sean Williams,Vince Carter,1,7:34,NJN,rebound,,,,,,,,,,Jason Kidd,,,,,,def,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Antoine Wright,Jason Kidd,Josh Boone,Sean Williams,Vince Carter,1,7:30,LAL,foul,,,,,,,,Vince Carter,,Pau Gasol,,,,,,personal,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Bostjan Nachbar,Jason Kidd,Josh Boone,Sean Williams,Vince Carter,1,7:30,NJN,sub,,,,Bostjan Nachbar,,Antoine Wright,,,,,,,,,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Bostjan Nachbar,Jason Kidd,Josh Boone,Sean Williams,Vince Carter,1,7:27,LAL,foul,,,,,,,,Josh Boone,,Vladimir Radmanovic,,,,,,shooting,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Bostjan Nachbar,Jason Kidd,Josh Boone,Sean Williams,Vince Carter,1,7:27,NJN,free throw,,,,,,,1,,2,Josh Boone,,,foul,missed,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Bostjan Nachbar,Jason Kidd,Josh Boone,Sean Williams,Vince Carter,1,7:27,NJN,rebound,,,,,,,,,,,,,,,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Bostjan Nachbar,Jason Kidd,Josh Boone,Sean Williams,Vince Carter,1,7:27,NJN,free throw,,,,,,,2,,2,Josh Boone,,,foul,made,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Bostjan Nachbar,Jason Kidd,Josh Boone,Sean Williams,Vince Carter,1,7:03,LAL,shot,Kobe Bryant,,,,,,,,,Derek Fisher,3,,,made,,3pt,7,27
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Vladimir Radmanovic,Bostjan Nachbar,Jason Kidd,Josh Boone,Sean Williams,Vince Carter,1,6:45,NJN,shot,Jason Kidd,,,,,,,,,Bostjan Nachbar,2,,,made,,driving layup,25,6
