a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Bruce Bowen,Damon Stoudamire,Fabricio Oberto,Manu Ginobili,Tim Duncan,Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,1,12:00,OFF,jump ball,,Tim Duncan,,,Jeff Foster,,,,,,,Damon Stoudamire,,,,,,
Bruce Bowen,Damon Stoudamire,Fabricio Oberto,Manu Ginobili,Tim Duncan,Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,1,11:47,SAS,shot,Manu Ginobili,,,,,,,,,Bruce Bowen,2,,,made,,jump,13,20
Bruce Bowen,Damon Stoudamire,Fabricio Oberto,Manu Ginobili,Tim Duncan,Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,1,11:32,IND,shot,,,,,,,,,,Mike Dunleavy,2,,,made,,driving layup,25,7
Bruce Bowen,Damon Stoudamire,Fabricio Oberto,Manu Ginobili,Tim Duncan,Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,1,11:21,SAS,shot,,,,,,,,,,Manu Ginobili,,,,missed,,3pt,18,31
Bruce Bowen,Damon Stoudamire,Fabricio Oberto,Manu Ginobili,Tim Duncan,Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,1,11:20,IND,rebound,,,,,,,,,,Jeff Foster,,,,,,def,,
Bruce Bowen,Damon Stoudamire,Fabricio Oberto,Manu Ginobili,Tim Duncan,Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,1,11:15,IND,shot,,,,,,,,,,Travis Diener,,,,missed,,pullup jump,31,21
Bruce Bowen,Damon Stoudamire,Fabricio Oberto,Manu Ginobili,Tim Duncan,Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,1,11:14,SAS,rebound,,,,,,,,,,Tim Duncan,,,,,,def,,
Bruce Bowen,Damon Stoudamire,Fabricio Oberto,Manu Ginobili,Tim Duncan,Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,1,11:06,SAS,shot,Manu Ginobili,,,,,,,,,Fabricio Oberto,2,,,made,,layup,24,9
Bruce Bowen,Damon Stoudamire,Fabricio Oberto,Manu Ginobili,Tim Duncan,Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,1,10:53,IND,shot,Mike Dunleavy,,,,,,,,,Jeff Foster,2,,,made,,layup,27,9
Bruce Bowen,Damon Stoudamire,Fabricio Oberto,Manu Ginobili,Tim Duncan,Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,1,10:32,SAS,shot,,,,,,,,,,Fabricio Oberto,,,,missed,,jump,31,17
Bruce Bowen,Damon Stoudamire,Fabricio Oberto,Manu Ginobili,Tim Duncan,Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,1,10:31,IND,rebound,,,,,,,,,,Travis Diener,,,,,,def,,
Bruce Bowen,Damon Stoudamire,Fabricio Oberto,Manu Ginobili,Tim Duncan,Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,1,10:22,IND,shot,Mike Dunleavy,,,,,,,,,Travis Diener,2,,,made,,jump,3,12
Bruce Bowen,Damon Stoudamire,Fabricio Oberto,Manu Ginobili,Tim Duncan,Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,1,9:56,SAS,shot,Manu Ginobili,,,,,,,,,Bruce Bowen,2,,,made,,jump,7,9
Bruce Bowen,Damon Stoudamire,Fabricio Oberto,Manu Ginobili,Tim Duncan,Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,1,9:43,IND,shot,,,,,,,,,,Travis Diener,2,,,made,,step back jump,10,11
Bruce Bowen,Damon Stoudamire,Fabricio Oberto,Manu Ginobili,Tim Duncan,Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,1,9:23,SAS,shot,,,,,,,,,,Tim Duncan,2,,,made,,jump bank hook,14,10
Bruce Bowen,Damon Stoudamire,Fabricio Oberto,Manu Ginobili,Tim Duncan,Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,1,9:01,IND,shot,,,,,,,,,,Danny Granger,2,,,made,,jump,24,10
Bruce Bowen,Damon Stoudamire,Fabricio Oberto,Manu Ginobili,Tim Duncan,Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,1,8:53,SAS,shot,,,,,,,,,,Bruce Bowen,,,,missed,,jump,6,15
Bruce Bowen,Damon Stoudamire,Fabricio Oberto,Manu Ginobili,Tim Duncan,Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,1,8:51,SAS,rebound,,,,,,,,,,Tim Duncan,,,,,,off,,
Bruce Bowen,Damon Stoudamire,Fabricio Oberto,Manu Ginobili,Tim Duncan,Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,1,8:50,SAS,shot,Tim Duncan,,,,,,,,,Fabricio Oberto,2,,,made,,layup,23,7
Bruce Bowen,Damon Stoudamire,Fabricio Oberto,Manu Ginobili,Tim Duncan,Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,1,8:41,IND,shot,Travis Diener,,,,,,,,,Troy Murphy,3,,,made,,3pt,25,34
Bruce Bowen,Damon Stoudamire,Fabricio Oberto,Manu Ginobili,Tim Duncan,Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,1,8:19,SAS,shot,,,,,,,,,,Fabricio Oberto,,,,missed,,jump,9,7
Bruce Bowen,Damon Stoudamire,Fabricio Oberto,Manu Ginobili,Tim Duncan,Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,1,8:13,SAS,shot,,,Danny Granger,,,,,,,Manu Ginobili,,,,missed,,3pt,1,9
Bruce Bowen,Damon Stoudamire,Fabricio Oberto,Manu Ginobili,Tim Duncan,Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,1,8:13,SAS,rebound,,,,,,,,,,Tim Duncan,,,,,,off,,
Bruce Bowen,Damon Stoudamire,Fabricio Oberto,Manu Ginobili,Tim Duncan,Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,1,8:13,SAS,rebound,,,,,,,,,,,,,,,,,,
Bruce Bowen,Damon Stoudamire,Fabricio Oberto,Manu Ginobili,Tim Duncan,Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,1,7:59,SAS,shot,,,Danny Granger,,,,,,,Tim Duncan,,,,missed,,jump,34,10
Bruce Bowen,Damon Stoudamire,Fabricio Oberto,Manu Ginobili,Tim Duncan,Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,1,7:59,OFF,jump ball,,Tim Duncan,,,Danny Granger,,,,,,,Fabricio Oberto,,,,,,
Bruce Bowen,Damon Stoudamire,Fabricio Oberto,Manu Ginobili,Tim Duncan,Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,1,7:59,SAS,rebound,,,,,,,,,,,,,,,,,,
Bruce Bowen,Damon Stoudamire,Fabricio Oberto,Manu Ginobili,Tim Duncan,Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,1,7:53,SAS,shot,Fabricio Oberto,,,,,,,,,Manu Ginobili,3,,,made,,3pt,48,13
Bruce Bowen,Damon Stoudamire,Fabricio Oberto,Manu Ginobili,Tim Duncan,Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,1,7:39,IND,shot,Mike Dunleavy,,,,,,,,,Travis Diener,2,,,made,,jump,43,7
Bruce Bowen,Damon Stoudamire,Fabricio Oberto,Manu Ginobili,Tim Duncan,Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,1,7:15,SAS,shot,,,,,,,,,,Fabricio Oberto,,,,missed,,jump,9,9
