a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andrei Kirilenko,C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Brad Miller,Kevin Martin,Mike Bibby,Mikki Moore,Ron Artest,1,12:00,OFF,jump ball,,Mehmet Okur,,,Brad Miller,,,,,,,Kevin Martin,,,,,,
Andrei Kirilenko,C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Brad Miller,Kevin Martin,Mike Bibby,Mikki Moore,Ron Artest,1,11:42,SAC,shot,,,,,,,,,,Ron Artest,,,,missed,,jump,24,11
Andrei Kirilenko,C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Brad Miller,Kevin Martin,Mike Bibby,Mikki Moore,Ron Artest,1,11:40,SAC,shot,,,,,,,,,,Mikki Moore,2,,,made,,putback dunk,25,6
Andrei Kirilenko,C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Brad Miller,Kevin Martin,Mike Bibby,Mikki Moore,Ron Artest,1,11:40,SAC,rebound,,,,,,,,,,Mikki Moore,,,,,,off,,
Andrei Kirilenko,C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Brad Miller,Kevin Martin,Mike Bibby,Mikki Moore,Ron Artest,1,11:39,SAC,violation,,,,,,,,,,,,,,,,delay of game,,
Andrei Kirilenko,C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Brad Miller,Kevin Martin,Mike Bibby,Mikki Moore,Ron Artest,1,11:27,UTA,shot,,,,,,,,,,Carlos Boozer,2,,,made,,driving layup,25,6
Andrei Kirilenko,C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Brad Miller,Kevin Martin,Mike Bibby,Mikki Moore,Ron Artest,1,11:27,SAC,foul,,,,,,,,Carlos Boozer,,Brad Miller,,,,,,shooting,,
Andrei Kirilenko,C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Brad Miller,Kevin Martin,Mike Bibby,Mikki Moore,Ron Artest,1,11:27,UTA,free throw,,,,,,,1,,1,Carlos Boozer,,,foul,made,,,,
Andrei Kirilenko,C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Brad Miller,Kevin Martin,Mike Bibby,Mikki Moore,Ron Artest,1,11:08,SAC,shot,,,,,,,,,,Kevin Martin,2,,,made,,jump,42,19
Andrei Kirilenko,C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Brad Miller,Kevin Martin,Mike Bibby,Mikki Moore,Ron Artest,1,10:50,UTA,shot,,,,,,,,,,Carlos Boozer,,,,missed,,jump,19,22
Andrei Kirilenko,C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Brad Miller,Kevin Martin,Mike Bibby,Mikki Moore,Ron Artest,1,10:49,SAC,rebound,,,,,,,,,,Kevin Martin,,,,,,def,,
Andrei Kirilenko,C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Brad Miller,Kevin Martin,Mike Bibby,Mikki Moore,Ron Artest,1,10:37,UTA,foul,,,,,,,,Mikki Moore,,Mehmet Okur,,,,,,shooting,,
