a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,1,12:00,OFF,jump ball,,Rasheed Wallace,,,Josh Smith,,,,,,,Al Horford,,,,,,
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,1,11:43,ATL,shot,,,,,,,,,,Joe Johnson,,,,missed,,jump,41,13
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,1,11:41,DET,rebound,,,,,,,,,,Rasheed Wallace,,,,,,def,,
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,1,11:25,DET,shot,,,,,,,,,,Richard Hamilton,,,,missed,,jump,31,23
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,1,11:22,ATL,rebound,,,,,,,,,,Josh Smith,,,,,,def,,
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,1,11:07,ATL,shot,,,,,,,,,,Al Horford,,,,missed,,jump,36,20
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,1,11:05,DET,rebound,,,,,,,,,,Richard Hamilton,,,,,,def,,
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,1,11:00,ATL,foul,,,,,,,,Chauncey Billups,,Joe Johnson,,,,,,personal,,
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,1,10:54,DET,shot,,,,,,,,,,Chauncey Billups,,,,missed,,3pt,40,27
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,1,10:51,ATL,rebound,,,,,,,,,,Al Horford,,,,,,def,,
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,1,10:40,ATL,shot,Joe Johnson,,,,,,,,,Anthony Johnson,2,,,made,,layup,25,6
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,1,10:17,DET,shot,Chauncey Billups,,,,,,,,,Antonio McDyess,2,,,made,,jump,39,16
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,1,10:04,ATL,shot,,,,,,,,,,Anthony Johnson,,,,missed,,jump,44,9
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,1,10:01,DET,rebound,,,,,,,,,,Richard Hamilton,,,,,,def,,
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,1,9:55,DET,shot,,,,,,,,,,Richard Hamilton,,,,missed,,jump,25,22
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,1,9:53,ATL,rebound,,,,,,,,,,Al Horford,,,,,,def,,
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,1,9:49,ATL,shot,,,,,,,,,,Marvin Williams,,,,missed,,jump,11,17
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,1,9:47,DET,rebound,,,,,,,,,,Chauncey Billups,,,,,,def,,
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,1,9:44,ATL,foul,,,,,,,,Chauncey Billups,,Al Horford,,,,,,shooting,,
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,1,9:44,DET,free throw,,,,,,,1,,2,Chauncey Billups,,,foul,made,,,,
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,1,9:44,DET,free throw,,,,,,,2,,2,Chauncey Billups,,,foul,made,,,,
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,1,9:35,ATL,shot,,,,,,,,,,Josh Smith,2,,,made,,driving dunk,25,6
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,1,9:16,DET,shot,,,,,,,,,,Rasheed Wallace,2,,,made,,turnaround jump,28,16
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,1,8:59,ATL,shot,,,,,,,,,,Marvin Williams,,,,missed,,turnaround jump,17,20
Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Al Horford,Anthony Johnson,Joe Johnson,Josh Smith,Marvin Williams,1,8:56,DET,rebound,,,,,,,,,,Antonio McDyess,,,,,,def,,
