a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Amare Stoudemire,Boris Diaw,Grant Hill,Raja Bell,Steve Nash,Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,1,12:00,OFF,jump ball,,Amare Stoudemire,,,Al Harrington,,,,,,,Steve Nash,,,,,,
Amare Stoudemire,Boris Diaw,Grant Hill,Raja Bell,Steve Nash,Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,1,11:39,PHX,turnover,,,,,,,,,,Boris Diaw,,,traveling,,,,,
Amare Stoudemire,Boris Diaw,Grant Hill,Raja Bell,Steve Nash,Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,1,11:22,GSW,shot,,,,,,,,,,Al Harrington,2,,,made,,jump,39,16
Amare Stoudemire,Boris Diaw,Grant Hill,Raja Bell,Steve Nash,Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,1,11:17,PHX,turnover,,,,,,,,,,Steve Nash,,,bad pass,,Stephen Jackson,,,
Amare Stoudemire,Boris Diaw,Grant Hill,Raja Bell,Steve Nash,Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,1,11:13,GSW,shot,,,,,,,,,,Stephen Jackson,,,,missed,,jump,19,28
Amare Stoudemire,Boris Diaw,Grant Hill,Raja Bell,Steve Nash,Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,1,11:09,GSW,rebound,,,,,,,,,,Monta Ellis,,,,,,off,,
Amare Stoudemire,Boris Diaw,Grant Hill,Raja Bell,Steve Nash,Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,1,11:08,GSW,shot,,,,,,,,,,Monta Ellis,,,,missed,,jump,25,14
Amare Stoudemire,Boris Diaw,Grant Hill,Raja Bell,Steve Nash,Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,1,11:07,PHX,rebound,,,,,,,,,,Steve Nash,,,,,,def,,
Amare Stoudemire,Boris Diaw,Grant Hill,Raja Bell,Steve Nash,Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,1,11:02,PHX,shot,Steve Nash,,,,,,,,,Raja Bell,3,,,made,,3pt,48,5
Amare Stoudemire,Boris Diaw,Grant Hill,Raja Bell,Steve Nash,Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,1,10:56,GSW,shot,Matt Barnes,,,,,,,,,Monta Ellis,2,,,made,,layup,24,5
Amare Stoudemire,Boris Diaw,Grant Hill,Raja Bell,Steve Nash,Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,1,10:44,PHX,shot,,,,,,,,,,Boris Diaw,,,,missed,,turnaround jump,18,9
Amare Stoudemire,Boris Diaw,Grant Hill,Raja Bell,Steve Nash,Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,1,10:43,GSW,rebound,,,,,,,,,,Matt Barnes,,,,,,def,,
Amare Stoudemire,Boris Diaw,Grant Hill,Raja Bell,Steve Nash,Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,1,10:31,GSW,shot,,,,,,,,,,Al Harrington,2,,,made,,step back jump,38,19
Amare Stoudemire,Boris Diaw,Grant Hill,Raja Bell,Steve Nash,Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,1,10:14,GSW,foul,,,,,,,,Boris Diaw,,Baron Davis,,,,,,personal,,
Amare Stoudemire,Boris Diaw,Grant Hill,Raja Bell,Steve Nash,Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,1,10:02,PHX,shot,Boris Diaw,,,,,,,,,Grant Hill,2,,,made,,jump,24,26
Amare Stoudemire,Boris Diaw,Grant Hill,Raja Bell,Steve Nash,Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,1,9:56,GSW,shot,Baron Davis,,,,,,,,,Matt Barnes,2,,,made,,slam dunk,25,6
Amare Stoudemire,Boris Diaw,Grant Hill,Raja Bell,Steve Nash,Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,1,9:46,GSW,foul,,,,,,,,Amare Stoudemire,,Al Harrington,,,,,,shooting,,
Amare Stoudemire,Boris Diaw,Grant Hill,Raja Bell,Steve Nash,Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,1,9:46,PHX,free throw,,,,,,,1,,2,Amare Stoudemire,,,foul,made,,,,
Amare Stoudemire,Boris Diaw,Grant Hill,Raja Bell,Steve Nash,Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,1,9:46,PHX,free throw,,,,,,,2,,2,Amare Stoudemire,,,foul,made,,,,
Amare Stoudemire,Boris Diaw,Grant Hill,Raja Bell,Steve Nash,Al Harrington,Baron Davis,Matt Barnes,Monta Ellis,Stephen Jackson,1,9:40,GSW,shot,,,,,,,,,,Baron Davis,3,,,made,,3pt,19,31
