a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,12:00,OFF,jump ball,,Ben Wallace,,,Josh Boone,,,,,,,Marcus Williams,,,,,,
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,11:44,NJN,shot,,,,,,,,,,Vince Carter,,,,missed,,jump,28,19
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,11:43,CHI,rebound,,,,,,,,,,Andres Nocioni,,,,,,def,,
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,11:32,CHI,turnover,,,,,,,,,,Thabo Sefolosha,,,traveling,,,,,
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,11:22,NJN,turnover,,,,,,,,,,Marcus Williams,,,bad pass,,,,,
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,11:09,CHI,turnover,,,,,,,,,,Andres Nocioni,,,bad pass,,Marcus Williams,,,
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,11:05,NJN,shot,,,Thabo Sefolosha,,,,,,,Richard Jefferson,,,,missed,,driving layup,25,6
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,11:04,CHI,rebound,,,,,,,,,,,,,,,,,,
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:58,CHI,shot,Kirk Hinrich,,,,,,,,,Andres Nocioni,3,,,made,,3pt,41,26
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:38,NJN,shot,,,,,,,,,,Marcus Williams,,,,missed,,running jump,31,15
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:37,CHI,rebound,,,,,,,,,,Joe Smith,,,,,,def,,
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:24,CHI,shot,,,,,,,,,,Ben Wallace,,,,missed,,running hook,25,11
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:23,NJN,rebound,,,,,,,,,,Josh Boone,,,,,,def,,
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:13,NJN,shot,,,,,,,,,,Vince Carter,,,,missed,,3pt,4,20
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:12,CHI,rebound,,,,,,,,,,Ben Wallace,,,,,,def,,
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:51,CHI,shot,,,Josh Boone,,,,,,,Thabo Sefolosha,,,,missed,,jump,39,7
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:49,NJN,rebound,,,,,,,,,,Josh Boone,,,,,,def,,
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:37,NJN,shot,,,,,,,,,,Nenad Krstic,,,,missed,,hook,19,8
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:36,NJN,rebound,,,,,,,,,,Josh Boone,,,,,,off,,
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:35,NJN,shot,,,,,,,,,,Josh Boone,,,,missed,,tip,25,6
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:34,CHI,rebound,,,,,,,,,,Ben Wallace,,,,,,def,,
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:32,CHI,turnover,,,,,,,,,,Ben Wallace,,,bad pass,,Vince Carter,,,
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:25,NJN,shot,,,,,,,,,,Nenad Krstic,,,,missed,,jump,18,6
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:24,NJN,rebound,,,,,,,,,,Vince Carter,,,,,,off,,
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:22,NJN,shot,Vince Carter,,,,,,,,,Richard Jefferson,2,,,made,,driving dunk,25,6
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:07,NJN,foul,,,,,,,,Andres Nocioni,,Richard Jefferson,,,,,,personal,,
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:02,CHI,foul,,,,,,,,Richard Jefferson,,Joe Smith,,,,,,offensive,,
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:02,CHI,turnover,,,,,,,,,,Joe Smith,,,foul,,,,,
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,8:56,CHI,foul,,,,,,,,Richard Jefferson,,Andres Nocioni,,,,,,personal,,
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,8:48,NJN,shot,Vince Carter,,,,,,,,,Richard Jefferson,3,,,made,,3pt,11,26
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,8:37,NJN,foul,,,,,,,,Kirk Hinrich,,Nenad Krstic,,,,,,personal,,
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,8:26,CHI,turnover,,,,,,,,,,Andres Nocioni,,,bad pass,,,,,
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,8:11,NJN,shot,,,,,,,,,,Richard Jefferson,,,,missed,,turnaround jump,39,12
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,8:10,NJN,rebound,,,,,,,,,,Josh Boone,,,,,,off,,
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,8:01,NJN,shot,Marcus Williams,,,,,,,,,Nenad Krstic,2,,,made,,jump,23,25
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,7:43,CHI,shot,Thabo Sefolosha,,,,,,,,,Joe Smith,2,,,made,,jump,38,19
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,7:26,NJN,shot,Nenad Krstic,,,,,,,,,Richard Jefferson,2,,,made,,driving dunk,25,6
Andres Nocioni,Ben Wallace,Joe Smith,Kirk Hinrich,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,7:14,NJN,foul,,,,,,,,Kirk Hinrich,,Marcus Williams,,,,,,shooting,,
Ben Wallace,Joe Smith,Kirk Hinrich,Luol Deng,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,7:14,CHI,sub,,,,Luol Deng,,Andres Nocioni,,,,,,,,,,,,
Ben Wallace,Joe Smith,Kirk Hinrich,Luol Deng,Thabo Sefolosha,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,7:14,CHI,free throw,,,,,,,1,,2,Kirk Hinrich,,,foul,made,,,,
