a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Al Harrington,Baron Davis,Chris Webber,Mickael Pietrus,Monta Ellis,1,12:00,OFF,jump ball,,Josh Smith,,,Chris Webber,,,,,,,Joe Johnson,,,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Al Harrington,Baron Davis,Chris Webber,Mickael Pietrus,Monta Ellis,1,11:38,ATL,shot,Mike Bibby,,,,,,,,,Joe Johnson,2,,,made,,jump hook,28,9
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Al Harrington,Baron Davis,Chris Webber,Mickael Pietrus,Monta Ellis,1,11:25,GSW,shot,,,,,,,,,,Monta Ellis,,,,missed,,floating jump,25,17
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Al Harrington,Baron Davis,Chris Webber,Mickael Pietrus,Monta Ellis,1,11:24,ATL,rebound,,,,,,,,,,Josh Smith,,,,,,def,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Al Harrington,Baron Davis,Chris Webber,Mickael Pietrus,Monta Ellis,1,11:20,ATL,foul,,,,,,,,Mickael Pietrus,,Josh Smith,,,,,,offensive,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Al Harrington,Baron Davis,Chris Webber,Mickael Pietrus,Monta Ellis,1,11:20,ATL,turnover,,,,,,,,,,Josh Smith,,,foul,,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Al Harrington,Baron Davis,Chris Webber,Mickael Pietrus,Monta Ellis,1,11:03,GSW,shot,,,,,,,,,,Al Harrington,,,,missed,,3pt,25,32
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Al Harrington,Baron Davis,Chris Webber,Mickael Pietrus,Monta Ellis,1,11:02,GSW,rebound,,,,,,,,,,Mickael Pietrus,,,,,,off,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Al Harrington,Baron Davis,Chris Webber,Mickael Pietrus,Monta Ellis,1,10:55,GSW,shot,Chris Webber,,,,,,,,,Al Harrington,2,,,made,,driving slam dunk,25,7
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Al Harrington,Baron Davis,Chris Webber,Mickael Pietrus,Monta Ellis,1,10:36,ATL,shot,Josh Smith,,,,,,,,,Marvin Williams,2,,,made,,driving slam dunk,24,6
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Al Harrington,Baron Davis,Chris Webber,Mickael Pietrus,Monta Ellis,1,10:17,GSW,shot,,,,,,,,,,Monta Ellis,2,,,made,,jump,16,22
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Al Harrington,Baron Davis,Chris Webber,Mickael Pietrus,Monta Ellis,1,9:57,ATL,shot,Joe Johnson,,,,,,,,,Marvin Williams,2,,,made,,jump,7,5
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Al Harrington,Baron Davis,Chris Webber,Mickael Pietrus,Monta Ellis,1,9:43,GSW,shot,,,,,,,,,,Al Harrington,,,,missed,,3pt,2,4
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Al Harrington,Baron Davis,Chris Webber,Mickael Pietrus,Monta Ellis,1,9:41,ATL,rebound,,,,,,,,,,Marvin Williams,,,,,,def,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Al Harrington,Baron Davis,Chris Webber,Mickael Pietrus,Monta Ellis,1,9:36,ATL,turnover,,,,,,,,,,Mike Bibby,,,bad pass,,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Al Harrington,Baron Davis,Chris Webber,Mickael Pietrus,Monta Ellis,1,9:17,GSW,shot,,,,,,,,,,Baron Davis,,,,missed,,3pt,48,3
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Al Harrington,Baron Davis,Chris Webber,Mickael Pietrus,Monta Ellis,1,9:16,ATL,rebound,,,,,,,,,,Joe Johnson,,,,,,def,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Al Harrington,Baron Davis,Chris Webber,Mickael Pietrus,Monta Ellis,1,9:05,ATL,shot,,,,,,,,,,Josh Smith,,,,missed,,jump,28,9
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Al Harrington,Baron Davis,Chris Webber,Mickael Pietrus,Monta Ellis,1,9:05,ATL,rebound,,,,,,,,,,Marvin Williams,,,,,,off,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Al Harrington,Baron Davis,Chris Webber,Mickael Pietrus,Monta Ellis,1,9:05,OFF,jump ball,,Josh Smith,,,Al Harrington,,,,,,,Mike Bibby,,,,,,
