a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,12:00,OFF,jump ball,,Jeff Foster,,,Josh Boone,,,,,,,Troy Murphy,,,,,,
Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,11:43,IND,shot,,,,,,,,,,Travis Diener,,,,missed,,jump,10,16
Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,11:42,NJN,rebound,,,,,,,,,,Josh Boone,,,,,,def,,
Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,11:28,NJN,shot,Marcus Williams,,,,,,,,,Vince Carter,2,,,made,,jump,14,23
Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,11:14,IND,shot,Danny Granger,,,,,,,,,Jeff Foster,2,,,made,,jump,10,15
Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:57,NJN,shot,,,,,,,,,,Nenad Krstic,,,,missed,,jump,41,7
Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:56,IND,rebound,,,,,,,,,,Jeff Foster,,,,,,def,,
Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:44,IND,shot,,,,,,,,,,Danny Granger,,,,missed,,jump,19,20
Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:43,NJN,rebound,,,,,,,,,,Marcus Williams,,,,,,def,,
Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:33,NJN,shot,,,,,,,,,,Marcus Williams,,,,missed,,driving layup,25,6
Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:32,IND,rebound,,,,,,,,,,Jeff Foster,,,,,,def,,
Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:23,IND,shot,,,,,,,,,,Troy Murphy,,,,missed,,3pt,20,31
Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:22,NJN,rebound,,,,,,,,,,Josh Boone,,,,,,def,,
Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:58,NJN,shot,,,,,,,,,,Richard Jefferson,,,,missed,,jump,45,10
Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:57,IND,rebound,,,,,,,,,,Mike Dunleavy,,,,,,def,,
Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:43,IND,shot,,,,,,,,,,Danny Granger,,,,missed,,3pt,3,20
Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:42,NJN,rebound,,,,,,,,,,Nenad Krstic,,,,,,def,,
Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:27,NJN,shot,,,,,,,,,,Nenad Krstic,,,,missed,,jump,41,13
Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:26,IND,rebound,,,,,,,,,,Troy Murphy,,,,,,def,,
Danny Granger,Jeff Foster,Mike Dunleavy,Travis Diener,Troy Murphy,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:12,IND,shot,,,,,,,,,,Mike Dunleavy,,,,missed,,3pt,3,17
