a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Dorell Wright,Dwyane Wade,Jason Williams,Mark Blount,Shawn Marion,1,12:00,OFF,jump ball,,Samuel Dalembert,,,Mark Blount,,,,,,,Thaddeus Young,,,,,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Dorell Wright,Dwyane Wade,Jason Williams,Mark Blount,Shawn Marion,1,11:41,PHI,turnover,,,,,,,,,,Samuel Dalembert,,,lost ball,,Dorell Wright,,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Dorell Wright,Dwyane Wade,Jason Williams,Mark Blount,Shawn Marion,1,11:30,MIA,turnover,,,,,,,,,,Jason Williams,,,bad pass,,,,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Dorell Wright,Dwyane Wade,Jason Williams,Mark Blount,Shawn Marion,1,11:19,MIA,foul,,,,,,,,Andre Miller,,Jason Williams,,,,,,personal,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Dorell Wright,Dwyane Wade,Jason Williams,Mark Blount,Shawn Marion,1,11:19,PHI,free throw,,,,,,,1,,2,Andre Miller,,,foul,made,,,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Dorell Wright,Dwyane Wade,Jason Williams,Mark Blount,Shawn Marion,1,11:19,PHI,free throw,,,,,,,2,,2,Andre Miller,,,foul,made,,,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Dorell Wright,Dwyane Wade,Jason Williams,Mark Blount,Shawn Marion,1,10:57,MIA,turnover,,,,,,,,,,Shawn Marion,,,lost ball,,Andre Miller,,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Dorell Wright,Dwyane Wade,Jason Williams,Mark Blount,Shawn Marion,1,10:42,PHI,shot,,,,,,,,,,Willie Green,,,,missed,,jump,23,25
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Dorell Wright,Dwyane Wade,Jason Williams,Mark Blount,Shawn Marion,1,10:40,MIA,rebound,,,,,,,,,,Dorell Wright,,,,,,def,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Dorell Wright,Dwyane Wade,Jason Williams,Mark Blount,Shawn Marion,1,10:22,MIA,shot,,,,,,,,,,Shawn Marion,2,,,made,,driving finger roll layup,25,6
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Dorell Wright,Dwyane Wade,Jason Williams,Mark Blount,Shawn Marion,1,10:08,PHI,shot,,,,,,,,,,Willie Green,,,,missed,,3pt,49,5
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Dorell Wright,Dwyane Wade,Jason Williams,Mark Blount,Shawn Marion,1,10:06,MIA,rebound,,,,,,,,,,Dorell Wright,,,,,,def,,
