a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,12:00,OFF,jump ball,,Samuel Dalembert,,,Brandan Wright,,,,,,,Andre Miller,,,,,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,11:45,PHI,shot,,,,,,,,,,Samuel Dalembert,,,,missed,,jump,24,11
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,11:41,GSW,rebound,,,,,,,,,,Brandan Wright,,,,,,def,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,11:36,GSW,shot,,,Samuel Dalembert,,,,,,,Brandan Wright,,,,missed,,layup,28,7
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,11:34,GSW,rebound,,,,,,,,,,Monta Ellis,,,,,,off,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,11:32,GSW,turnover,,,,,,,,,,Monta Ellis,,,poss lost ball turnover,,,,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,11:10,PHI,shot,,,,,,,,,,Samuel Dalembert,,,,missed,,turnaround hook,30,10
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,11:09,GSW,rebound,,,,,,,,,,Brandan Wright,,,,,,def,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,11:02,GSW,shot,,,,,,,,,,Chris Webber,,,,missed,,jump,29,24
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,11:01,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,def,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,10:42,PHI,shot,,,,,,,,,,Andre Miller,,,,missed,,jump,12,5
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,10:41,GSW,rebound,,,,,,,,,,Chris Webber,,,,,,def,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,10:25,GSW,shot,,,,,,,,,,Monta Ellis,,,,missed,,jump,44,14
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,10:24,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,def,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,10:23,PHI,turnover,,,,,,,,,,Samuel Dalembert,,,step out of bounds turnover,,,,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,10:16,GSW,shot,,,,,,,,,,Chris Webber,,,,missed,,reverse layup,28,7
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,10:15,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,def,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,10:07,PHI,shot,,,,,,,,,,Willie Green,,,,missed,,3pt,42,24
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,10:06,PHI,rebound,,,,,,,,,,Andre Iguodala,,,,,,off,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,9:57,PHI,shot,,,,,,,,,,Willie Green,,,,missed,,layup,27,6
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,9:57,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,off,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,9:54,PHI,turnover,,,,,,,,,,Samuel Dalembert,,,bad pass,,Baron Davis,,,
