a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Brevin Knight,Chris Kaman,Corey Maggette,Cuttino Mobley,Josh Powell,1,12:00,OFF,jump ball,,Rasheed Wallace,,,Chris Kaman,,,,,,,Josh Powell,,,,,,
Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Brevin Knight,Chris Kaman,Corey Maggette,Cuttino Mobley,Josh Powell,1,11:44,LAC,shot,,,,,,,,,,Corey Maggette,,,,missed,,jump,12,14
Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Brevin Knight,Chris Kaman,Corey Maggette,Cuttino Mobley,Josh Powell,1,11:44,DET,rebound,,,,,,,,,,,,,,,,,,
Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Brevin Knight,Chris Kaman,Corey Maggette,Cuttino Mobley,Josh Powell,1,11:30,DET,shot,,,,,,,,,,Richard Hamilton,,,,missed,,turnaround jump,21,17
Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Brevin Knight,Chris Kaman,Corey Maggette,Cuttino Mobley,Josh Powell,1,11:29,LAC,rebound,,,,,,,,,,Josh Powell,,,,,,def,,
Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Brevin Knight,Chris Kaman,Corey Maggette,Cuttino Mobley,Josh Powell,1,11:11,LAC,shot,,,Rasheed Wallace,,,,,,,Chris Kaman,,,,missed,,layup,25,6
Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Brevin Knight,Chris Kaman,Corey Maggette,Cuttino Mobley,Josh Powell,1,11:09,DET,rebound,,,,,,,,,,Antonio McDyess,,,,,,def,,
Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Brevin Knight,Chris Kaman,Corey Maggette,Cuttino Mobley,Josh Powell,1,11:06,LAC,foul,,,,,,,,Richard Hamilton,,Cuttino Mobley,,,,,,shooting,,
Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Brevin Knight,Chris Kaman,Corey Maggette,Cuttino Mobley,Josh Powell,1,11:06,DET,free throw,,,,,,,1,,2,Richard Hamilton,,,foul,missed,,,,
Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Brevin Knight,Chris Kaman,Corey Maggette,Cuttino Mobley,Josh Powell,1,11:06,DET,rebound,,,,,,,,,,,,,,,,,,
Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Brevin Knight,Chris Kaman,Corey Maggette,Cuttino Mobley,Josh Powell,1,11:06,DET,free throw,,,,,,,2,,2,Richard Hamilton,,,foul,made,,,,
Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Brevin Knight,Chris Kaman,Corey Maggette,Cuttino Mobley,Josh Powell,1,10:52,LAC,shot,,,,,,,,,,Corey Maggette,,,,missed,,jump,25,11
Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Brevin Knight,Chris Kaman,Corey Maggette,Cuttino Mobley,Josh Powell,1,10:52,DET,rebound,,,,,,,,,,Rasheed Wallace,,,,,,def,,
Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Brevin Knight,Chris Kaman,Corey Maggette,Cuttino Mobley,Josh Powell,1,10:45,DET,shot,,,,,,,,,,Tayshaun Prince,,,,missed,,jump,13,8
Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Brevin Knight,Chris Kaman,Corey Maggette,Cuttino Mobley,Josh Powell,1,10:43,DET,rebound,,,,,,,,,,Antonio McDyess,,,,,,off,,
Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Brevin Knight,Chris Kaman,Corey Maggette,Cuttino Mobley,Josh Powell,1,10:37,DET,shot,Rodney Stuckey,,,,,,,,,Rasheed Wallace,3,,,made,,3pt,11,28
Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Brevin Knight,Chris Kaman,Corey Maggette,Cuttino Mobley,Josh Powell,1,10:22,LAC,shot,,,,,,,,,,Josh Powell,,,,missed,,jump,24,23
Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Brevin Knight,Chris Kaman,Corey Maggette,Cuttino Mobley,Josh Powell,1,10:21,LAC,rebound,,,,,,,,,,Chris Kaman,,,,,,off,,
Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Brevin Knight,Chris Kaman,Corey Maggette,Cuttino Mobley,Josh Powell,1,10:16,LAC,shot,,,,,,,,,,Chris Kaman,,,,missed,,layup,25,6
