a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,12:00,OFF,jump ball,,Joel Przybilla,,,Brandan Wright,,,,,,,Stephen Jackson,,,,,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,11:47,GSW,shot,,,,,,,,,,Monta Ellis,,,,missed,,jump,37,22
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,11:45,GSW,rebound,,,,,,,,,,Brandan Wright,,,,,,off,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,11:40,GSW,shot,Brandan Wright,,,,,,,,,Stephen Jackson,3,,,made,,3pt,45,23
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,11:21,POR,shot,LaMarcus Aldridge,,,,,,,,,Brandon Roy,2,,,made,,jump,11,24
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,11:08,GSW,shot,,,Joel Przybilla,,,,,,,Brandan Wright,,,,missed,,layup,24,7
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,11:07,POR,rebound,,,,,,,,,,Martell Webster,,,,,,def,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,11:01,POR,shot,,,,,,,,,,Martell Webster,2,,,made,,jump,37,24
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,10:52,GSW,shot,,,,,,,,,,Baron Davis,,,,missed,,3pt,49,6
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,10:51,POR,rebound,,,,,,,,,,Brandon Roy,,,,,,def,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,10:41,POR,shot,,,,,,,,,,Brandon Roy,,,,missed,,jump,13,18
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,10:40,GSW,rebound,,,,,,,,,,Monta Ellis,,,,,,def,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,10:35,GSW,shot,,,,,,,,,,Monta Ellis,2,,,made,,driving layup,24,7
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,10:15,POR,shot,,,,,,,,,,LaMarcus Aldridge,,,,missed,,jump,37,21
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,10:13,POR,rebound,,,,,,,,,,Joel Przybilla,,,,,,off,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,10:09,POR,shot,,,,,,,,,,Brandon Roy,,,,missed,,3pt,11,28
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,10:08,POR,rebound,,,,,,,,,,Joel Przybilla,,,,,,off,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,10:03,POR,shot,,,Stephen Jackson,,,,,,,LaMarcus Aldridge,,,,missed,,jump,28,8
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,10:02,GSW,rebound,,,,,,,,,,Stephen Jackson,,,,,,def,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,9:52,GSW,shot,,,,,,,,,,Stephen Jackson,,,,missed,,turnaround bank,14,13
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,9:51,POR,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,def,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,9:32,POR,shot,,,,,,,,,,LaMarcus Aldridge,,,,missed,,jump,33,9
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,9:31,POR,rebound,,,,,,,,,,Joel Przybilla,,,,,,off,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,9:28,POR,shot,,,,,,,,,,Martell Webster,,,,missed,,3pt,6,22
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,9:25,GSW,rebound,,,,,,,,,,Stephen Jackson,,,,,,def,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,9:20,GSW,shot,,,,,,,,,,Baron Davis,,,,missed,,3pt,15,31
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,9:19,GSW,rebound,,,,,,,,,,Brandan Wright,,,,,,off,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,9:17,GSW,shot,,,,,,,,,,Brandan Wright,2,,,made,,jump hook,31,6
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,9:03,GSW,foul,,,,,,,,LaMarcus Aldridge,,Chris Webber,,,,,,shooting,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,9:03,POR,free throw,,,,,,,1,,2,LaMarcus Aldridge,,,foul,made,,,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,9:03,POR,free throw,,,,,,,2,,2,LaMarcus Aldridge,,,foul,made,,,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,8:47,GSW,shot,,,,,,,,,,Stephen Jackson,,,,missed,,layup,23,7
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,8:46,GSW,shot,,,,,,,,,,Brandan Wright,2,,,made,,putback layup,27,7
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,8:46,GSW,rebound,,,,,,,,,,Brandan Wright,,,,,,off,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,8:25,POR,shot,Steve Blake,,,,,,,,,LaMarcus Aldridge,2,,,made,,jump,13,8
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,8:07,GSW,shot,,,,,,,,,,Baron Davis,2,,,made,,step back jump,35,16
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,7:49,POR,shot,Martell Webster,,,,,,,,,LaMarcus Aldridge,2,,,made,,turnaround jump,37,7
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,7:36,GSW,turnover,,,,,,,,,,Chris Webber,,,bad pass,,Brandon Roy,,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,7:29,POR,shot,,,,,,,,,,Brandon Roy,,,,missed,,jump,40,8
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,7:28,GSW,rebound,,,,,,,,,,Chris Webber,,,,,,def,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,7:23,GSW,turnover,,,,,,,,,,Stephen Jackson,,,lost ball,,Brandon Roy,,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,7:15,POR,shot,,,,,,,,,,LaMarcus Aldridge,,,,missed,,turnaround hook,31,8
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,7:14,GSW,rebound,,,,,,,,,,Stephen Jackson,,,,,,def,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,7:06,GSW,shot,,,,,,,,,,Chris Webber,,,,missed,,jump,15,10
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,7:05,POR,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,def,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,6:46,POR,shot,,,Brandan Wright,,,,,,,Brandon Roy,,,,missed,,jump,28,8
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,6:44,GSW,rebound,,,,,,,,,,Stephen Jackson,,,,,,def,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,6:39,GSW,shot,,,,,,,,,,Stephen Jackson,3,,,made,,3pt,14,30
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,6:16,GSW,foul,,,,,,,,Joel Przybilla,,Brandan Wright,,,,,,shooting,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,6:16,POR,free throw,,,,,,,1,,2,Joel Przybilla,,,foul,made,,,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,6:16,POR,free throw,,,,,,,2,,2,Joel Przybilla,,,foul,made,,,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,5:55,GSW,shot,,,,,,,,,,Baron Davis,,,,missed,,running jump,24,13
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,5:53,POR,rebound,,,,,,,,,,Martell Webster,,,,,,def,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,5:33,POR,shot,,,,,,,,,,Martell Webster,,,,missed,,jump,12,22
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Baron Davis,Brandan Wright,Chris Webber,Monta Ellis,Stephen Jackson,1,5:32,POR,rebound,,,,,,,,,,Joel Przybilla,,,,,,off,,
