a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Bruce Bowen,Kurt Thomas,Michael Finley,Tim Duncan,Tony Parker,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,12:00,OFF,jump ball,,Tim Duncan,,,Josh Boone,,,,,,,Michael Finley,,,,,,
Bruce Bowen,Kurt Thomas,Michael Finley,Tim Duncan,Tony Parker,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,11:33,SAS,shot,,,,,,,,,,Michael Finley,,,,missed,,3pt,48,6
Bruce Bowen,Kurt Thomas,Michael Finley,Tim Duncan,Tony Parker,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,11:32,NJN,rebound,,,,,,,,,,Richard Jefferson,,,,,,def,,
Bruce Bowen,Kurt Thomas,Michael Finley,Tim Duncan,Tony Parker,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,11:24,NJN,shot,,,,,,,,,,Vince Carter,,,,missed,,driving reverse layup,25,6
Bruce Bowen,Kurt Thomas,Michael Finley,Tim Duncan,Tony Parker,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,11:23,NJN,rebound,,,,,,,,,,Josh Boone,,,,,,off,,
Bruce Bowen,Kurt Thomas,Michael Finley,Tim Duncan,Tony Parker,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,11:22,NJN,shot,,,,,,,,,,Josh Boone,2,,,made,,layup,25,6
Bruce Bowen,Kurt Thomas,Michael Finley,Tim Duncan,Tony Parker,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,11:22,SAS,shot,Tony Parker,,,,,,,,,Kurt Thomas,2,,,made,,jump,9,7
Bruce Bowen,Kurt Thomas,Michael Finley,Tim Duncan,Tony Parker,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,11:12,NJN,foul,,,,,,,,Bruce Bowen,,Marcus Williams,,,,,,offensive,,
Bruce Bowen,Kurt Thomas,Michael Finley,Tim Duncan,Tony Parker,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,11:12,NJN,turnover,,,,,,,,,,Marcus Williams,,,foul,,,,,
Bruce Bowen,Kurt Thomas,Michael Finley,Tim Duncan,Tony Parker,Josh Boone,Marcus Williams,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:59,SAS,shot,,,,,,,,,,Tony Parker,2,,,made,,jump,34,23
