a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Chris Wilcox,Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,12:00,OFF,jump ball,,Johan Petro,,,Rasheed Wallace,,,,,,,Chris Wilcox,,,,,,
Chris Wilcox,Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,11:42,SEA,shot,Kevin Durant,,,,,,,,,Johan Petro,2,,,made,,jump,19,25
Chris Wilcox,Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,11:24,DET,shot,,,,,,,,,,Rasheed Wallace,,,,missed,,jump,44,7
Chris Wilcox,Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,11:23,SEA,rebound,,,,,,,,,,Johan Petro,,,,,,def,,
Chris Wilcox,Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,11:14,SEA,shot,Kevin Durant,,,,,,,,,Jeff Green,2,,,made,,jump,19,27
Chris Wilcox,Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,10:52,DET,shot,Tayshaun Prince,,,,,,,,,Antonio McDyess,2,,,made,,jump,13,23
Chris Wilcox,Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,10:46,SEA,shot,,,,,,,,,,Jeff Green,,,,missed,,layup,25,6
Chris Wilcox,Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,10:45,SEA,rebound,,,,,,,,,,Chris Wilcox,,,,,,off,,
Chris Wilcox,Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,10:43,SEA,shot,,,,,,,,,,Chris Wilcox,2,,,made,,layup,25,6
Chris Wilcox,Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,10:31,DET,shot,Chauncey Billups,,,,,,,,,Richard Hamilton,2,,,made,,jump,44,8
Chris Wilcox,Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,10:24,SEA,shot,Earl Watson,,,,,,,,,Chris Wilcox,2,,,made,,alley oop layup,25,6
Chris Wilcox,Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,10:00,DET,shot,Tayshaun Prince,,,,,,,,,Rasheed Wallace,2,,,made,,jump,43,9
Chris Wilcox,Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,9:47,SEA,shot,,,,,,,,,,Earl Watson,2,,,made,,jump,22,27
Chris Wilcox,Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,9:32,DET,shot,,,,,,,,,,Antonio McDyess,,,,missed,,jump,10,20
Chris Wilcox,Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,9:31,SEA,rebound,,,,,,,,,,Johan Petro,,,,,,def,,
Chris Wilcox,Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,9:20,SEA,shot,,,,,,,,,,Earl Watson,2,,,made,,jump,10,19
Chris Wilcox,Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,9:17,DET,timeout,,,,,,,,,,,,,,,,regular,,
Chris Wilcox,Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,9:08,DET,shot,,,,,,,,,,Rasheed Wallace,,,,missed,,layup,25,6
Chris Wilcox,Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,9:07,DET,rebound,,,,,,,,,,Antonio McDyess,,,,,,off,,
Chris Wilcox,Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,9:06,DET,shot,,,,,,,,,,Antonio McDyess,,,,missed,,tip,25,6
Chris Wilcox,Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,9:05,SEA,rebound,,,,,,,,,,Johan Petro,,,,,,def,,
Chris Wilcox,Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,8:56,SEA,shot,,,,,,,,,,Earl Watson,2,,,made,,running jump,36,10
Chris Wilcox,Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,8:38,SEA,foul,,,,,,,,Antonio McDyess,,Earl Watson,,,,,,shooting,,
Chris Wilcox,Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,8:38,DET,free throw,,,,,,,1,,2,Antonio McDyess,,,foul,made,,,,
Chris Wilcox,Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,8:38,DET,free throw,,,,,,,2,,2,Antonio McDyess,,,foul,made,,,,
Chris Wilcox,Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,8:32,SEA,shot,,,,,,,,,,Earl Watson,,,,missed,,running jump,25,13
Chris Wilcox,Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,8:30,DET,rebound,,,,,,,,,,Antonio McDyess,,,,,,def,,
Chris Wilcox,Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,8:23,DET,turnover,,,,,,,,,,Chauncey Billups,,,lost ball,,Jeff Green,,,
Chris Wilcox,Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,8:18,SEA,shot,,,,,,,,,,Jeff Green,2,,,made,,driving layup,25,6
Chris Wilcox,Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,7:59,DET,shot,,,,,,,,,,Rasheed Wallace,,,,missed,,turnaround jump,10,11
Chris Wilcox,Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,7:57,SEA,rebound,,,,,,,,,,Kevin Durant,,,,,,def,,
