a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Jefferson,Kirk Snyder,Randy Foye,Ryan Gomes,Sebastian Telfair,Beno Udrih,Brad Miller,John Salmons,Kevin Martin,Mikki Moore,1,12:00,OFF,jump ball,,Al Jefferson,,,Brad Miller,,,,,,,Beno Udrih,,,,,,
Al Jefferson,Kirk Snyder,Randy Foye,Ryan Gomes,Sebastian Telfair,Beno Udrih,Brad Miller,John Salmons,Kevin Martin,Mikki Moore,1,11:46,SAC,shot,,,Al Jefferson,,,,,,,Kevin Martin,,,,missed,,jump,27,12
Al Jefferson,Kirk Snyder,Randy Foye,Ryan Gomes,Sebastian Telfair,Beno Udrih,Brad Miller,John Salmons,Kevin Martin,Mikki Moore,1,11:43,MIN,rebound,,,,,,,,,,Randy Foye,,,,,,def,,
Al Jefferson,Kirk Snyder,Randy Foye,Ryan Gomes,Sebastian Telfair,Beno Udrih,Brad Miller,John Salmons,Kevin Martin,Mikki Moore,1,11:30,MIN,shot,Sebastian Telfair,,,,,,,,,Kirk Snyder,2,,,made,,layup,25,6
Al Jefferson,Kirk Snyder,Randy Foye,Ryan Gomes,Sebastian Telfair,Beno Udrih,Brad Miller,John Salmons,Kevin Martin,Mikki Moore,1,11:14,SAC,shot,,,,,,,,,,Beno Udrih,,,,missed,,layup,25,6
Al Jefferson,Kirk Snyder,Randy Foye,Ryan Gomes,Sebastian Telfair,Beno Udrih,Brad Miller,John Salmons,Kevin Martin,Mikki Moore,1,11:13,MIN,rebound,,,,,,,,,,Al Jefferson,,,,,,def,,
Al Jefferson,Kirk Snyder,Randy Foye,Ryan Gomes,Sebastian Telfair,Beno Udrih,Brad Miller,John Salmons,Kevin Martin,Mikki Moore,1,10:58,MIN,shot,,,,,,,,,,Randy Foye,,,,missed,,3pt,37,28
Al Jefferson,Kirk Snyder,Randy Foye,Ryan Gomes,Sebastian Telfair,Beno Udrih,Brad Miller,John Salmons,Kevin Martin,Mikki Moore,1,10:57,SAC,rebound,,,,,,,,,,Mikki Moore,,,,,,def,,
Al Jefferson,Kirk Snyder,Randy Foye,Ryan Gomes,Sebastian Telfair,Beno Udrih,Brad Miller,John Salmons,Kevin Martin,Mikki Moore,1,10:47,SAC,shot,Beno Udrih,,,,,,,,,Mikki Moore,2,,,made,,layup,25,6
Al Jefferson,Kirk Snyder,Randy Foye,Ryan Gomes,Sebastian Telfair,Beno Udrih,Brad Miller,John Salmons,Kevin Martin,Mikki Moore,1,10:25,MIN,turnover,,,,,,,,,,Sebastian Telfair,,,bad pass,,Brad Miller,,,
Al Jefferson,Kirk Snyder,Randy Foye,Ryan Gomes,Sebastian Telfair,Beno Udrih,Brad Miller,John Salmons,Kevin Martin,Mikki Moore,1,10:18,SAC,shot,Beno Udrih,,,,,,,,,John Salmons,2,,,made,,layup,25,6
