a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andrew Bogut,Charlie Villanueva,Desmond Mason,Michael Redd,Royal Ivey,Antawn Jamison,Antonio Daniels,Brendan Haywood,Darius Songaila,DeShawn Stevenson,1,12:00,OFF,jump ball,,Andrew Bogut,,,Brendan Haywood,,,,,,,Antonio Daniels,,,,,,
Andrew Bogut,Charlie Villanueva,Desmond Mason,Michael Redd,Royal Ivey,Antawn Jamison,Antonio Daniels,Brendan Haywood,Darius Songaila,DeShawn Stevenson,1,11:46,WAS,shot,,,Andrew Bogut,,,,,,,Darius Songaila,,,,missed,,layup,23,7
Andrew Bogut,Charlie Villanueva,Desmond Mason,Michael Redd,Royal Ivey,Antawn Jamison,Antonio Daniels,Brendan Haywood,Darius Songaila,DeShawn Stevenson,1,11:45,WAS,rebound,,,,,,,,,,Brendan Haywood,,,,,,off,,
Andrew Bogut,Charlie Villanueva,Desmond Mason,Michael Redd,Royal Ivey,Antawn Jamison,Antonio Daniels,Brendan Haywood,Darius Songaila,DeShawn Stevenson,1,11:45,MIL,foul,,,,,,,,Brendan Haywood,,Charlie Villanueva,,,,,,personal,,
Andrew Bogut,Charlie Villanueva,Desmond Mason,Michael Redd,Royal Ivey,Antawn Jamison,Antonio Daniels,Brendan Haywood,Darius Songaila,DeShawn Stevenson,1,11:35,WAS,shot,,,,,,,,,,Brendan Haywood,,,,missed,,jump,19,7
Andrew Bogut,Charlie Villanueva,Desmond Mason,Michael Redd,Royal Ivey,Antawn Jamison,Antonio Daniels,Brendan Haywood,Darius Songaila,DeShawn Stevenson,1,11:34,MIL,rebound,,,,,,,,,,Charlie Villanueva,,,,,,def,,
Andrew Bogut,Charlie Villanueva,Desmond Mason,Michael Redd,Royal Ivey,Antawn Jamison,Antonio Daniels,Brendan Haywood,Darius Songaila,DeShawn Stevenson,1,11:14,MIL,shot,,,,,,,,,,Andrew Bogut,2,,,made,,finger roll layup,26,5
Andrew Bogut,Charlie Villanueva,Desmond Mason,Michael Redd,Royal Ivey,Antawn Jamison,Antonio Daniels,Brendan Haywood,Darius Songaila,DeShawn Stevenson,1,10:57,WAS,turnover,,,,,,,,,,Darius Songaila,,,out of bounds lost ball turnover,,,,,
Andrew Bogut,Charlie Villanueva,Desmond Mason,Michael Redd,Royal Ivey,Antawn Jamison,Antonio Daniels,Brendan Haywood,Darius Songaila,DeShawn Stevenson,1,10:45,MIL,shot,,,,,,,,,,Andrew Bogut,,,,missed,,jump,24,9
Andrew Bogut,Charlie Villanueva,Desmond Mason,Michael Redd,Royal Ivey,Antawn Jamison,Antonio Daniels,Brendan Haywood,Darius Songaila,DeShawn Stevenson,1,10:45,WAS,rebound,,,,,,,,,,,,,,,,,,
Andrew Bogut,Charlie Villanueva,Desmond Mason,Michael Redd,Royal Ivey,Antawn Jamison,Antonio Daniels,Brendan Haywood,Darius Songaila,DeShawn Stevenson,1,10:34,WAS,shot,Darius Songaila,,,,,,,,,Antawn Jamison,2,,,made,,floating jump,24,10
Andrew Bogut,Charlie Villanueva,Desmond Mason,Michael Redd,Royal Ivey,Antawn Jamison,Antonio Daniels,Brendan Haywood,Darius Songaila,DeShawn Stevenson,1,10:12,MIL,shot,Michael Redd,,,,,,,,,Desmond Mason,2,,,made,,driving finger roll layup,25,7
Andrew Bogut,Charlie Villanueva,Desmond Mason,Michael Redd,Royal Ivey,Antawn Jamison,Antonio Daniels,Brendan Haywood,Darius Songaila,DeShawn Stevenson,1,9:55,WAS,shot,Antonio Daniels,,,,,,,,,Antawn Jamison,2,,,made,,jump,30,26
Andrew Bogut,Charlie Villanueva,Desmond Mason,Michael Redd,Royal Ivey,Antawn Jamison,Antonio Daniels,Brendan Haywood,Darius Songaila,DeShawn Stevenson,1,9:39,MIL,turnover,,,,,,,,,,Michael Redd,,,bad pass,,,,,
Andrew Bogut,Charlie Villanueva,Desmond Mason,Michael Redd,Royal Ivey,Antawn Jamison,Antonio Daniels,Brendan Haywood,Darius Songaila,DeShawn Stevenson,1,9:16,WAS,shot,,,,,,,,,,Brendan Haywood,,,,missed,,layup,26,6
Andrew Bogut,Charlie Villanueva,Desmond Mason,Michael Redd,Royal Ivey,Antawn Jamison,Antonio Daniels,Brendan Haywood,Darius Songaila,DeShawn Stevenson,1,9:14,MIL,rebound,,,,,,,,,,Desmond Mason,,,,,,def,,
Andrew Bogut,Charlie Villanueva,Desmond Mason,Michael Redd,Royal Ivey,Antawn Jamison,Antonio Daniels,Brendan Haywood,Darius Songaila,DeShawn Stevenson,1,9:06,MIL,shot,,,Darius Songaila,,,,,,,Michael Redd,,,,missed,,jump,20,7
Andrew Bogut,Charlie Villanueva,Desmond Mason,Michael Redd,Royal Ivey,Antawn Jamison,Antonio Daniels,Brendan Haywood,Darius Songaila,DeShawn Stevenson,1,9:04,WAS,rebound,,,,,,,,,,DeShawn Stevenson,,,,,,def,,
Andrew Bogut,Charlie Villanueva,Desmond Mason,Michael Redd,Royal Ivey,Antawn Jamison,Antonio Daniels,Brendan Haywood,Darius Songaila,DeShawn Stevenson,1,9:01,WAS,shot,DeShawn Stevenson,,,,,,,,,Brendan Haywood,2,,,made,,dunk,25,7
Andrew Bogut,Charlie Villanueva,Desmond Mason,Michael Redd,Royal Ivey,Antawn Jamison,Antonio Daniels,Brendan Haywood,Darius Songaila,DeShawn Stevenson,1,8:47,MIL,turnover,,,,,,,,,,Michael Redd,,,bad pass,,,,,
Andrew Bogut,Charlie Villanueva,Desmond Mason,Michael Redd,Royal Ivey,Antawn Jamison,Antonio Daniels,Brendan Haywood,Darius Songaila,DeShawn Stevenson,1,8:34,WAS,shot,,,,,,,,,,Antonio Daniels,,,,missed,,layup,26,7
Andrew Bogut,Charlie Villanueva,Desmond Mason,Michael Redd,Royal Ivey,Antawn Jamison,Antonio Daniels,Brendan Haywood,Darius Songaila,DeShawn Stevenson,1,8:33,WAS,rebound,,,,,,,,,,Antawn Jamison,,,,,,off,,
Andrew Bogut,Charlie Villanueva,Desmond Mason,Michael Redd,Royal Ivey,Antawn Jamison,Antonio Daniels,Brendan Haywood,Darius Songaila,DeShawn Stevenson,1,8:31,WAS,shot,,,,,,,,,,Antawn Jamison,,,,missed,,jump,25,10
Andrew Bogut,Charlie Villanueva,Desmond Mason,Michael Redd,Royal Ivey,Antawn Jamison,Antonio Daniels,Brendan Haywood,Darius Songaila,DeShawn Stevenson,1,8:29,MIL,rebound,,,,,,,,,,Desmond Mason,,,,,,def,,
Andrew Bogut,Charlie Villanueva,Desmond Mason,Michael Redd,Royal Ivey,Antawn Jamison,Antonio Daniels,Brendan Haywood,Darius Songaila,DeShawn Stevenson,1,8:24,MIL,shot,Desmond Mason,,,,,,,,,Royal Ivey,2,,,made,,jump,2,8
Andrew Bogut,Charlie Villanueva,Desmond Mason,Michael Redd,Royal Ivey,Antawn Jamison,Antonio Daniels,Brendan Haywood,Darius Songaila,DeShawn Stevenson,1,8:18,WAS,timeout,,,,,,,,,,,,,,,,short,,
Andrew Bogut,Charlie Villanueva,Desmond Mason,Michael Redd,Royal Ivey,Andray Blatche,Antawn Jamison,Antonio Daniels,Darius Songaila,DeShawn Stevenson,1,8:18,WAS,sub,,,,Andray Blatche,,Brendan Haywood,,,,,,,,,,,,
Andrew Bogut,Charlie Villanueva,Desmond Mason,Michael Redd,Royal Ivey,Andray Blatche,Antawn Jamison,Antonio Daniels,Darius Songaila,DeShawn Stevenson,1,8:12,WAS,shot,Darius Songaila,,,,,,,,,Andray Blatche,2,,,made,,slam dunk,25,7
Andrew Bogut,Charlie Villanueva,Desmond Mason,Michael Redd,Royal Ivey,Andray Blatche,Antawn Jamison,Antonio Daniels,Darius Songaila,DeShawn Stevenson,1,7:58,MIL,shot,,,,,,,,,,Desmond Mason,,,,missed,,jump,35,21
