a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Al Jefferson,Kirk Snyder,Marko Jaric,Randy Foye,Ryan Gomes,1,12:00,OFF,jump ball,,Joel Przybilla,,,Al Jefferson,,,,,,,Steve Blake,,,,,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Al Jefferson,Kirk Snyder,Marko Jaric,Randy Foye,Ryan Gomes,1,11:39,POR,turnover,,,,,,,,,,Steve Blake,,,bad pass,,Marko Jaric,,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Al Jefferson,Kirk Snyder,Marko Jaric,Randy Foye,Ryan Gomes,1,11:25,MIN,shot,,,,,,,,,,Marko Jaric,,,,missed,,driving layup,25,6
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Al Jefferson,Kirk Snyder,Marko Jaric,Randy Foye,Ryan Gomes,1,11:24,POR,rebound,,,,,,,,,,Joel Przybilla,,,,,,def,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Al Jefferson,Kirk Snyder,Marko Jaric,Randy Foye,Ryan Gomes,1,11:16,POR,shot,,,,,,,,,,Martell Webster,,,,missed,,3pt,13,28
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Al Jefferson,Kirk Snyder,Marko Jaric,Randy Foye,Ryan Gomes,1,11:15,MIN,rebound,,,,,,,,,,Randy Foye,,,,,,def,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Al Jefferson,Kirk Snyder,Marko Jaric,Randy Foye,Ryan Gomes,1,11:00,MIN,shot,,,,,,,,,,Ryan Gomes,,,,missed,,jump,43,12
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Al Jefferson,Kirk Snyder,Marko Jaric,Randy Foye,Ryan Gomes,1,10:59,POR,rebound,,,,,,,,,,Martell Webster,,,,,,def,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Al Jefferson,Kirk Snyder,Marko Jaric,Randy Foye,Ryan Gomes,1,10:45,POR,shot,Martell Webster,,,,,,,,,Brandon Roy,2,,,made,,driving layup,25,6
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Al Jefferson,Kirk Snyder,Marko Jaric,Randy Foye,Ryan Gomes,1,10:30,MIN,shot,Kirk Snyder,,,,,,,,,Marko Jaric,2,,,made,,jump,24,27
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Al Jefferson,Kirk Snyder,Marko Jaric,Randy Foye,Ryan Gomes,1,10:05,POR,shot,Brandon Roy,,,,,,,,,LaMarcus Aldridge,2,,,made,,jump,42,12
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Al Jefferson,Kirk Snyder,Marko Jaric,Randy Foye,Ryan Gomes,1,9:43,MIN,shot,Randy Foye,,,,,,,,,Ryan Gomes,2,,,made,,jump,16,20
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Al Jefferson,Kirk Snyder,Marko Jaric,Randy Foye,Ryan Gomes,1,9:27,POR,shot,Martell Webster,,,,,,,,,Brandon Roy,2,,,made,,jump,27,22
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Al Jefferson,Kirk Snyder,Marko Jaric,Randy Foye,Ryan Gomes,1,9:09,MIN,shot,,,,,,,,,,Kirk Snyder,2,,,made,,jump,30,18
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Al Jefferson,Kirk Snyder,Marko Jaric,Randy Foye,Ryan Gomes,1,8:55,POR,shot,,,,,,,,,,LaMarcus Aldridge,2,,,made,,jump hook,21,11
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Al Jefferson,Kirk Snyder,Marko Jaric,Randy Foye,Ryan Gomes,1,8:36,MIN,turnover,,,,,,,,,,Ryan Gomes,,,3 second violation,,,,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Al Jefferson,Kirk Snyder,Marko Jaric,Randy Foye,Ryan Gomes,1,8:17,POR,shot,Brandon Roy,,,,,,,,,Martell Webster,2,,,made,,jump,38,10
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Al Jefferson,Kirk Snyder,Marko Jaric,Randy Foye,Ryan Gomes,1,7:54,MIN,shot,Marko Jaric,,,,,,,,,Ryan Gomes,2,,,made,,jump bank,25,13
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Al Jefferson,Kirk Snyder,Marko Jaric,Randy Foye,Ryan Gomes,1,7:40,POR,shot,,,,,,,,,,LaMarcus Aldridge,,,,missed,,driving finger roll layup,25,6
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Al Jefferson,Kirk Snyder,Marko Jaric,Randy Foye,Ryan Gomes,1,7:38,MIN,rebound,,,,,,,,,,Al Jefferson,,,,,,def,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Al Jefferson,Kirk Snyder,Marko Jaric,Randy Foye,Ryan Gomes,1,7:17,MIN,shot,,,,,,,,,,Marko Jaric,2,,,made,,running jump,24,12
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Al Jefferson,Kirk Snyder,Marko Jaric,Randy Foye,Ryan Gomes,1,6:52,POR,shot,,,,,,,,,,Steve Blake,2,,,made,,driving finger roll layup,25,6
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Al Jefferson,Kirk Snyder,Marko Jaric,Randy Foye,Ryan Gomes,1,6:37,MIN,shot,,,Brandon Roy,,,,,,,Kirk Snyder,,,,missed,,driving layup,25,6
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Al Jefferson,Kirk Snyder,Marko Jaric,Randy Foye,Ryan Gomes,1,6:36,POR,rebound,,,,,,,,,,Martell Webster,,,,,,def,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Al Jefferson,Kirk Snyder,Marko Jaric,Randy Foye,Ryan Gomes,1,6:28,POR,turnover,,,,,,,,,,LaMarcus Aldridge,,,bad pass,,Marko Jaric,,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Al Jefferson,Kirk Snyder,Marko Jaric,Randy Foye,Ryan Gomes,1,6:23,MIN,turnover,,,,,,,,,,Kirk Snyder,,,lost ball,,Martell Webster,,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Al Jefferson,Kirk Snyder,Marko Jaric,Randy Foye,Ryan Gomes,1,6:18,POR,shot,Martell Webster,,,,,,,,,Steve Blake,2,,,made,,driving jump,25,6
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Al Jefferson,Kirk Snyder,Marko Jaric,Randy Foye,Ryan Gomes,1,5:57,MIN,shot,,,,,,,,,,Al Jefferson,,,,missed,,layup,25,6
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Al Jefferson,Kirk Snyder,Marko Jaric,Randy Foye,Ryan Gomes,1,5:55,MIN,rebound,,,,,,,,,,Randy Foye,,,,,,off,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Al Jefferson,Kirk Snyder,Marko Jaric,Randy Foye,Ryan Gomes,1,5:52,MIN,shot,Randy Foye,,,,,,,,,Marko Jaric,3,,,made,,3pt,43,22
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Al Jefferson,Kirk Snyder,Marko Jaric,Randy Foye,Ryan Gomes,1,5:34,POR,turnover,,,,,,,,,,Brandon Roy,,,bad pass,,Ryan Gomes,,,
