a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,12:00,OFF,jump ball,,Johan Petro,,,Mehmet Okur,,,,,,,Seattle,,,,,,
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,11:47,SEA,shot,,,,,,,,,,Johan Petro,,,,missed,,jump,24,19
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,11:46,UTA,rebound,,,,,,,,,,Ronnie Brewer,,,,,,def,,
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,11:35,UTA,shot,,,,,,,,,,Carlos Boozer,,,,missed,,jump,38,12
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,11:33,SEA,rebound,,,,,,,,,,Nick Collison,,,,,,def,,
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,11:24,SEA,turnover,,,,,,,,,,Kevin Durant,,,bad pass,,Andrei Kirilenko,,,
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,11:19,UTA,shot,Andrei Kirilenko,,,,,,,,,Ronnie Brewer,2,,,made,,layup,25,6
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,10:55,SEA,shot,,,,,,,,,,Jeff Green,,,,missed,,jump,34,14
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,10:54,SEA,rebound,,,,,,,,,,Nick Collison,,,,,,off,,
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,10:50,SEA,shot,Earl Watson,,,,,,,,,Nick Collison,2,,,made,,jump,7,7
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,10:38,SEA,foul,,,,,,,,Deron Williams,,Earl Watson,,,,,,personal,,
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,10:27,UTA,turnover,,,,,,,,,,Mehmet Okur,,,bad pass,,Kevin Durant,,,
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,10:24,SEA,turnover,,,,,,,,,,Earl Watson,,,traveling,,,,,
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,10:02,UTA,shot,,,,,,,,,,Mehmet Okur,,,,missed,,3pt,40,25
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,10:01,SEA,rebound,,,,,,,,,,Nick Collison,,,,,,def,,
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,9:51,SEA,shot,,,,,,,,,,Earl Watson,2,,,made,,jump,10,15
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,9:38,SEA,foul,,,,,,,,Andrei Kirilenko,,Jeff Green,,,,,,shooting,,
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,9:38,UTA,free throw,,,,,,,1,,2,Andrei Kirilenko,,,foul,made,,,,
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,9:38,UTA,free throw,,,,,,,2,,2,Andrei Kirilenko,,,foul,made,,,,
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,9:30,SEA,shot,,,,,,,,,,Kevin Durant,2,,,made,,jump,18,18
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,9:14,UTA,shot,,,,,,,,,,Mehmet Okur,,,,missed,,jump,11,24
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,9:12,UTA,rebound,,,,,,,,,,Carlos Boozer,,,,,,off,,
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,9:03,SEA,foul,,,,,,,,Deron Williams,,Johan Petro,,,,,,shooting,,
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,9:03,UTA,free throw,,,,,,,1,,2,Deron Williams,,,foul,missed,,,,
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,9:03,UTA,rebound,,,,,,,,,,,,,,,,,,
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,9:03,UTA,free throw,,,,,,,2,,2,Deron Williams,,,foul,made,,,,
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,8:50,SEA,shot,,,,,,,,,,Jeff Green,2,,,made,,jump hook,32,7
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,8:37,UTA,shot,,,,,,,,,,Carlos Boozer,2,,,made,,jump hook,25,8
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,8:29,UTA,foul,,,,,,,,Jeff Green,,Ronnie Brewer,,,,,,personal,,
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,8:23,SEA,shot,,,,,,,,,,Earl Watson,,,,missed,,jump,10,22
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,8:20,UTA,rebound,,,,,,,,,,Carlos Boozer,,,,,,def,,
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,8:11,UTA,shot,,,,,,,,,,Ronnie Brewer,,,,missed,,layup,25,6
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,8:09,UTA,shot,,,,,,,,,,Mehmet Okur,,,,missed,,tip,25,6
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,8:09,UTA,rebound,,,,,,,,,,Mehmet Okur,,,,,,off,,
