a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Johan Petro,Kevin Durant,Luke Ridnour,Nick Collison,1,12:00,OFF,jump ball,,Joel Przybilla,,,Johan Petro,,,,,,,Nick Collison,,,,,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Johan Petro,Kevin Durant,Luke Ridnour,Nick Collison,1,11:38,SEA,shot,Kevin Durant,,,,,,,,,Nick Collison,2,,,made,,jump,39,10
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Johan Petro,Kevin Durant,Luke Ridnour,Nick Collison,1,11:16,POR,shot,Steve Blake,,,,,,,,,Martell Webster,2,,,made,,jump,45,8
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Johan Petro,Kevin Durant,Luke Ridnour,Nick Collison,1,10:52,SEA,shot,,,,,,,,,,Jeff Green,2,,,made,,jump,39,14
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Johan Petro,Kevin Durant,Luke Ridnour,Nick Collison,1,10:37,POR,shot,Martell Webster,,,,,,,,,LaMarcus Aldridge,2,,,made,,jump,10,12
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Johan Petro,Kevin Durant,Luke Ridnour,Nick Collison,1,10:21,SEA,shot,,,,,,,,,,Kevin Durant,2,,,made,,jump,12,13
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Johan Petro,Kevin Durant,Luke Ridnour,Nick Collison,1,10:07,POR,shot,LaMarcus Aldridge,,,,,,,,,Martell Webster,3,,,made,,3pt,23,32
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Johan Petro,Kevin Durant,Luke Ridnour,Nick Collison,1,10:07,SEA,foul,,,,,,,,Martell Webster,,Luke Ridnour,,,,,,shooting,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Johan Petro,Kevin Durant,Luke Ridnour,Nick Collison,1,10:07,POR,free throw,,,,,,,1,,1,Martell Webster,,,foul,made,,,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Johan Petro,Kevin Durant,Luke Ridnour,Nick Collison,1,9:55,SEA,shot,,,,,,,,,,Johan Petro,,,,missed,,jump,40,8
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Johan Petro,Kevin Durant,Luke Ridnour,Nick Collison,1,9:54,POR,rebound,,,,,,,,,,Joel Przybilla,,,,,,def,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Johan Petro,Kevin Durant,Luke Ridnour,Nick Collison,1,9:40,POR,shot,,,,,,,,,,LaMarcus Aldridge,,,,missed,,jump,19,12
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Johan Petro,Kevin Durant,Luke Ridnour,Nick Collison,1,9:39,SEA,rebound,,,,,,,,,,Kevin Durant,,,,,,def,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Johan Petro,Kevin Durant,Luke Ridnour,Nick Collison,1,9:31,SEA,shot,,,,,,,,,,Johan Petro,,,,missed,,dunk,25,6
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Johan Petro,Kevin Durant,Luke Ridnour,Nick Collison,1,9:29,POR,rebound,,,,,,,,,,Brandon Roy,,,,,,def,,
Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Johan Petro,Kevin Durant,Luke Ridnour,Nick Collison,1,9:10,POR,shot,Steve Blake,,,,,,,,,Martell Webster,3,,,made,,3pt,48,7
