a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Corey Maggette,Cuttino Mobley,Josh Powell,Smush Parker,Tim Thomas,Erick Dampier,Jason Kidd,Jerry Stackhouse,Josh Howard,Malik Allen,1,12:00,OFF,jump ball,,Josh Powell,,,Erick Dampier,,,,,,,Smush Parker,,,,,,
Corey Maggette,Cuttino Mobley,Josh Powell,Smush Parker,Tim Thomas,Erick Dampier,Jason Kidd,Jerry Stackhouse,Josh Howard,Malik Allen,1,11:43,DAL,foul,,,,,,,,Tim Thomas,,Malik Allen,,,,,,shooting,,
Corey Maggette,Cuttino Mobley,Josh Powell,Smush Parker,Tim Thomas,Erick Dampier,Jason Kidd,Jerry Stackhouse,Josh Howard,Malik Allen,1,11:43,LAC,free throw,,,,,,,1,,2,Tim Thomas,,,foul,made,,,,
Corey Maggette,Cuttino Mobley,Josh Powell,Smush Parker,Tim Thomas,Erick Dampier,Jason Kidd,Jerry Stackhouse,Josh Howard,Malik Allen,1,11:43,LAC,free throw,,,,,,,2,,2,Tim Thomas,,,foul,made,,,,
Corey Maggette,Cuttino Mobley,Josh Powell,Smush Parker,Tim Thomas,Erick Dampier,Jason Kidd,Jerry Stackhouse,Josh Howard,Malik Allen,1,11:30,DAL,shot,,,,,,,,,,Jerry Stackhouse,,,,missed,,jump,25,24
Corey Maggette,Cuttino Mobley,Josh Powell,Smush Parker,Tim Thomas,Erick Dampier,Jason Kidd,Jerry Stackhouse,Josh Howard,Malik Allen,1,11:29,DAL,rebound,,,,,,,,,,Erick Dampier,,,,,,off,,
Corey Maggette,Cuttino Mobley,Josh Powell,Smush Parker,Tim Thomas,Erick Dampier,Jason Kidd,Jerry Stackhouse,Josh Howard,Malik Allen,1,11:18,DAL,shot,Jerry Stackhouse,,,,,,,,,Malik Allen,2,,,made,,jump,32,23
Corey Maggette,Cuttino Mobley,Josh Powell,Smush Parker,Tim Thomas,Erick Dampier,Jason Kidd,Jerry Stackhouse,Josh Howard,Malik Allen,1,11:00,LAC,shot,,,,,,,,,,Smush Parker,,,,missed,,3pt,18,30
Corey Maggette,Cuttino Mobley,Josh Powell,Smush Parker,Tim Thomas,Erick Dampier,Jason Kidd,Jerry Stackhouse,Josh Howard,Malik Allen,1,10:57,DAL,rebound,,,,,,,,,,Erick Dampier,,,,,,def,,
Corey Maggette,Cuttino Mobley,Josh Powell,Smush Parker,Tim Thomas,Erick Dampier,Jason Kidd,Jerry Stackhouse,Josh Howard,Malik Allen,1,10:40,DAL,shot,,,,,,,,,,Erick Dampier,,,,missed,,driving hook,23,10
Corey Maggette,Cuttino Mobley,Josh Powell,Smush Parker,Tim Thomas,Erick Dampier,Jason Kidd,Jerry Stackhouse,Josh Howard,Malik Allen,1,10:39,DAL,rebound,,,,,,,,,,Erick Dampier,,,,,,off,,
Corey Maggette,Cuttino Mobley,Josh Powell,Smush Parker,Tim Thomas,Erick Dampier,Jason Kidd,Jerry Stackhouse,Josh Howard,Malik Allen,1,10:38,DAL,shot,,,,,,,,,,Erick Dampier,2,,,made,,putback dunk,25,6
Corey Maggette,Cuttino Mobley,Josh Powell,Smush Parker,Tim Thomas,Erick Dampier,Jason Kidd,Jerry Stackhouse,Josh Howard,Malik Allen,1,10:22,LAC,shot,,,,,,,,,,Corey Maggette,,,,missed,,3pt,1,7
Corey Maggette,Cuttino Mobley,Josh Powell,Smush Parker,Tim Thomas,Erick Dampier,Jason Kidd,Jerry Stackhouse,Josh Howard,Malik Allen,1,10:21,DAL,rebound,,,,,,,,,,Jason Kidd,,,,,,def,,
Corey Maggette,Cuttino Mobley,Josh Powell,Smush Parker,Tim Thomas,Erick Dampier,Jason Kidd,Jerry Stackhouse,Josh Howard,Malik Allen,1,10:14,DAL,shot,,,,,,,,,,Josh Howard,2,,,made,,driving layup,25,6
Corey Maggette,Cuttino Mobley,Josh Powell,Smush Parker,Tim Thomas,Erick Dampier,Jason Kidd,Jerry Stackhouse,Josh Howard,Malik Allen,1,10:14,LAC,foul,,,,,,,,Josh Howard,,Josh Powell,,,,,,shooting,,
Corey Maggette,Cuttino Mobley,Josh Powell,Smush Parker,Tim Thomas,Erick Dampier,Jason Kidd,Jerry Stackhouse,Josh Howard,Malik Allen,1,10:14,DAL,free throw,,,,,,,1,,1,Josh Howard,,,foul,made,,,,
Corey Maggette,Cuttino Mobley,Josh Powell,Smush Parker,Tim Thomas,Erick Dampier,Jason Kidd,Jerry Stackhouse,Josh Howard,Malik Allen,1,10:04,LAC,turnover,,,,,,,,,,Corey Maggette,,,lost ball,,Malik Allen,,,
Corey Maggette,Cuttino Mobley,Josh Powell,Smush Parker,Tim Thomas,Erick Dampier,Jason Kidd,Jerry Stackhouse,Josh Howard,Malik Allen,1,10:00,DAL,shot,Jason Kidd,,,,,,,,,Jerry Stackhouse,2,,,made,,running layup,25,6
Corey Maggette,Cuttino Mobley,Josh Powell,Smush Parker,Tim Thomas,Erick Dampier,Jason Kidd,Jerry Stackhouse,Josh Howard,Malik Allen,1,9:39,DAL,foul,,,,,,,,Josh Powell,,Malik Allen,,,,,,shooting,,
Corey Maggette,Cuttino Mobley,Josh Powell,Smush Parker,Tim Thomas,Erick Dampier,Jason Kidd,Jerry Stackhouse,Josh Howard,Malik Allen,1,9:39,LAC,free throw,,,,,,,1,,2,Josh Powell,,,foul,made,,,,
Corey Maggette,Cuttino Mobley,Josh Powell,Smush Parker,Tim Thomas,Erick Dampier,Jason Kidd,Jason Terry,Jerry Stackhouse,Josh Howard,1,9:39,DAL,sub,,,,Jason Terry,,Malik Allen,,,,,,,,,,,,
Corey Maggette,Cuttino Mobley,Josh Powell,Smush Parker,Tim Thomas,Erick Dampier,Jason Kidd,Jason Terry,Jerry Stackhouse,Josh Howard,1,9:39,LAC,free throw,,,,,,,2,,2,Josh Powell,,,foul,made,,,,
Corey Maggette,Cuttino Mobley,Josh Powell,Smush Parker,Tim Thomas,Erick Dampier,Jason Kidd,Jason Terry,Jerry Stackhouse,Josh Howard,1,9:29,DAL,shot,Josh Howard,,,,,,,,,Erick Dampier,2,,,made,,driving reverse layup,25,6
Corey Maggette,Cuttino Mobley,Josh Powell,Smush Parker,Tim Thomas,Erick Dampier,Jason Kidd,Jason Terry,Jerry Stackhouse,Josh Howard,1,9:17,LAC,shot,Corey Maggette,,,,,,,,,Josh Powell,2,,,made,,jump,37,7
Corey Maggette,Cuttino Mobley,Josh Powell,Smush Parker,Tim Thomas,Erick Dampier,Jason Kidd,Jason Terry,Jerry Stackhouse,Josh Howard,1,9:09,DAL,shot,,,,,,,,,,Jason Kidd,,,,missed,,jump,7,19
Corey Maggette,Cuttino Mobley,Josh Powell,Smush Parker,Tim Thomas,Erick Dampier,Jason Kidd,Jason Terry,Jerry Stackhouse,Josh Howard,1,9:07,LAC,rebound,,,,,,,,,,Smush Parker,,,,,,def,,
Corey Maggette,Cuttino Mobley,Josh Powell,Smush Parker,Tim Thomas,Erick Dampier,Jason Kidd,Jason Terry,Jerry Stackhouse,Josh Howard,1,8:54,LAC,shot,,,,,,,,,,Tim Thomas,,,,missed,,jump,21,15
Corey Maggette,Cuttino Mobley,Josh Powell,Smush Parker,Tim Thomas,Erick Dampier,Jason Kidd,Jason Terry,Jerry Stackhouse,Josh Howard,1,8:53,DAL,rebound,,,,,,,,,,Erick Dampier,,,,,,def,,
