a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,1,12:00,OFF,jump ball,,Tim Duncan,,,Dwight Howard,,,,,,,Fabricio Oberto,,,,,,
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,1,11:39,SAS,shot,Tim Duncan,,,,,,,,,Michael Finley,2,,,made,,jump hook,28,9
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,1,11:19,ORL,shot,Maurice Evans,,,,,,,,,Dwight Howard,2,,,made,,hook,19,10
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,1,11:04,SAS,shot,Tony Parker,,,,,,,,,Tim Duncan,2,,,made,,layup,25,6
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,1,10:50,ORL,shot,,,,,,,,,,Dwight Howard,2,,,made,,layup,25,6
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,1,10:31,SAS,shot,,,,,,,,,,Bruce Bowen,,,,missed,,jump,13,24
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,1,10:30,ORL,rebound,,,,,,,,,,Rashard Lewis,,,,,,def,,
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,1,10:22,SAS,foul,,,,,,,,Rashard Lewis,,Fabricio Oberto,,,,,,shooting,,
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,1,10:22,ORL,free throw,,,,,,,1,,2,Rashard Lewis,,,foul,missed,,,,
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,1,10:22,ORL,rebound,,,,,,,,,,,,,,,,,,
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,1,10:22,ORL,free throw,,,,,,,2,,2,Rashard Lewis,,,foul,made,,,,
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,1,10:08,SAS,shot,Tony Parker,,,,,,,,,Michael Finley,2,,,made,,jump,44,8
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,1,9:50,SAS,foul,,,,,,,,Rashard Lewis,,Tim Duncan,,,,,,shooting,,
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,1,9:50,ORL,free throw,,,,,,,1,,2,Rashard Lewis,,,foul,made,,,,
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,1,9:50,ORL,free throw,,,,,,,2,,2,Rashard Lewis,,,foul,made,,,,
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,1,9:34,SAS,shot,,,,,,,,,,Tony Parker,2,,,made,,jump,42,14
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,1,9:22,ORL,shot,,,,,,,,,,Jameer Nelson,2,,,made,,fade away jumper,38,8
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,1,9:04,SAS,shot,Tony Parker,,,,,,,,,Tim Duncan,2,,,made,,jump,16,20
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,1,8:46,ORL,shot,,,,,,,,,,Dwight Howard,,,,missed,,layup,25,6
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,1,8:45,SAS,rebound,,,,,,,,,,Tim Duncan,,,,,,def,,
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,1,8:30,ORL,foul,,,,,,,,Tim Duncan,,Dwight Howard,,,,,,personal,,
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,1,8:19,SAS,shot,,,,,,,,,,Tim Duncan,2,,,made,,jump,22,26
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,1,8:01,ORL,shot,,,,,,,,,,Dwight Howard,,,,missed,,jump,37,12
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,1,8:00,SAS,rebound,,,,,,,,,,Tim Duncan,,,,,,def,,
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,1,7:52,SAS,shot,,,,,,,,,,Tony Parker,,,,missed,,running jump,20,11
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,1,7:51,ORL,rebound,,,,,,,,,,Dwight Howard,,,,,,def,,
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,1,7:46,SAS,foul,,,,,,,,Hedo Turkoglu,,Bruce Bowen,,,,,,personal,,
