a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Darko Milicic,Hakim Warrick,Mike Conley,Mike Miller,Rudy Gay,Al Thornton,Brevin Knight,Chris Kaman,Corey Maggette,Cuttino Mobley,1,12:00,OFF,jump ball,,Darko Milicic,,,Chris Kaman,,,,,,,Brevin Knight,,,,,,
Darko Milicic,Hakim Warrick,Mike Conley,Mike Miller,Rudy Gay,Al Thornton,Brevin Knight,Chris Kaman,Corey Maggette,Cuttino Mobley,1,11:43,LAC,shot,Cuttino Mobley,,,,,,,,,Chris Kaman,2,,,made,,layup,25,6
Darko Milicic,Hakim Warrick,Mike Conley,Mike Miller,Rudy Gay,Al Thornton,Brevin Knight,Chris Kaman,Corey Maggette,Cuttino Mobley,1,11:18,MEM,shot,,,,,,,,,,Rudy Gay,,,,missed,,jump,22,18
Darko Milicic,Hakim Warrick,Mike Conley,Mike Miller,Rudy Gay,Al Thornton,Brevin Knight,Chris Kaman,Corey Maggette,Cuttino Mobley,1,11:17,LAC,rebound,,,,,,,,,,Chris Kaman,,,,,,def,,
Darko Milicic,Hakim Warrick,Mike Conley,Mike Miller,Rudy Gay,Al Thornton,Brevin Knight,Chris Kaman,Corey Maggette,Cuttino Mobley,1,11:03,LAC,shot,Corey Maggette,,,,,,,,,Chris Kaman,2,,,made,,layup,25,6
Darko Milicic,Hakim Warrick,Mike Conley,Mike Miller,Rudy Gay,Al Thornton,Brevin Knight,Chris Kaman,Corey Maggette,Cuttino Mobley,1,10:46,MEM,shot,,,,,,,,,,Rudy Gay,,,,missed,,jump,17,20
Darko Milicic,Hakim Warrick,Mike Conley,Mike Miller,Rudy Gay,Al Thornton,Brevin Knight,Chris Kaman,Corey Maggette,Cuttino Mobley,1,10:44,LAC,rebound,,,,,,,,,,Brevin Knight,,,,,,def,,
Darko Milicic,Hakim Warrick,Mike Conley,Mike Miller,Rudy Gay,Al Thornton,Brevin Knight,Chris Kaman,Corey Maggette,Cuttino Mobley,1,10:37,LAC,shot,,,,,,,,,,Al Thornton,,,,missed,,jump,8,7
Darko Milicic,Hakim Warrick,Mike Conley,Mike Miller,Rudy Gay,Al Thornton,Brevin Knight,Chris Kaman,Corey Maggette,Cuttino Mobley,1,10:36,LAC,rebound,,,,,,,,,,Chris Kaman,,,,,,off,,
Darko Milicic,Hakim Warrick,Mike Conley,Mike Miller,Rudy Gay,Al Thornton,Brevin Knight,Chris Kaman,Corey Maggette,Cuttino Mobley,1,10:32,LAC,shot,,,,,,,,,,Chris Kaman,,,,missed,,hook,32,11
Darko Milicic,Hakim Warrick,Mike Conley,Mike Miller,Rudy Gay,Al Thornton,Brevin Knight,Chris Kaman,Corey Maggette,Cuttino Mobley,1,10:30,MEM,rebound,,,,,,,,,,Darko Milicic,,,,,,def,,
Darko Milicic,Hakim Warrick,Mike Conley,Mike Miller,Rudy Gay,Al Thornton,Brevin Knight,Chris Kaman,Corey Maggette,Cuttino Mobley,1,10:21,MEM,turnover,,,,,,,,,,Mike Miller,,,bad pass,,,,,
Darko Milicic,Hakim Warrick,Mike Conley,Mike Miller,Rudy Gay,Al Thornton,Brevin Knight,Chris Kaman,Corey Maggette,Cuttino Mobley,1,10:02,MEM,foul,,,,,,,,Brevin Knight,,Mike Conley,,,,,,shooting,,
Darko Milicic,Hakim Warrick,Mike Conley,Mike Miller,Rudy Gay,Al Thornton,Brevin Knight,Chris Kaman,Corey Maggette,Cuttino Mobley,1,10:02,LAC,free throw,,,,,,,1,,2,Brevin Knight,,,foul,made,,,,
Darko Milicic,Hakim Warrick,Mike Conley,Mike Miller,Rudy Gay,Al Thornton,Brevin Knight,Chris Kaman,Corey Maggette,Cuttino Mobley,1,10:02,LAC,free throw,,,,,,,2,,2,Brevin Knight,,,foul,made,,,,
