a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Anthony Parker,Chris Bosh,Jamario Moon,Rasho Nesterovic,T.J. Ford,Emeka Okafor,Gerald Wallace,Jason Richardson,Nazr Mohammed,Raymond Felton,1,12:00,OFF,jump ball,,Chris Bosh,,,Emeka Okafor,,,,,,,Gerald Wallace,,,,,,
Anthony Parker,Chris Bosh,Jamario Moon,Rasho Nesterovic,T.J. Ford,Emeka Okafor,Gerald Wallace,Jason Richardson,Nazr Mohammed,Raymond Felton,1,11:44,CHA,shot,,,,,,,,,,Emeka Okafor,,,,missed,,jump,16,9
Anthony Parker,Chris Bosh,Jamario Moon,Rasho Nesterovic,T.J. Ford,Emeka Okafor,Gerald Wallace,Jason Richardson,Nazr Mohammed,Raymond Felton,1,11:42,TOR,rebound,,,,,,,,,,Rasho Nesterovic,,,,,,def,,
Anthony Parker,Chris Bosh,Jamario Moon,Rasho Nesterovic,T.J. Ford,Emeka Okafor,Gerald Wallace,Jason Richardson,Nazr Mohammed,Raymond Felton,1,11:37,TOR,shot,,,,,,,,,,Chris Bosh,,,,missed,,reverse layup,25,6
Anthony Parker,Chris Bosh,Jamario Moon,Rasho Nesterovic,T.J. Ford,Emeka Okafor,Gerald Wallace,Jason Richardson,Nazr Mohammed,Raymond Felton,1,11:36,TOR,rebound,,,,,,,,,,,,,,,,,,
Anthony Parker,Chris Bosh,Jamario Moon,Rasho Nesterovic,T.J. Ford,Emeka Okafor,Gerald Wallace,Jason Richardson,Nazr Mohammed,Raymond Felton,1,11:30,TOR,shot,,,,,,,,,,Anthony Parker,2,,,made,,jump,22,23
Anthony Parker,Chris Bosh,Jamario Moon,Rasho Nesterovic,T.J. Ford,Emeka Okafor,Gerald Wallace,Jason Richardson,Nazr Mohammed,Raymond Felton,1,11:14,TOR,foul,,,,,,,,Emeka Okafor,,Rasho Nesterovic,,,,,,personal,,
Anthony Parker,Chris Bosh,Jamario Moon,Rasho Nesterovic,T.J. Ford,Emeka Okafor,Gerald Wallace,Jason Richardson,Nazr Mohammed,Raymond Felton,1,11:03,CHA,shot,Emeka Okafor,,,,,,,,,Raymond Felton,2,,,made,,jump,29,29
Anthony Parker,Chris Bosh,Jamario Moon,Rasho Nesterovic,T.J. Ford,Emeka Okafor,Gerald Wallace,Jason Richardson,Nazr Mohammed,Raymond Felton,1,10:49,TOR,turnover,,,,,,,,,,Anthony Parker,,,bad pass,,Jason Richardson,,,
Anthony Parker,Chris Bosh,Jamario Moon,Rasho Nesterovic,T.J. Ford,Emeka Okafor,Gerald Wallace,Jason Richardson,Nazr Mohammed,Raymond Felton,1,10:39,CHA,shot,,,,,,,,,,Emeka Okafor,,,,missed,,jump,13,9
