a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Jefferson,Corey Brewer,Marko Jaric,Randy Foye,Ryan Gomes,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Price,1,12:00,OFF,jump ball,,Al Jefferson,,,Mehmet Okur,,,,,,,Ryan Gomes,,,,,,
Al Jefferson,Corey Brewer,Marko Jaric,Randy Foye,Ryan Gomes,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Price,1,11:37,MIN,shot,Randy Foye,,,,,,,,,Ryan Gomes,2,,,made,,jump,38,23
Al Jefferson,Corey Brewer,Marko Jaric,Randy Foye,Ryan Gomes,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Price,1,11:15,UTA,shot,Carlos Boozer,,,,,,,,,Andrei Kirilenko,2,,,made,,layup,25,6
Al Jefferson,Corey Brewer,Marko Jaric,Randy Foye,Ryan Gomes,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Price,1,10:53,MIN,shot,,,Andrei Kirilenko,,,,,,,Al Jefferson,,,,missed,,layup,25,6
Al Jefferson,Corey Brewer,Marko Jaric,Randy Foye,Ryan Gomes,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Price,1,10:49,UTA,rebound,,,,,,,,,,Andrei Kirilenko,,,,,,def,,
Al Jefferson,Corey Brewer,Marko Jaric,Randy Foye,Ryan Gomes,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Price,1,10:47,UTA,shot,,,,,,,,,,Ronnie Price,,,,missed,,slam dunk,25,6
Al Jefferson,Corey Brewer,Marko Jaric,Randy Foye,Ryan Gomes,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Price,1,10:33,MIN,rebound,,,,,,,,,,,,,,,,,,
Al Jefferson,Corey Brewer,Marko Jaric,Randy Foye,Ryan Gomes,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Price,1,10:30,UTA,foul,,,,,,,,Randy Foye,,Mehmet Okur,,,,,,personal,,
Al Jefferson,Corey Brewer,Marko Jaric,Randy Foye,Ryan Gomes,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Price,1,10:23,MIN,shot,Marko Jaric,,,,,,,,,Al Jefferson,2,,,made,,layup,25,6
Al Jefferson,Corey Brewer,Marko Jaric,Randy Foye,Ryan Gomes,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Price,1,10:10,UTA,shot,Andrei Kirilenko,,,,,,,,,Deron Williams,2,,,made,,layup,25,6
Al Jefferson,Corey Brewer,Marko Jaric,Randy Foye,Ryan Gomes,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Price,1,9:53,MIN,shot,,,,,,,,,,Ryan Gomes,,,,missed,,jump,12,8
Al Jefferson,Corey Brewer,Marko Jaric,Randy Foye,Ryan Gomes,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Price,1,9:52,UTA,rebound,,,,,,,,,,Andrei Kirilenko,,,,,,def,,
Al Jefferson,Corey Brewer,Marko Jaric,Randy Foye,Ryan Gomes,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Price,1,9:41,UTA,turnover,,,,,,,,,,Carlos Boozer,,,bad pass,,Marko Jaric,,,
Al Jefferson,Corey Brewer,Marko Jaric,Randy Foye,Ryan Gomes,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Price,1,9:38,MIN,shot,Randy Foye,,,,,,,,,Corey Brewer,2,,,made,,layup,25,6
Al Jefferson,Corey Brewer,Marko Jaric,Randy Foye,Ryan Gomes,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Price,1,9:38,UTA,foul,,,,,,,,Corey Brewer,,Ronnie Price,,,,,,shooting,,
Al Jefferson,Corey Brewer,Marko Jaric,Randy Foye,Ryan Gomes,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Price,1,9:38,MIN,free throw,,,,,,,1,,1,Corey Brewer,,,foul,made,,,,
Al Jefferson,Corey Brewer,Marko Jaric,Randy Foye,Ryan Gomes,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Price,1,9:25,UTA,shot,Carlos Boozer,,,,,,,,,Deron Williams,2,,,made,,jump,9,20
Al Jefferson,Corey Brewer,Marko Jaric,Randy Foye,Ryan Gomes,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Price,1,9:07,MIN,shot,Randy Foye,,,,,,,,,Ryan Gomes,2,,,made,,jump,6,7
Al Jefferson,Corey Brewer,Marko Jaric,Randy Foye,Ryan Gomes,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Price,1,8:40,UTA,shot,Deron Williams,,,,,,,,,Carlos Boozer,2,,,made,,dunk,25,6
Al Jefferson,Corey Brewer,Marko Jaric,Randy Foye,Ryan Gomes,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Price,1,8:31,UTA,foul,,,,,,,,Randy Foye,,Deron Williams,,,,,,shooting,,
Al Jefferson,Corey Brewer,Marko Jaric,Randy Foye,Ryan Gomes,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Price,1,8:31,MIN,free throw,,,,,,,1,,2,Randy Foye,,,foul,made,,,,
Al Jefferson,Corey Brewer,Marko Jaric,Randy Foye,Ryan Gomes,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Price,1,8:31,MIN,free throw,,,,,,,2,,2,Randy Foye,,,foul,made,,,,
Al Jefferson,Corey Brewer,Marko Jaric,Randy Foye,Ryan Gomes,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Price,1,8:17,UTA,shot,,,,,,,,,,Carlos Boozer,2,,,made,,jump,17,20
Al Jefferson,Corey Brewer,Marko Jaric,Randy Foye,Ryan Gomes,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Price,1,7:53,MIN,shot,,,,,,,,,,Al Jefferson,,,,missed,,jump,27,13
Al Jefferson,Corey Brewer,Marko Jaric,Randy Foye,Ryan Gomes,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Price,1,7:51,UTA,rebound,,,,,,,,,,Andrei Kirilenko,,,,,,def,,
Al Jefferson,Corey Brewer,Marko Jaric,Randy Foye,Ryan Gomes,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Price,1,7:49,UTA,turnover,,,,,,,,,,Andrei Kirilenko,,,bad pass,,,,,
Al Jefferson,Corey Brewer,Marko Jaric,Randy Foye,Ryan Gomes,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Price,1,7:38,MIN,turnover,,,,,,,,,,Al Jefferson,,,poss lost ball turnover,,,,,
