a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Jefferson,Marko Jaric,Michael Doleac,Randy Foye,Ryan Gomes,Amare Stoudemire,Grant Hill,Raja Bell,Shaquille O'Neal,Steve Nash,1,12:00,OFF,jump ball,,Al Jefferson,,,Shaquille O'Neal,,,,,,,Steve Nash,,,,,,
Al Jefferson,Marko Jaric,Michael Doleac,Randy Foye,Ryan Gomes,Amare Stoudemire,Grant Hill,Raja Bell,Shaquille O'Neal,Steve Nash,1,11:45,PHX,shot,Shaquille O'Neal,,,,,,,,,Raja Bell,2,,,made,,jump,32,22
Al Jefferson,Marko Jaric,Michael Doleac,Randy Foye,Ryan Gomes,Amare Stoudemire,Grant Hill,Raja Bell,Shaquille O'Neal,Steve Nash,1,11:26,MIN,shot,,,Amare Stoudemire,,,,,,,Randy Foye,,,,missed,,layup,25,6
Al Jefferson,Marko Jaric,Michael Doleac,Randy Foye,Ryan Gomes,Amare Stoudemire,Grant Hill,Raja Bell,Shaquille O'Neal,Steve Nash,1,11:24,PHX,rebound,,,,,,,,,,Amare Stoudemire,,,,,,def,,
Al Jefferson,Marko Jaric,Michael Doleac,Randy Foye,Ryan Gomes,Amare Stoudemire,Grant Hill,Raja Bell,Shaquille O'Neal,Steve Nash,1,11:15,PHX,turnover,,,,,,,,,,Steve Nash,,,bad pass,,Al Jefferson,,,
Al Jefferson,Marko Jaric,Michael Doleac,Randy Foye,Ryan Gomes,Amare Stoudemire,Grant Hill,Raja Bell,Shaquille O'Neal,Steve Nash,1,11:05,MIN,shot,,,,,,,,,,Al Jefferson,,,,missed,,jump,21,22
Al Jefferson,Marko Jaric,Michael Doleac,Randy Foye,Ryan Gomes,Amare Stoudemire,Grant Hill,Raja Bell,Shaquille O'Neal,Steve Nash,1,11:03,PHX,rebound,,,,,,,,,,Shaquille O'Neal,,,,,,def,,
Al Jefferson,Marko Jaric,Michael Doleac,Randy Foye,Ryan Gomes,Amare Stoudemire,Grant Hill,Raja Bell,Shaquille O'Neal,Steve Nash,1,10:55,MIN,foul,,,,,,,,,,Al Jefferson,,,,,,defense 3 second,,
Al Jefferson,Marko Jaric,Michael Doleac,Randy Foye,Ryan Gomes,Amare Stoudemire,Grant Hill,Raja Bell,Shaquille O'Neal,Steve Nash,1,10:55,PHX,free throw,,,,,,,1,,1,Steve Nash,,,technical,made,,,,
Al Jefferson,Marko Jaric,Michael Doleac,Randy Foye,Ryan Gomes,Amare Stoudemire,Grant Hill,Raja Bell,Shaquille O'Neal,Steve Nash,1,10:48,PHX,shot,,,,,,,,,,Steve Nash,2,,,made,,jump,10,13
Al Jefferson,Marko Jaric,Michael Doleac,Randy Foye,Ryan Gomes,Amare Stoudemire,Grant Hill,Raja Bell,Shaquille O'Neal,Steve Nash,1,10:32,MIN,shot,,,,,,,,,,Michael Doleac,,,,missed,,jump,40,6
Al Jefferson,Marko Jaric,Michael Doleac,Randy Foye,Ryan Gomes,Amare Stoudemire,Grant Hill,Raja Bell,Shaquille O'Neal,Steve Nash,1,10:30,PHX,rebound,,,,,,,,,,Raja Bell,,,,,,def,,
