a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,David Lee,Jamal Crawford,Jared Jeffries,Wilson Chandler,Zach Randolph,1,12:00,OFF,jump ball,,Dwight Howard,,,Jared Jeffries,,,,,,,Jameer Nelson,,,,,,
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,David Lee,Jamal Crawford,Jared Jeffries,Wilson Chandler,Zach Randolph,1,11:39,ORL,shot,,,,,,,,,,Rashard Lewis,,,,missed,,3pt,1,2
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,David Lee,Jamal Crawford,Jared Jeffries,Wilson Chandler,Zach Randolph,1,11:37,NYK,rebound,,,,,,,,,,Wilson Chandler,,,,,,def,,
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,David Lee,Jamal Crawford,Jared Jeffries,Wilson Chandler,Zach Randolph,1,11:25,NYK,shot,Jamal Crawford,,,,,,,,,David Lee,2,,,made,,jump,38,8
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,David Lee,Jamal Crawford,Jared Jeffries,Wilson Chandler,Zach Randolph,1,11:12,ORL,shot,Hedo Turkoglu,,,,,,,,,Dwight Howard,2,,,made,,layup,25,6
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,David Lee,Jamal Crawford,Jared Jeffries,Wilson Chandler,Zach Randolph,1,10:58,NYK,shot,,,Dwight Howard,,,,,,,Zach Randolph,,,,missed,,layup,25,6
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,David Lee,Jamal Crawford,Jared Jeffries,Wilson Chandler,Zach Randolph,1,10:56,ORL,rebound,,,,,,,,,,Jameer Nelson,,,,,,def,,
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,David Lee,Jamal Crawford,Jared Jeffries,Wilson Chandler,Zach Randolph,1,10:52,ORL,turnover,,,,,,,,,,Jameer Nelson,,,bad pass,,Zach Randolph,,,
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,David Lee,Jamal Crawford,Jared Jeffries,Wilson Chandler,Zach Randolph,1,10:34,NYK,shot,Jamal Crawford,,,,,,,,,Zach Randolph,2,,,made,,turnaround jump,18,5
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,David Lee,Jamal Crawford,Jared Jeffries,Wilson Chandler,Zach Randolph,1,10:20,ORL,shot,,,,,,,,,,Dwight Howard,,,,missed,,jump,19,7
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,David Lee,Jamal Crawford,Jared Jeffries,Wilson Chandler,Zach Randolph,1,10:19,ORL,rebound,,,,,,,,,,,,,,,,,,
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,David Lee,Jamal Crawford,Jared Jeffries,Wilson Chandler,Zach Randolph,1,10:12,ORL,shot,,,,,,,,,,Hedo Turkoglu,2,,,made,,driving dunk,25,6
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,David Lee,Jamal Crawford,Jared Jeffries,Wilson Chandler,Zach Randolph,1,9:55,ORL,foul,,,,,,,,Zach Randolph,,Rashard Lewis,,,,,,personal,,
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,David Lee,Jamal Crawford,Jared Jeffries,Wilson Chandler,Zach Randolph,1,9:45,NYK,shot,,,,,,,,,,David Lee,2,,,made,,layup,25,6
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,David Lee,Jamal Crawford,Jared Jeffries,Wilson Chandler,Zach Randolph,1,9:32,ORL,shot,,,,,,,,,,Maurice Evans,,,,missed,,3pt,2,5
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Maurice Evans,Rashard Lewis,David Lee,Jamal Crawford,Jared Jeffries,Wilson Chandler,Zach Randolph,1,9:30,NYK,rebound,,,,,,,,,,Zach Randolph,,,,,,def,,
