a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Danny Granger,Jeff Foster,Mike Dunleavy,Ronald Murray,Troy Murphy,1,12:00,OFF,jump ball,,Josh Smith,,,Jeff Foster,,,,,,,Joe Johnson,,,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Danny Granger,Jeff Foster,Mike Dunleavy,Ronald Murray,Troy Murphy,1,11:53,ATL,shot,Al Horford,,,,,,,,,Joe Johnson,3,,,made,,3pt,5,24
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Danny Granger,Jeff Foster,Mike Dunleavy,Ronald Murray,Troy Murphy,1,11:36,IND,shot,,,,,,,,,,Danny Granger,,,,missed,,jump,20,27
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Danny Granger,Jeff Foster,Mike Dunleavy,Ronald Murray,Troy Murphy,1,11:35,IND,rebound,,,,,,,,,,Jeff Foster,,,,,,off,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Danny Granger,Jeff Foster,Mike Dunleavy,Ronald Murray,Troy Murphy,1,11:25,IND,shot,,,,,,,,,,Troy Murphy,2,,,made,,jump,37,18
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Danny Granger,Jeff Foster,Mike Dunleavy,Ronald Murray,Troy Murphy,1,11:04,IND,foul,,,,,,,,Josh Smith,,Jeff Foster,,,,,,shooting,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Danny Granger,Jeff Foster,Mike Dunleavy,Ronald Murray,Troy Murphy,1,11:04,IND,foul,,,,,,,,Josh Smith,,Jeff Foster,,,,,,technical,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Danny Granger,Jeff Foster,Mike Dunleavy,Ronald Murray,Troy Murphy,1,11:04,ATL,free throw,,,,,,,1,,1,Marvin Williams,,,technical,made,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Danny Granger,Jeff Foster,Mike Dunleavy,Ronald Murray,Troy Murphy,1,11:04,ATL,free throw,,,,,,,1,,2,Josh Smith,,,foul,made,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Danny Granger,Jeff Foster,Mike Dunleavy,Ronald Murray,Troy Murphy,1,11:04,ATL,free throw,,,,,,,2,,2,Josh Smith,,,foul,made,,,,
