a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Anthony Johnson,John Salmons,Kevin Martin,Mikki Moore,Spencer Hawes,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,12:00,OFF,jump ball,,Mikki Moore,,,Andris Biedrins,,,,,,,Spencer Hawes,,,,,,
Anthony Johnson,John Salmons,Kevin Martin,Mikki Moore,Spencer Hawes,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,11:47,SAC,turnover,,,,,,,,,,Mikki Moore,,,lost ball,,Al Harrington,,,
Anthony Johnson,John Salmons,Kevin Martin,Mikki Moore,Spencer Hawes,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,11:44,SAC,foul,,,,,,,,Al Harrington,,Mikki Moore,,,,,,shooting,,
Anthony Johnson,John Salmons,Kevin Martin,Mikki Moore,Spencer Hawes,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,11:44,GSW,free throw,,,,,,,1,,2,Al Harrington,,,foul,missed,,,,
Anthony Johnson,John Salmons,Kevin Martin,Mikki Moore,Spencer Hawes,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,11:44,GSW,rebound,,,,,,,,,,,,,,,,,,
Anthony Johnson,John Salmons,Kevin Martin,Mikki Moore,Spencer Hawes,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,11:44,GSW,free throw,,,,,,,2,,2,Al Harrington,,,foul,made,,,,
Anthony Johnson,John Salmons,Kevin Martin,Mikki Moore,Spencer Hawes,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,11:32,SAC,turnover,,,,,,,,,,Mikki Moore,,,lost ball,,Al Harrington,,,
Anthony Johnson,John Salmons,Kevin Martin,Mikki Moore,Spencer Hawes,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,11:22,GSW,shot,Monta Ellis,,,,,,,,,Baron Davis,3,,,made,,3pt,2,10
Anthony Johnson,John Salmons,Kevin Martin,Mikki Moore,Spencer Hawes,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,11:06,SAC,turnover,,,,,,,,,,Anthony Johnson,,,lost ball,,Baron Davis,,,
Anthony Johnson,John Salmons,Kevin Martin,Mikki Moore,Spencer Hawes,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,11:02,GSW,turnover,,,,,,,,,,Baron Davis,,,bad pass,,Kevin Martin,,,
Anthony Johnson,John Salmons,Kevin Martin,Mikki Moore,Spencer Hawes,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,10:48,SAC,turnover,,,,,,,,,,Spencer Hawes,,,lost ball,,Al Harrington,,,
Anthony Johnson,John Salmons,Kevin Martin,Mikki Moore,Spencer Hawes,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,10:45,SAC,foul,,,,,,,,Monta Ellis,,Mikki Moore,,,,,,shooting,,
Anthony Johnson,John Salmons,Kevin Martin,Mikki Moore,Spencer Hawes,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,10:45,GSW,free throw,,,,,,,1,,2,Monta Ellis,,,foul,missed,,,,
Anthony Johnson,John Salmons,Kevin Martin,Mikki Moore,Spencer Hawes,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,10:45,GSW,rebound,,,,,,,,,,,,,,,,,,
Anthony Johnson,John Salmons,Kevin Martin,Mikki Moore,Spencer Hawes,Al Harrington,Andris Biedrins,Baron Davis,Monta Ellis,Stephen Jackson,1,10:45,SAC,foul,,,,,,,,Monta Ellis,,Mikki Moore,,,,,,technical,,
