a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Brandon Roy,Channing Frye,James Jones,LaMarcus Aldridge,Steve Blake,Beno Udrih,John Salmons,Kevin Martin,Mikki Moore,Spencer Hawes,1,12:00,OFF,jump ball,,LaMarcus Aldridge,,,Mikki Moore,,,,,,,John Salmons,,,,,,
Brandon Roy,Channing Frye,James Jones,LaMarcus Aldridge,Steve Blake,Beno Udrih,John Salmons,Kevin Martin,Mikki Moore,Spencer Hawes,1,11:45,SAC,shot,,,,,,,,,,Kevin Martin,,,,missed,,3pt,5,20
Brandon Roy,Channing Frye,James Jones,LaMarcus Aldridge,Steve Blake,Beno Udrih,John Salmons,Kevin Martin,Mikki Moore,Spencer Hawes,1,11:44,POR,rebound,,,,,,,,,,Channing Frye,,,,,,def,,
Brandon Roy,Channing Frye,James Jones,LaMarcus Aldridge,Steve Blake,Beno Udrih,John Salmons,Kevin Martin,Mikki Moore,Spencer Hawes,1,11:30,POR,shot,,,,,,,,,,Channing Frye,,,,missed,,jump,43,10
Brandon Roy,Channing Frye,James Jones,LaMarcus Aldridge,Steve Blake,Beno Udrih,John Salmons,Kevin Martin,Mikki Moore,Spencer Hawes,1,11:29,POR,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,off,,
Brandon Roy,Channing Frye,James Jones,LaMarcus Aldridge,Steve Blake,Beno Udrih,John Salmons,Kevin Martin,Mikki Moore,Spencer Hawes,1,11:26,POR,shot,,,,,,,,,,LaMarcus Aldridge,2,,,made,,jump hook,22,8
Brandon Roy,Channing Frye,James Jones,LaMarcus Aldridge,Steve Blake,Beno Udrih,John Salmons,Kevin Martin,Mikki Moore,Spencer Hawes,1,11:11,SAC,shot,,,,,,,,,,Mikki Moore,,,,missed,,jump,8,14
Brandon Roy,Channing Frye,James Jones,LaMarcus Aldridge,Steve Blake,Beno Udrih,John Salmons,Kevin Martin,Mikki Moore,Spencer Hawes,1,11:10,POR,rebound,,,,,,,,,,Steve Blake,,,,,,def,,
Brandon Roy,Channing Frye,James Jones,LaMarcus Aldridge,Steve Blake,Beno Udrih,John Salmons,Kevin Martin,Mikki Moore,Spencer Hawes,1,10:51,POR,shot,,,,,,,,,,James Jones,,,,missed,,jump,41,14
Brandon Roy,Channing Frye,James Jones,LaMarcus Aldridge,Steve Blake,Beno Udrih,John Salmons,Kevin Martin,Mikki Moore,Spencer Hawes,1,10:50,POR,rebound,,,,,,,,,,Channing Frye,,,,,,off,,
Brandon Roy,Channing Frye,James Jones,LaMarcus Aldridge,Steve Blake,Beno Udrih,John Salmons,Kevin Martin,Mikki Moore,Spencer Hawes,1,10:48,POR,shot,,,,,,,,,,Channing Frye,2,,,made,,jump,23,8
Brandon Roy,Channing Frye,James Jones,LaMarcus Aldridge,Steve Blake,Beno Udrih,John Salmons,Kevin Martin,Mikki Moore,Spencer Hawes,1,10:35,SAC,shot,,,,,,,,,,Spencer Hawes,2,,,made,,jump,42,12
