a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Beno Udrih,Francisco Garcia,John Salmons,Mikki Moore,Spencer Hawes,1,12:00,OFF,jump ball,,Tim Duncan,,,Mikki Moore,,,,,,,Fabricio Oberto,,,,,,
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Beno Udrih,Francisco Garcia,John Salmons,Mikki Moore,Spencer Hawes,1,11:43,SAS,shot,Tony Parker,,,,,,,,,Bruce Bowen,2,,,made,,jump,19,25
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Beno Udrih,Francisco Garcia,John Salmons,Mikki Moore,Spencer Hawes,1,11:29,SAC,shot,,,,,,,,,,Francisco Garcia,,,,missed,,jump,12,22
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Beno Udrih,Francisco Garcia,John Salmons,Mikki Moore,Spencer Hawes,1,11:28,SAS,rebound,,,,,,,,,,Tim Duncan,,,,,,def,,
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Beno Udrih,Francisco Garcia,John Salmons,Mikki Moore,Spencer Hawes,1,11:14,SAS,shot,Tim Duncan,,,,,,,,,Fabricio Oberto,2,,,made,,layup,25,6
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Beno Udrih,Francisco Garcia,John Salmons,Mikki Moore,Spencer Hawes,1,11:14,SAC,foul,,,,,,,,Fabricio Oberto,,Spencer Hawes,,,,,,shooting,,
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Beno Udrih,Francisco Garcia,John Salmons,Mikki Moore,Spencer Hawes,1,11:14,SAS,free throw,,,,,,,1,,1,Fabricio Oberto,,,foul,made,,,,
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Beno Udrih,Francisco Garcia,John Salmons,Mikki Moore,Spencer Hawes,1,11:03,SAC,turnover,,,,,,,,,,Francisco Garcia,,,bad pass,,Fabricio Oberto,,,
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Beno Udrih,Francisco Garcia,John Salmons,Mikki Moore,Spencer Hawes,1,10:59,SAS,shot,Michael Finley,,,,,,,,,Fabricio Oberto,2,,,made,,layup,25,6
Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,Beno Udrih,Francisco Garcia,John Salmons,Mikki Moore,Spencer Hawes,1,10:40,SAC,shot,,,,,,,,,,Mikki Moore,2,,,made,,jump,10,12
