a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,1,12:00,OFF,jump ball,,Hakim Warrick,,,LaMarcus Aldridge,,,,,,,Steve Blake,,,,,,
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,1,11:47,POR,shot,,,,,,,,,,Channing Frye,,,,missed,,jump,36,26
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,1,11:46,MEM,rebound,,,,,,,,,,Rudy Gay,,,,,,def,,
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,1,11:31,MEM,shot,Rudy Gay,,,,,,,,,Juan Carlos Navarro,2,,,made,,running jump,26,15
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,1,11:09,POR,shot,,,,,,,,,,Jarrett Jack,,,,missed,,3pt,2,6
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,1,11:07,MEM,rebound,,,,,,,,,,Hakim Warrick,,,,,,def,,
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,1,10:49,MEM,turnover,,,,,,,,,,Hakim Warrick,,,traveling,,,,,
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,1,10:35,MEM,foul,,,,,,,,Steve Blake,,Mike Conley,,,,,,personal,,
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,1,10:25,POR,shot,,,,,,,,,,LaMarcus Aldridge,,,,missed,,jump,22,25
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,1,10:24,MEM,rebound,,,,,,,,,,Rudy Gay,,,,,,def,,
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,1,10:12,POR,foul,,,,,,,,Rudy Gay,,Steve Blake,,,,,,personal,,
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,1,10:04,MEM,shot,,,,,,,,,,Mike Conley,,,,missed,,jump,45,16
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,1,10:02,POR,rebound,,,,,,,,,,Channing Frye,,,,,,def,,
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,1,9:47,POR,shot,Jarrett Jack,,,,,,,,,Channing Frye,2,,,made,,jump,25,26
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,1,9:30,MEM,shot,Juan Carlos Navarro,,,,,,,,,Jason Collins,2,,,made,,jump,21,26
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,1,9:19,POR,shot,,,,,,,,,,Brandon Roy,,,,missed,,jump,24,26
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,1,9:18,MEM,rebound,,,,,,,,,,Hakim Warrick,,,,,,def,,
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,1,9:12,POR,foul,,,,,,,,Jason Collins,,Channing Frye,,,,,,shooting,,
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,1,9:12,MEM,free throw,,,,,,,1,,2,Jason Collins,,,foul,made,,,,
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,1,9:12,MEM,free throw,,,,,,,2,,2,Jason Collins,,,foul,missed,,,,
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,1,9:11,POR,rebound,,,,,,,,,,Brandon Roy,,,,,,def,,
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,1,8:55,POR,shot,Steve Blake,,,,,,,,,Channing Frye,2,,,made,,turnaround fade away,12,10
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,1,8:44,POR,foul,,,,,,,,Hakim Warrick,,Channing Frye,,,,,,personal,,
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Travis Outlaw,1,8:44,POR,sub,,,,Travis Outlaw,,Channing Frye,,,,,,,,,,,,
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Travis Outlaw,1,8:40,MEM,shot,,,,,,,,,,Juan Carlos Navarro,,,,missed,,3pt,44,24
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Travis Outlaw,1,8:39,POR,rebound,,,,,,,,,,Travis Outlaw,,,,,,def,,
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Travis Outlaw,1,8:27,POR,shot,,,,,,,,,,Travis Outlaw,,,,missed,,jump,31,23
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Travis Outlaw,1,8:26,MEM,rebound,,,,,,,,,,Juan Carlos Navarro,,,,,,def,,
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Travis Outlaw,1,8:06,MEM,shot,,,,,,,,,,Rudy Gay,,,,missed,,3pt,48,7
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Travis Outlaw,1,8:04,POR,rebound,,,,,,,,,,Jarrett Jack,,,,,,def,,
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Travis Outlaw,1,7:50,POR,shot,,,,,,,,,,Steve Blake,2,,,made,,jump,25,29
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Travis Outlaw,1,7:39,MEM,shot,,,,,,,,,,Mike Conley,2,,,made,,driving layup,25,6
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Travis Outlaw,1,7:39,POR,foul,,,,,,,,Mike Conley,,LaMarcus Aldridge,,,,,,shooting,,
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Travis Outlaw,1,7:39,MEM,free throw,,,,,,,1,,1,Mike Conley,,,foul,missed,,,,
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Travis Outlaw,1,7:38,POR,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,def,,
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Travis Outlaw,1,7:20,POR,shot,,,,,,,,,,Steve Blake,,,,missed,,3pt,28,30
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Travis Outlaw,1,7:18,MEM,rebound,,,,,,,,,,Mike Conley,,,,,,def,,
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Travis Outlaw,1,7:12,MEM,shot,Mike Conley,,,,,,,,,Jason Collins,2,,,made,,layup,25,6
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Travis Outlaw,1,7:11,POR,timeout,,,,,,,,,,,,,,,,regular,,
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Travis Outlaw,1,6:55,POR,shot,,,,,,,,,,Brandon Roy,2,,,made,,jump,33,22
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Travis Outlaw,1,6:39,MEM,shot,,,,,,,,,,Juan Carlos Navarro,,,,missed,,running jump,32,12
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Travis Outlaw,1,6:37,MEM,rebound,,,,,,,,,,Hakim Warrick,,,,,,off,,
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Travis Outlaw,1,6:36,MEM,shot,,,,,,,,,,Hakim Warrick,,,,missed,,layup,25,6
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Travis Outlaw,1,6:35,MEM,shot,,,,,,,,,,Hakim Warrick,2,,,made,,tip,25,6
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Travis Outlaw,1,6:35,MEM,rebound,,,,,,,,,,Hakim Warrick,,,,,,off,,
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Travis Outlaw,1,6:23,POR,shot,,,,,,,,,,Steve Blake,,,,missed,,jump,16,21
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Travis Outlaw,1,6:23,MEM,rebound,,,,,,,,,,Hakim Warrick,,,,,,def,,
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Travis Outlaw,1,6:05,MEM,shot,Juan Carlos Navarro,,,,,,,,,Hakim Warrick,2,,,made,,jump,10,8
Hakim Warrick,Jason Collins,Juan Carlos Navarro,Mike Conley,Rudy Gay,Brandon Roy,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Travis Outlaw,1,5:43,POR,shot,,,,,,,,,,LaMarcus Aldridge,2,,,made,,turnaround fade away,37,7
