a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Amare Stoudemire,Leandro Barbosa,Raja Bell,Shaquille O'Neal,Steve Nash,1,12:00,OFF,jump ball,,LaMarcus Aldridge,,,Shaquille O'Neal,,,,,,,Amare Stoudemire,,,,,,
Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Amare Stoudemire,Leandro Barbosa,Raja Bell,Shaquille O'Neal,Steve Nash,1,11:45,PHX,shot,Raja Bell,,,,,,,,,Shaquille O'Neal,2,,,made,,dunk,25,6
Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Amare Stoudemire,Leandro Barbosa,Raja Bell,Shaquille O'Neal,Steve Nash,1,11:29,POR,shot,,,,,,,,,,LaMarcus Aldridge,,,,missed,,jump,38,19
Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Amare Stoudemire,Leandro Barbosa,Raja Bell,Shaquille O'Neal,Steve Nash,1,11:27,PHX,rebound,,,,,,,,,,Shaquille O'Neal,,,,,,def,,
Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Amare Stoudemire,Leandro Barbosa,Raja Bell,Shaquille O'Neal,Steve Nash,1,11:18,PHX,shot,Steve Nash,,,,,,,,,Raja Bell,3,,,made,,3pt,48,8
Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Amare Stoudemire,Leandro Barbosa,Raja Bell,Shaquille O'Neal,Steve Nash,1,10:59,POR,shot,,,,,,,,,,Brandon Roy,2,,,made,,jump,37,20
Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Amare Stoudemire,Leandro Barbosa,Raja Bell,Shaquille O'Neal,Steve Nash,1,10:46,PHX,turnover,,,,,,,,,,Leandro Barbosa,,,bad pass,,Channing Frye,,,
Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Amare Stoudemire,Leandro Barbosa,Raja Bell,Shaquille O'Neal,Steve Nash,1,10:40,PHX,foul,,,,,,,,Jarrett Jack,,Leandro Barbosa,,,,,,personal,,
Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Amare Stoudemire,Leandro Barbosa,Raja Bell,Shaquille O'Neal,Steve Nash,1,10:29,POR,shot,,,,,,,,,,Channing Frye,,,,missed,,jump,36,23
Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Amare Stoudemire,Leandro Barbosa,Raja Bell,Shaquille O'Neal,Steve Nash,1,10:27,POR,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,off,,
Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Amare Stoudemire,Leandro Barbosa,Raja Bell,Shaquille O'Neal,Steve Nash,1,10:26,POR,shot,,,,,,,,,,LaMarcus Aldridge,,,,missed,,jump bank,34,11
Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Amare Stoudemire,Leandro Barbosa,Raja Bell,Shaquille O'Neal,Steve Nash,1,10:24,POR,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,off,,
Brandon Roy,Channing Frye,Jarrett Jack,LaMarcus Aldridge,Steve Blake,Amare Stoudemire,Leandro Barbosa,Raja Bell,Shaquille O'Neal,Steve Nash,1,10:17,POR,shot,,,,,,,,,,Steve Blake,,,,missed,,3pt,7,25
