a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Vladimir Radmanovic,Al Thornton,Baron Davis,Chris Kaman,Cuttino Mobley,Tim Thomas,1,12:00,OFF,jump ball,,Andrew Bynum,,,Chris Kaman,,,,,,,Derek Fisher,,,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Vladimir Radmanovic,Al Thornton,Baron Davis,Chris Kaman,Cuttino Mobley,Tim Thomas,1,11:36,LAL,shot,,,,,,,,,,Pau Gasol,2,,,made,,running jump,20,8
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Vladimir Radmanovic,Al Thornton,Baron Davis,Chris Kaman,Cuttino Mobley,Tim Thomas,1,11:24,LAC,shot,,,Andrew Bynum,,,,,,,Chris Kaman,,,,missed,,layup,25,6
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Vladimir Radmanovic,Al Thornton,Baron Davis,Chris Kaman,Cuttino Mobley,Tim Thomas,1,11:24,LAL,rebound,,,,,,,,,,,,,,,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Vladimir Radmanovic,Al Thornton,Baron Davis,Chris Kaman,Cuttino Mobley,Tim Thomas,1,11:08,LAL,shot,Pau Gasol,,,,,,,,,Andrew Bynum,2,,,made,,jump,22,22
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Vladimir Radmanovic,Al Thornton,Baron Davis,Chris Kaman,Cuttino Mobley,Tim Thomas,1,10:58,LAC,shot,,,,,,,,,,Baron Davis,,,,missed,,3pt,9,26
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Vladimir Radmanovic,Al Thornton,Baron Davis,Chris Kaman,Cuttino Mobley,Tim Thomas,1,10:57,LAL,rebound,,,,,,,,,,,,,,,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Vladimir Radmanovic,Al Thornton,Baron Davis,Chris Kaman,Cuttino Mobley,Tim Thomas,1,10:41,LAL,shot,,,,,,,,,,Vladimir Radmanovic,,,,missed,,3pt,9,28
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Vladimir Radmanovic,Al Thornton,Baron Davis,Chris Kaman,Cuttino Mobley,Tim Thomas,1,10:40,LAC,rebound,,,,,,,,,,Chris Kaman,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Vladimir Radmanovic,Al Thornton,Baron Davis,Chris Kaman,Cuttino Mobley,Tim Thomas,1,10:28,LAC,shot,,,,,,,,,,Tim Thomas,2,,,made,,driving layup,25,6
