a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,12:00,OFF,jump ball,,Andris Biedrins,,,Josh Boone,,,,,,,Al Harrington,,,,,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,11:37,GSW,shot,,,,,,,,,,Corey Maggette,,,,missed,,jump,9,7
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,11:35,NJN,rebound,,,,,,,,,,Josh Boone,,,,,,def,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,11:19,NJN,shot,,,,,,,,,,Josh Boone,,,,missed,,layup,25,6
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,11:18,NJN,rebound,,,,,,,,,,Josh Boone,,,,,,off,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,11:17,NJN,shot,,,,,,,,,,Josh Boone,,,,missed,,tip,25,6
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,11:16,NJN,rebound,,,,,,,,,,Josh Boone,,,,,,off,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,11:15,NJN,shot,,,,,,,,,,Josh Boone,,,,missed,,layup,25,6
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,11:14,NJN,rebound,,,,,,,,,,Yi Jianlian,,,,,,off,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,11:07,NJN,shot,Yi Jianlian,,,,,,,,,Vince Carter,3,,,made,,3pt,43,23
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,11:00,GSW,shot,,,Josh Boone,,,,,,,Al Harrington,,,,missed,,layup,25,6
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,10:58,GSW,rebound,,,,,,,,,,Al Harrington,,,,,,off,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,10:47,OFF,jump ball,,Al Harrington,,,Vince Carter,,,,,,,Yi Jianlian,,,,,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,10:47,GSW,turnover,,,,,,,,,,Al Harrington,,,lost ball,,Vince Carter,,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,10:31,NJN,turnover,,,,,,,,,,Yi Jianlian,,,out of bounds lost ball turnover,,,,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,10:16,GSW,shot,,,Devin Harris,,,,,,,Andris Biedrins,,,,missed,,layup,25,6
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,10:14,GSW,rebound,,,,,,,,,,,,,,,,,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,10:07,GSW,shot,,,,,,,,,,Al Harrington,,,,missed,,3pt,14,29
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,10:06,NJN,rebound,,,,,,,,,,Devin Harris,,,,,,def,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,9:58,GSW,foul,,,,,,,,Devin Harris,,DeMarcus Nelson,,,,,,personal,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,9:45,NJN,shot,,,,,,,,,,Yi Jianlian,,,,missed,,3pt,40,25
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,9:44,GSW,rebound,,,,,,,,,,Corey Maggette,,,,,,def,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,9:32,GSW,shot,,,,,,,,,,Corey Maggette,,,,missed,,jump,25,27
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,9:31,NJN,rebound,,,,,,,,,,Josh Boone,,,,,,def,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,9:20,NJN,shot,,,,,,,,,,Bobby Simmons,,,,missed,,3pt,34,30
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,9:19,GSW,rebound,,,,,,,,,,Corey Maggette,,,,,,def,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,9:14,GSW,shot,Corey Maggette,,,,,,,,,DeMarcus Nelson,2,,,made,,layup,25,6
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,8:54,NJN,shot,,,,,,,,,,Yi Jianlian,,,,missed,,turnaround fade away,37,8
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,8:53,GSW,rebound,,,,,,,,,,Andris Biedrins,,,,,,def,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,8:45,GSW,shot,DeMarcus Nelson,,,,,,,,,Andris Biedrins,2,,,made,,layup,25,6
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,8:45,NJN,foul,,,,,,,,Andris Biedrins,,Josh Boone,,,,,,shooting,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,8:45,GSW,free throw,,,,,,,1,,1,Andris Biedrins,,,foul,made,,,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,8:34,NJN,shot,Devin Harris,,,,,,,,,Josh Boone,2,,,made,,alley oop layup,25,6
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,8:21,NJN,foul,,,,,,,,Al Harrington,,Devin Harris,,,,,,personal,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,8:15,GSW,shot,,,,,,,,,,DeMarcus Nelson,2,,,made,,driving layup,25,6
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,8:15,NJN,foul,,,,,,,,DeMarcus Nelson,,Devin Harris,,,,,,shooting,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,8:15,GSW,free throw,,,,,,,1,,1,DeMarcus Nelson,,,foul,missed,,,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,8:13,NJN,rebound,,,,,,,,,,Yi Jianlian,,,,,,def,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,8:08,GSW,foul,,,,,,,,Devin Harris,,Andris Biedrins,,,,,,shooting,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,8:08,NJN,free throw,,,,,,,1,,2,Devin Harris,,,foul,made,,,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,8:08,NJN,free throw,,,,,,,2,,2,Devin Harris,,,foul,made,,,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,8:04,GSW,turnover,,,,,,,,,,Corey Maggette,,,step out of bounds turnover,,,,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,7:50,NJN,shot,,,,,,,,,,Devin Harris,,,,missed,,driving layup,25,6
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,7:49,GSW,rebound,,,,,,,,,,Andris Biedrins,,,,,,def,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,1,7:49,GSW,turnover,,,,,,,,,,Andris Biedrins,,,bad pass,,,,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Josh Boone,Keyon Dooling,Vince Carter,Yi Jianlian,1,7:49,NJN,sub,,,,Keyon Dooling,,Devin Harris,,,,,,,,,,,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Josh Boone,Keyon Dooling,Vince Carter,Yi Jianlian,1,7:33,NJN,shot,,,,,,,,,,Vince Carter,2,,,made,,driving reverse layup,25,6
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Josh Boone,Keyon Dooling,Vince Carter,Yi Jianlian,1,7:24,GSW,shot,,,,,,,,,,Al Harrington,,,,missed,,jump,21,18
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Josh Boone,Keyon Dooling,Vince Carter,Yi Jianlian,1,7:22,GSW,rebound,,,,,,,,,,Stephen Jackson,,,,,,off,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Josh Boone,Keyon Dooling,Vince Carter,Yi Jianlian,1,7:18,NJN,foul,,,,,,,,Corey Maggette,,Yi Jianlian,,,,,,personal,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Josh Boone,Keyon Dooling,Vince Carter,Yi Jianlian,1,7:08,GSW,shot,,,,,,,,,,Corey Maggette,2,,,made,,jump,13,8
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Josh Boone,Keyon Dooling,Vince Carter,Yi Jianlian,1,6:46,GSW,foul,,,,,,,,Vince Carter,,Al Harrington,,,,,,shooting,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Josh Boone,Keyon Dooling,Vince Carter,Yi Jianlian,1,6:46,NJN,free throw,,,,,,,1,,2,Vince Carter,,,foul,made,,,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Josh Boone,Keyon Dooling,Vince Carter,Yi Jianlian,1,6:46,NJN,free throw,,,,,,,2,,2,Vince Carter,,,foul,made,,,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Josh Boone,Keyon Dooling,Vince Carter,Yi Jianlian,1,6:38,GSW,shot,,,Josh Boone,,,,,,,DeMarcus Nelson,,,,missed,,driving layup,25,6
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Josh Boone,Keyon Dooling,Vince Carter,Yi Jianlian,1,6:36,NJN,rebound,,,,,,,,,,Bobby Simmons,,,,,,def,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Josh Boone,Keyon Dooling,Vince Carter,Yi Jianlian,1,6:22,GSW,foul,,,,,,,,Josh Boone,,Andris Biedrins,,,,,,shooting,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Josh Boone,Keyon Dooling,Vince Carter,Yi Jianlian,1,6:22,NJN,free throw,,,,,,,1,,2,Josh Boone,,,foul,missed,,,,
Al Harrington,Andris Biedrins,Corey Maggette,DeMarcus Nelson,Stephen Jackson,Bobby Simmons,Josh Boone,Keyon Dooling,Vince Carter,Yi Jianlian,1,6:22,NJN,rebound,,,,,,,,,,,,,,,,,,
Al Harrington,Corey Maggette,DeMarcus Nelson,Ronny Turiaf,Stephen Jackson,Bobby Simmons,Josh Boone,Keyon Dooling,Vince Carter,Yi Jianlian,1,6:22,GSW,sub,,,,Ronny Turiaf,,Andris Biedrins,,,,,,,,,,,,
Al Harrington,Corey Maggette,DeMarcus Nelson,Ronny Turiaf,Stephen Jackson,Bobby Simmons,Josh Boone,Keyon Dooling,Vince Carter,Yi Jianlian,1,6:22,NJN,free throw,,,,,,,2,,2,Josh Boone,,,foul,made,,,,
Al Harrington,Corey Maggette,DeMarcus Nelson,Ronny Turiaf,Stephen Jackson,Bobby Simmons,Josh Boone,Keyon Dooling,Vince Carter,Yi Jianlian,1,6:10,GSW,shot,,,Josh Boone,,,,,,,Corey Maggette,,,,missed,,running jump,28,13
Al Harrington,Corey Maggette,DeMarcus Nelson,Ronny Turiaf,Stephen Jackson,Bobby Simmons,Josh Boone,Keyon Dooling,Vince Carter,Yi Jianlian,1,6:08,GSW,rebound,,,,,,,,,,,,,,,,,,
Al Harrington,Corey Maggette,DeMarcus Nelson,Ronny Turiaf,Stephen Jackson,Bobby Simmons,Josh Boone,Keyon Dooling,Vince Carter,Yi Jianlian,1,6:01,GSW,shot,,,,,,,,,,Ronny Turiaf,2,,,made,,jump,36,21
Al Harrington,Corey Maggette,DeMarcus Nelson,Ronny Turiaf,Stephen Jackson,Bobby Simmons,Josh Boone,Keyon Dooling,Vince Carter,Yi Jianlian,1,5:37,NJN,shot,,,,,,,,,,Vince Carter,,,,missed,,jump,10,9
Al Harrington,Corey Maggette,DeMarcus Nelson,Ronny Turiaf,Stephen Jackson,Bobby Simmons,Josh Boone,Keyon Dooling,Vince Carter,Yi Jianlian,1,5:36,GSW,rebound,,,,,,,,,,Ronny Turiaf,,,,,,def,,
