a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Antawn Jamison,Antonio Daniels,Caron Butler,DeShawn Stevenson,Etan Thomas,Amir Johnson,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,12:00,OFF,jump ball,,Etan Thomas,,,Amir Johnson,,,,,,,Caron Butler,,,,,,
Antawn Jamison,Antonio Daniels,Caron Butler,DeShawn Stevenson,Etan Thomas,Amir Johnson,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,11:35,WAS,shot,,,,,,,,,,Caron Butler,,,,missed,,jump,10,16
Antawn Jamison,Antonio Daniels,Caron Butler,DeShawn Stevenson,Etan Thomas,Amir Johnson,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,11:33,DET,rebound,,,,,,,,,,Rasheed Wallace,,,,,,def,,
Antawn Jamison,Antonio Daniels,Caron Butler,DeShawn Stevenson,Etan Thomas,Amir Johnson,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,11:20,DET,shot,,,,,,,,,,Richard Hamilton,,,,missed,,layup,25,6
Antawn Jamison,Antonio Daniels,Caron Butler,DeShawn Stevenson,Etan Thomas,Amir Johnson,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,11:16,DET,rebound,,,,,,,,,,Richard Hamilton,,,,,,off,,
Antawn Jamison,Antonio Daniels,Caron Butler,DeShawn Stevenson,Etan Thomas,Amir Johnson,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,11:14,DET,shot,,,,,,,,,,Richard Hamilton,2,,,made,,jump,9,8
Antawn Jamison,Antonio Daniels,Caron Butler,DeShawn Stevenson,Etan Thomas,Amir Johnson,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,10:55,WAS,turnover,,,,,,,,,,Etan Thomas,,,lost ball,,Chauncey Billups,,,
Antawn Jamison,Antonio Daniels,Caron Butler,DeShawn Stevenson,Etan Thomas,Amir Johnson,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,10:49,DET,shot,,,,,,,,,,Chauncey Billups,2,,,made,,jump,41,16
Antawn Jamison,Antonio Daniels,Caron Butler,DeShawn Stevenson,Etan Thomas,Amir Johnson,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,10:29,WAS,shot,,,,,,,,,,Caron Butler,,,,missed,,jump,9,18
Antawn Jamison,Antonio Daniels,Caron Butler,DeShawn Stevenson,Etan Thomas,Amir Johnson,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,10:27,DET,rebound,,,,,,,,,,Rasheed Wallace,,,,,,def,,
Antawn Jamison,Antonio Daniels,Caron Butler,DeShawn Stevenson,Etan Thomas,Amir Johnson,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,10:23,DET,foul,,,,,,,,DeShawn Stevenson,,Amir Johnson,,,,,,offensive,,
Antawn Jamison,Antonio Daniels,Caron Butler,DeShawn Stevenson,Etan Thomas,Amir Johnson,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,10:23,DET,turnover,,,,,,,,,,Amir Johnson,,,foul,,,,,
Antawn Jamison,Antonio Daniels,Caron Butler,DeShawn Stevenson,Etan Thomas,Amir Johnson,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,10:09,WAS,shot,,,,,,,,,,Antawn Jamison,2,,,made,,driving layup,25,6
Antawn Jamison,Antonio Daniels,Caron Butler,DeShawn Stevenson,Etan Thomas,Amir Johnson,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,10:09,DET,foul,,,,,,,,Antawn Jamison,,Amir Johnson,,,,,,shooting,,
Antawn Jamison,Antonio Daniels,Caron Butler,DeShawn Stevenson,Etan Thomas,Amir Johnson,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,10:09,WAS,free throw,,,,,,,1,,1,Antawn Jamison,,,foul,made,,,,
Antawn Jamison,Antonio Daniels,Caron Butler,DeShawn Stevenson,Etan Thomas,Amir Johnson,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,9:43,DET,shot,,,,,,,,,,Richard Hamilton,,,,missed,,3pt,48,10
Antawn Jamison,Antonio Daniels,Caron Butler,DeShawn Stevenson,Etan Thomas,Amir Johnson,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,9:42,DET,rebound,,,,,,,,,,Tayshaun Prince,,,,,,off,,
Antawn Jamison,Antonio Daniels,Caron Butler,DeShawn Stevenson,Etan Thomas,Amir Johnson,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,9:40,DET,shot,Tayshaun Prince,,,,,,,,,Richard Hamilton,2,,,made,,jump,40,8
Antawn Jamison,Antonio Daniels,Caron Butler,DeShawn Stevenson,Etan Thomas,Amir Johnson,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,9:16,WAS,shot,,,,,,,,,,Caron Butler,,,,missed,,jump,24,15
Antawn Jamison,Antonio Daniels,Caron Butler,DeShawn Stevenson,Etan Thomas,Amir Johnson,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,9:15,WAS,rebound,,,,,,,,,,Etan Thomas,,,,,,off,,
Antawn Jamison,Antonio Daniels,Caron Butler,DeShawn Stevenson,Etan Thomas,Amir Johnson,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,9:14,DET,foul,,,,,,,,Etan Thomas,,Rasheed Wallace,,,,,,shooting,,
Antawn Jamison,Antonio Daniels,Caron Butler,DeShawn Stevenson,Etan Thomas,Amir Johnson,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,9:14,WAS,free throw,,,,,,,1,,2,Etan Thomas,,,foul,made,,,,
Antawn Jamison,Antonio Daniels,Caron Butler,DeShawn Stevenson,Etan Thomas,Amir Johnson,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,9:14,WAS,free throw,,,,,,,2,,2,Etan Thomas,,,foul,missed,,,,
