a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,12:00,OFF,jump ball,,Etan Thomas,,,Dwight Howard,,,,,,,Juan Dixon,,,,,,
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,11:45,WAS,shot,,,,,,,,,,DeShawn Stevenson,,,,missed,,jump,38,17
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,11:43,ORL,rebound,,,,,,,,,,,,,,,,,,
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,11:27,ORL,shot,Hedo Turkoglu,,,,,,,,,Mickael Pietrus,3,,,made,,3pt,2,8
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,11:13,WAS,shot,Caron Butler,,,,,,,,,Juan Dixon,3,,,made,,3pt,37,29
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,10:54,ORL,shot,Dwight Howard,,,,,,,,,Hedo Turkoglu,3,,,made,,3pt,42,26
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,10:37,WAS,shot,,,,,,,,,,Caron Butler,,,,missed,,3pt,7,25
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,10:36,WAS,rebound,,,,,,,,,,Etan Thomas,,,,,,off,,
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,10:20,ORL,foul,,,,,,,,DeShawn Stevenson,,Mickael Pietrus,,,,,,personal,,
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,10:10,WAS,shot,,,,,,,,,,Caron Butler,,,,missed,,turnaround jump,21,20
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,10:09,WAS,rebound,,,,,,,,,,Juan Dixon,,,,,,off,,
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,9:53,WAS,shot,Caron Butler,,,,,,,,,Antawn Jamison,3,,,made,,3pt,38,26
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,9:32,ORL,shot,,,,,,,,,,Rashard Lewis,,,,missed,,3pt,23,31
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,9:31,WAS,rebound,,,,,,,,,,Etan Thomas,,,,,,def,,
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,9:09,WAS,shot,,,,,,,,,,Caron Butler,,,,missed,,3pt,18,30
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,9:08,ORL,rebound,,,,,,,,,,Dwight Howard,,,,,,def,,
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,8:59,WAS,foul,,,,,,,,Dwight Howard,,Etan Thomas,,,,,,personal,,
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,8:50,ORL,shot,Rashard Lewis,,,,,,,,,Dwight Howard,2,,,made,,slam dunk,25,6
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,8:25,WAS,shot,Juan Dixon,,,,,,,,,Caron Butler,2,,,made,,driving reverse layup,25,6
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,8:17,ORL,shot,,,,,,,,,,Jameer Nelson,2,,,made,,jump,42,15
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,7:51,WAS,shot,,,Dwight Howard,,,,,,,Caron Butler,,,,missed,,driving layup,25,6
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,7:51,WAS,rebound,,,,,,,,,,,,,,,,,,
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,7:51,WAS,turnover,,,,,,,,,,,,,shot clock turnover,,,,,
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,7:41,WAS,foul,,,,,,,,Dwight Howard,,Caron Butler,,,,,,shooting,,
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,7:41,ORL,free throw,,,,,,,1,,2,Dwight Howard,,,foul,missed,,,,
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,7:41,ORL,rebound,,,,,,,,,,,,,,,,,,
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,7:41,ORL,free throw,,,,,,,2,,2,Dwight Howard,,,foul,made,,,,
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,7:28,WAS,shot,,,,,,,,,,Antawn Jamison,,,,missed,,running jump,25,6
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,7:28,WAS,rebound,,,,,,,,,,,,,,,,,,
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,7:28,ORL,foul,,,,,,,,Antawn Jamison,,Jameer Nelson,,,,,,loose ball,,
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,7:17,WAS,shot,,,,,,,,,,Antawn Jamison,,,,missed,,turnaround jump,34,9
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,7:16,ORL,rebound,,,,,,,,,,Mickael Pietrus,,,,,,def,,
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,7:00,WAS,foul,,,,,,,,Mickael Pietrus,,DeShawn Stevenson,,,,,,personal,,
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,6:57,ORL,shot,,,,,,,,,,Rashard Lewis,,,,missed,,3pt,38,28
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,6:56,WAS,rebound,,,,,,,,,,Etan Thomas,,,,,,def,,
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,6:39,WAS,shot,,,,,,,,,,DeShawn Stevenson,,,,missed,,3pt,48,9
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,6:37,ORL,rebound,,,,,,,,,,Rashard Lewis,,,,,,def,,
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,6:31,ORL,shot,,,,,,,,,,Jameer Nelson,2,,,made,,jump,24,23
Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Juan Dixon,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,6:13,WAS,shot,Juan Dixon,,,,,,,,,DeShawn Stevenson,3,,,made,,3pt,33,31
