a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Danny Granger,Jeff Foster,Marquis Daniels,T.J. Ford,Troy Murphy,1,12:00,OFF,jump ball,,Johan Petro,,,Jeff Foster,,,,,,,Troy Murphy,,,,,,
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Danny Granger,Jeff Foster,Marquis Daniels,T.J. Ford,Troy Murphy,1,11:41,IND,shot,T.J. Ford,,,,,,,,,Jeff Foster,2,,,made,,jump,17,7
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Danny Granger,Jeff Foster,Marquis Daniels,T.J. Ford,Troy Murphy,1,11:23,OKC,shot,,,,,,,,,,Nick Collison,2,,,made,,jump bank hook,27,8
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Danny Granger,Jeff Foster,Marquis Daniels,T.J. Ford,Troy Murphy,1,11:09,OKC,foul,,,,,,,,Jeff Foster,,Kevin Durant,,,,,,shooting,,
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Danny Granger,Jeff Foster,Marquis Daniels,T.J. Ford,Troy Murphy,1,11:09,IND,free throw,,,,,,,1,,2,Jeff Foster,,,foul,made,,,,
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Danny Granger,Jeff Foster,Marquis Daniels,T.J. Ford,Troy Murphy,1,11:09,IND,free throw,,,,,,,2,,2,Jeff Foster,,,foul,made,,,,
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Danny Granger,Jeff Foster,Marquis Daniels,T.J. Ford,Troy Murphy,1,10:55,OKC,shot,Earl Watson,,,,,,,,,Jeff Green,2,,,made,,jump,25,26
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Danny Granger,Jeff Foster,Marquis Daniels,T.J. Ford,Troy Murphy,1,10:41,IND,shot,,,,,,,,,,Danny Granger,,,,missed,,3pt,48,4
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Danny Granger,Jeff Foster,Marquis Daniels,T.J. Ford,Troy Murphy,1,10:40,IND,rebound,,,,,,,,,,Jeff Foster,,,,,,off,,
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Danny Granger,Jeff Foster,Marquis Daniels,T.J. Ford,Troy Murphy,1,10:35,OKC,foul,,,,,,,,Jeff Foster,,Earl Watson,,,,,,shooting,,
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Danny Granger,Jeff Foster,Marquis Daniels,T.J. Ford,Troy Murphy,1,10:35,IND,free throw,,,,,,,1,,2,Jeff Foster,,,foul,made,,,,
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Danny Granger,Jeff Foster,Marquis Daniels,T.J. Ford,Troy Murphy,1,10:35,IND,free throw,,,,,,,2,,2,Jeff Foster,,,foul,made,,,,
